Sum of recall_precondition,Column Labels,,
Row Labels,MAROSAME,MASAM,Grand Total
blocks,,,
3,0.67,0.67,1.34
6,0.67,0.67,1.34
9,0.67,0.67,1.34
11,0.67,0.67,1.34
13,0.67,0.67,1.34
15,0.67,0.67,1.34
17,0.67,0.67,1.34
20,0.67,0.67,1.34
satellite,,,
1,0.71,0.43,1.14
2,0.64,0.29,0.93
3,0.71,0.71,1.42
4,0.71,0.71,1.42
5,0.71,0.71,1.42
6,0.71,0.71,1.42
7,0.71,0.71,1.42
8,0.71,0.71,1.42
9,0.71,0.71,1.42
10,0.71,0.71,1.42
11,0.71,0.71,1.42
12,0.71,0.71,1.42
13,0.71,0.71,1.42
14,0.71,0.71,1.42
15,0.71,0.71,1.42
Grand Total,15.94,15.31,31.25
