Algorithm,Domain,Num. Of Traces,Threshold,Epsilon,Fold,Unobserved_actions,precision_effect,precision_precondition,recall_effect,recall_precondition
MASAM,satellite,1,NA,NA,0,0,0.43,0.33,0.38,0.43
MASAM,satellite,2,NA,NA,0,0,0.29,0.23,0.29,0.29
MASAM,satellite,3,NA,NA,0,0,1.0,0.64,1.0,0.71
MASAM,satellite,4,NA,NA,0,0,1.0,0.64,1.0,0.71
MASAM,satellite,5,NA,NA,0,0,1.0,0.64,1.0,0.71
MASAM,satellite,6,NA,NA,0,0,1.0,0.64,1.0,0.71
MASAM,satellite,7,NA,NA,0,0,1.0,0.64,1.0,0.71
MASAM,satellite,8,NA,NA,0,0,1.0,0.67,1.0,0.71
MASAM,satellite,9,NA,NA,0,0,1.0,0.67,1.0,0.71
MASAM,satellite,10,NA,NA,0,0,1.0,0.67,1.0,0.71
MASAM,satellite,11,NA,NA,0,0,1.0,0.67,1.0,0.71
MASAM,satellite,12,NA,NA,0,0,1.0,0.67,1.0,0.71
MASAM,satellite,13,NA,NA,0,0,1.0,0.67,1.0,0.71
MASAM,satellite,14,NA,NA,0,0,1.0,0.67,1.0,0.71
MASAM,satellite,15,NA,NA,0,0,1.0,0.67,1.0,0.71
