depots,,,,,,,,,,,,
,,,,,,,,,,,,
,Column Labels,,,,,,,,,,,
,Sum of precision_effect,,Sum of precision_precondition,,Sum of recall_effect,,Sum of recall_precondition,,Total Sum of precision_effect,Total Sum of precision_precondition,Total Sum of recall_effect,Total Sum of recall_precondition
Row Labels,rosame,sam,rosame,sam,rosame,sam,rosame,sam,,,,
10,0.46,1,0.67,0.91,0.6,0.7,0.71,0.59,1.46,1.58,1.3,1.3
50,0.72,1,0.58,0.91,0.65,0.7,0.88,0.59,1.72,1.49,1.35,1.47
100,0.71,1,0.75,0.93,0.75,0.85,0.88,0.76,1.71,1.68,1.6,1.64
200,0.6,1,0.61,0.91,0.6,0.7,0.65,0.59,1.6,1.52,1.3,1.24
300,1,1,1,0.94,0.8,1,0.82,1,2,1.94,1.8,1.82
400,1,1,0.94,0.94,0.8,1,0.88,1,2,1.88,1.8,1.88
1000,1,1,0.94,0.94,0.8,1,0.88,1,2,1.88,1.8,1.88
Grand Total,5.49,7,5.49,6.48,5,5.95,5.7,5.53,12.49,11.97,10.95,11.23
