Domain,Num triplets,fold,Algorithm,ok,no_solution,timeout,not_applicable,goal_not_achieved,solver_error,validated_against_expert_plan,not_validated_against_expert_plan,problems_ok,problems_no_solution,problems_timeout,problems_solver_error,problems_not_applicable,problems_goal_not_achieved,problems_validated_against_expert_plan,problems_not_validated_against_expert_plan
Depot,10,0,rosame,0,13,0,0,0,0,0,0,[],[],[],[],[],[],[],[]
Depot,10,1,rosame,0,0,0,0,0,13,0,0,[],[],[],[],[],[],[],[]
Depot,10,2,rosame,0,0,0,0,0,13,0,0,[],[],[],[],[],[],[],[]
Depot,10,3,rosame,0,13,0,0,0,0,0,0,[],[],[],[],[],[],[],[]
Depot,10,4,rosame,0,0,0,0,0,13,0,0,[],[],[],[],[],[],[],[]
Depot,50,0,rosame,0,13,0,0,0,0,0,0,[],[],[],[],[],[],[],[]
Depot,50,1,rosame,0,0,0,0,0,13,0,0,[],[],[],[],[],[],[],[]
Depot,50,2,rosame,13,0,0,0,0,0,0,0,"['pfile30.pddl', 'pfile5.pddl', 'pfile50.pddl', 'pfile46.pddl', 'pfile16.pddl', 'pfile60.pddl', 'pfile96.pddl', 'pfile63.pddl', 'pfile58.pddl', 'pfile7.pddl', 'pfile45.pddl', 'pfile68.pddl', 'pfile6.pddl']",[],[],[],[],[],[],[]
Depot,50,3,rosame,0,0,0,0,0,13,0,0,[],[],[],[],[],[],[],[]
Depot,50,4,rosame,0,0,0,0,0,13,0,0,[],[],[],[],[],[],[],[]
Depot,100,0,rosame,13,0,0,0,0,0,0,0,"['pfile30.pddl', 'pfile5.pddl', 'pfile50.pddl', 'pfile46.pddl', 'pfile16.pddl', 'pfile60.pddl', 'pfile96.pddl', 'pfile63.pddl', 'pfile58.pddl', 'pfile7.pddl', 'pfile45.pddl', 'pfile68.pddl', 'pfile6.pddl']",[],[],[],[],[],[],[]
Depot,100,1,rosame,13,0,0,0,0,0,0,0,"['pfile30.pddl', 'pfile5.pddl', 'pfile50.pddl', 'pfile46.pddl', 'pfile16.pddl', 'pfile60.pddl', 'pfile96.pddl', 'pfile63.pddl', 'pfile58.pddl', 'pfile7.pddl', 'pfile45.pddl', 'pfile68.pddl', 'pfile6.pddl']",[],[],[],[],[],[],[]
Depot,100,2,rosame,0,0,0,0,0,13,0,0,[],[],[],[],[],[],[],[]
Depot,100,3,rosame,0,0,0,0,0,13,0,0,[],[],[],[],[],[],[],[]
Depot,100,4,rosame,13,0,0,0,0,0,0,0,"['pfile30.pddl', 'pfile5.pddl', 'pfile50.pddl', 'pfile46.pddl', 'pfile16.pddl', 'pfile60.pddl', 'pfile96.pddl', 'pfile63.pddl', 'pfile58.pddl', 'pfile7.pddl', 'pfile45.pddl', 'pfile68.pddl', 'pfile6.pddl']",[],[],[],[],[],[],[]
Depot,200,0,rosame,13,0,0,0,0,0,0,0,"['pfile30.pddl', 'pfile5.pddl', 'pfile50.pddl', 'pfile46.pddl', 'pfile16.pddl', 'pfile60.pddl', 'pfile96.pddl', 'pfile63.pddl', 'pfile58.pddl', 'pfile7.pddl', 'pfile45.pddl', 'pfile68.pddl', 'pfile6.pddl']",[],[],[],[],[],[],[]
Depot,200,1,rosame,8,0,0,0,0,5,0,0,"['pfile30.pddl', 'pfile5.pddl', 'pfile16.pddl', 'pfile60.pddl', 'pfile96.pddl', 'pfile63.pddl', 'pfile7.pddl', 'pfile68.pddl']",[],[],[],[],[],[],[]
Depot,200,2,rosame,0,0,0,0,0,13,0,0,[],[],[],[],[],[],[],[]
Depot,200,3,rosame,0,0,0,0,0,13,0,0,[],[],[],[],[],[],[],[]
Depot,200,4,rosame,13,0,0,0,0,0,0,0,"['pfile30.pddl', 'pfile5.pddl', 'pfile50.pddl', 'pfile46.pddl', 'pfile16.pddl', 'pfile60.pddl', 'pfile96.pddl', 'pfile63.pddl', 'pfile58.pddl', 'pfile7.pddl', 'pfile45.pddl', 'pfile68.pddl', 'pfile6.pddl']",[],[],[],[],[],[],[]
Depot,300,0,rosame,13,0,0,0,0,0,0,0,"['pfile30.pddl', 'pfile5.pddl', 'pfile50.pddl', 'pfile46.pddl', 'pfile16.pddl', 'pfile60.pddl', 'pfile96.pddl', 'pfile63.pddl', 'pfile58.pddl', 'pfile7.pddl', 'pfile45.pddl', 'pfile68.pddl', 'pfile6.pddl']",[],[],[],[],[],[],[]
Depot,300,1,rosame,13,0,0,0,0,0,0,0,"['pfile30.pddl', 'pfile5.pddl', 'pfile50.pddl', 'pfile46.pddl', 'pfile16.pddl', 'pfile60.pddl', 'pfile96.pddl', 'pfile63.pddl', 'pfile58.pddl', 'pfile7.pddl', 'pfile45.pddl', 'pfile68.pddl', 'pfile6.pddl']",[],[],[],[],[],[],[]
Depot,300,2,rosame,13,0,0,0,0,0,0,0,"['pfile30.pddl', 'pfile5.pddl', 'pfile50.pddl', 'pfile46.pddl', 'pfile16.pddl', 'pfile60.pddl', 'pfile96.pddl', 'pfile63.pddl', 'pfile58.pddl', 'pfile7.pddl', 'pfile45.pddl', 'pfile68.pddl', 'pfile6.pddl']",[],[],[],[],[],[],[]
Depot,300,3,rosame,13,0,0,0,0,0,0,0,"['pfile30.pddl', 'pfile5.pddl', 'pfile50.pddl', 'pfile46.pddl', 'pfile16.pddl', 'pfile60.pddl', 'pfile96.pddl', 'pfile63.pddl', 'pfile58.pddl', 'pfile7.pddl', 'pfile45.pddl', 'pfile68.pddl', 'pfile6.pddl']",[],[],[],[],[],[],[]
Depot,300,4,rosame,13,0,0,0,0,0,0,0,"['pfile30.pddl', 'pfile5.pddl', 'pfile50.pddl', 'pfile46.pddl', 'pfile16.pddl', 'pfile60.pddl', 'pfile96.pddl', 'pfile63.pddl', 'pfile58.pddl', 'pfile7.pddl', 'pfile45.pddl', 'pfile68.pddl', 'pfile6.pddl']",[],[],[],[],[],[],[]
Depot,400,0,rosame,0,0,0,0,0,13,0,0,[],[],[],[],[],[],[],[]
Depot,400,1,rosame,13,0,0,0,0,0,0,0,"['pfile30.pddl', 'pfile5.pddl', 'pfile50.pddl', 'pfile46.pddl', 'pfile16.pddl', 'pfile60.pddl', 'pfile96.pddl', 'pfile63.pddl', 'pfile58.pddl', 'pfile7.pddl', 'pfile45.pddl', 'pfile68.pddl', 'pfile6.pddl']",[],[],[],[],[],[],[]
Depot,400,2,rosame,0,0,0,0,0,13,0,0,[],[],[],[],[],[],[],[]
Depot,400,3,rosame,13,0,0,0,0,0,0,0,"['pfile30.pddl', 'pfile5.pddl', 'pfile50.pddl', 'pfile46.pddl', 'pfile16.pddl', 'pfile60.pddl', 'pfile96.pddl', 'pfile63.pddl', 'pfile58.pddl', 'pfile7.pddl', 'pfile45.pddl', 'pfile68.pddl', 'pfile6.pddl']",[],[],[],[],[],[],[]
Depot,400,4,rosame,13,0,0,0,0,0,0,0,"['pfile30.pddl', 'pfile5.pddl', 'pfile50.pddl', 'pfile46.pddl', 'pfile16.pddl', 'pfile60.pddl', 'pfile96.pddl', 'pfile63.pddl', 'pfile58.pddl', 'pfile7.pddl', 'pfile45.pddl', 'pfile68.pddl', 'pfile6.pddl']",[],[],[],[],[],[],[]
Depot,10,0,sam,0,13,0,0,0,0,0,0,[],[],[],[],[],[],[],[]
Depot,10,1,sam,0,13,0,0,0,0,0,0,[],[],[],[],[],[],[],[]
Depot,10,2,sam,0,13,0,0,0,0,0,0,[],[],[],[],[],[],[],[]
Depot,10,3,sam,0,13,0,0,0,0,0,0,[],[],[],[],[],[],[],[]
Depot,10,4,sam,0,13,0,0,0,0,0,0,[],[],[],[],[],[],[],[]
Depot,50,0,sam,0,13,0,0,0,0,0,0,[],[],[],[],[],[],[],[]
Depot,50,1,sam,13,0,0,0,0,0,0,0,"['pfile30.pddl', 'pfile5.pddl', 'pfile50.pddl', 'pfile46.pddl', 'pfile16.pddl', 'pfile60.pddl', 'pfile96.pddl', 'pfile63.pddl', 'pfile58.pddl', 'pfile7.pddl', 'pfile45.pddl', 'pfile68.pddl', 'pfile6.pddl']",[],[],[],[],[],[],[]
Depot,50,2,sam,13,0,0,0,0,0,0,0,"['pfile30.pddl', 'pfile5.pddl', 'pfile50.pddl', 'pfile46.pddl', 'pfile16.pddl', 'pfile60.pddl', 'pfile96.pddl', 'pfile63.pddl', 'pfile58.pddl', 'pfile7.pddl', 'pfile45.pddl', 'pfile68.pddl', 'pfile6.pddl']",[],[],[],[],[],[],[]
Depot,50,3,sam,13,0,0,0,0,0,0,0,"['pfile30.pddl', 'pfile5.pddl', 'pfile50.pddl', 'pfile46.pddl', 'pfile16.pddl', 'pfile60.pddl', 'pfile96.pddl', 'pfile63.pddl', 'pfile58.pddl', 'pfile7.pddl', 'pfile45.pddl', 'pfile68.pddl', 'pfile6.pddl']",[],[],[],[],[],[],[]
Depot,50,4,sam,13,0,0,0,0,0,0,0,"['pfile30.pddl', 'pfile5.pddl', 'pfile50.pddl', 'pfile46.pddl', 'pfile16.pddl', 'pfile60.pddl', 'pfile96.pddl', 'pfile63.pddl', 'pfile58.pddl', 'pfile7.pddl', 'pfile45.pddl', 'pfile68.pddl', 'pfile6.pddl']",[],[],[],[],[],[],[]
Depot,100,0,sam,13,0,0,0,0,0,0,0,"['pfile30.pddl', 'pfile5.pddl', 'pfile50.pddl', 'pfile46.pddl', 'pfile16.pddl', 'pfile60.pddl', 'pfile96.pddl', 'pfile63.pddl', 'pfile58.pddl', 'pfile7.pddl', 'pfile45.pddl', 'pfile68.pddl', 'pfile6.pddl']",[],[],[],[],[],[],[]
Depot,100,1,sam,13,0,0,0,0,0,0,0,"['pfile30.pddl', 'pfile5.pddl', 'pfile50.pddl', 'pfile46.pddl', 'pfile16.pddl', 'pfile60.pddl', 'pfile96.pddl', 'pfile63.pddl', 'pfile58.pddl', 'pfile7.pddl', 'pfile45.pddl', 'pfile68.pddl', 'pfile6.pddl']",[],[],[],[],[],[],[]
Depot,100,2,sam,13,0,0,0,0,0,0,0,"['pfile30.pddl', 'pfile5.pddl', 'pfile50.pddl', 'pfile46.pddl', 'pfile16.pddl', 'pfile60.pddl', 'pfile96.pddl', 'pfile63.pddl', 'pfile58.pddl', 'pfile7.pddl', 'pfile45.pddl', 'pfile68.pddl', 'pfile6.pddl']",[],[],[],[],[],[],[]
Depot,100,3,sam,13,0,0,0,0,0,0,0,"['pfile30.pddl', 'pfile5.pddl', 'pfile50.pddl', 'pfile46.pddl', 'pfile16.pddl', 'pfile60.pddl', 'pfile96.pddl', 'pfile63.pddl', 'pfile58.pddl', 'pfile7.pddl', 'pfile45.pddl', 'pfile68.pddl', 'pfile6.pddl']",[],[],[],[],[],[],[]
Depot,100,4,sam,13,0,0,0,0,0,0,0,"['pfile30.pddl', 'pfile5.pddl', 'pfile50.pddl', 'pfile46.pddl', 'pfile16.pddl', 'pfile60.pddl', 'pfile96.pddl', 'pfile63.pddl', 'pfile58.pddl', 'pfile7.pddl', 'pfile45.pddl', 'pfile68.pddl', 'pfile6.pddl']",[],[],[],[],[],[],[]
Depot,200,0,sam,13,0,0,0,0,0,0,0,"['pfile30.pddl', 'pfile5.pddl', 'pfile50.pddl', 'pfile46.pddl', 'pfile16.pddl', 'pfile60.pddl', 'pfile96.pddl', 'pfile63.pddl', 'pfile58.pddl', 'pfile7.pddl', 'pfile45.pddl', 'pfile68.pddl', 'pfile6.pddl']",[],[],[],[],[],[],[]
Depot,200,1,sam,13,0,0,0,0,0,0,0,"['pfile30.pddl', 'pfile5.pddl', 'pfile50.pddl', 'pfile46.pddl', 'pfile16.pddl', 'pfile60.pddl', 'pfile96.pddl', 'pfile63.pddl', 'pfile58.pddl', 'pfile7.pddl', 'pfile45.pddl', 'pfile68.pddl', 'pfile6.pddl']",[],[],[],[],[],[],[]
Depot,200,2,sam,13,0,0,0,0,0,0,0,"['pfile30.pddl', 'pfile5.pddl', 'pfile50.pddl', 'pfile46.pddl', 'pfile16.pddl', 'pfile60.pddl', 'pfile96.pddl', 'pfile63.pddl', 'pfile58.pddl', 'pfile7.pddl', 'pfile45.pddl', 'pfile68.pddl', 'pfile6.pddl']",[],[],[],[],[],[],[]
Depot,200,3,sam,13,0,0,0,0,0,0,0,"['pfile30.pddl', 'pfile5.pddl', 'pfile50.pddl', 'pfile46.pddl', 'pfile16.pddl', 'pfile60.pddl', 'pfile96.pddl', 'pfile63.pddl', 'pfile58.pddl', 'pfile7.pddl', 'pfile45.pddl', 'pfile68.pddl', 'pfile6.pddl']",[],[],[],[],[],[],[]
Depot,200,4,sam,13,0,0,0,0,0,0,0,"['pfile30.pddl', 'pfile5.pddl', 'pfile50.pddl', 'pfile46.pddl', 'pfile16.pddl', 'pfile60.pddl', 'pfile96.pddl', 'pfile63.pddl', 'pfile58.pddl', 'pfile7.pddl', 'pfile45.pddl', 'pfile68.pddl', 'pfile6.pddl']",[],[],[],[],[],[],[]
Depot,300,0,sam,13,0,0,0,0,0,0,0,"['pfile30.pddl', 'pfile5.pddl', 'pfile50.pddl', 'pfile46.pddl', 'pfile16.pddl', 'pfile60.pddl', 'pfile96.pddl', 'pfile63.pddl', 'pfile58.pddl', 'pfile7.pddl', 'pfile45.pddl', 'pfile68.pddl', 'pfile6.pddl']",[],[],[],[],[],[],[]
Depot,300,1,sam,13,0,0,0,0,0,0,0,"['pfile30.pddl', 'pfile5.pddl', 'pfile50.pddl', 'pfile46.pddl', 'pfile16.pddl', 'pfile60.pddl', 'pfile96.pddl', 'pfile63.pddl', 'pfile58.pddl', 'pfile7.pddl', 'pfile45.pddl', 'pfile68.pddl', 'pfile6.pddl']",[],[],[],[],[],[],[]
Depot,300,2,sam,13,0,0,0,0,0,0,0,"['pfile30.pddl', 'pfile5.pddl', 'pfile50.pddl', 'pfile46.pddl', 'pfile16.pddl', 'pfile60.pddl', 'pfile96.pddl', 'pfile63.pddl', 'pfile58.pddl', 'pfile7.pddl', 'pfile45.pddl', 'pfile68.pddl', 'pfile6.pddl']",[],[],[],[],[],[],[]
Depot,300,3,sam,13,0,0,0,0,0,0,0,"['pfile30.pddl', 'pfile5.pddl', 'pfile50.pddl', 'pfile46.pddl', 'pfile16.pddl', 'pfile60.pddl', 'pfile96.pddl', 'pfile63.pddl', 'pfile58.pddl', 'pfile7.pddl', 'pfile45.pddl', 'pfile68.pddl', 'pfile6.pddl']",[],[],[],[],[],[],[]
Depot,300,4,sam,13,0,0,0,0,0,0,0,"['pfile30.pddl', 'pfile5.pddl', 'pfile50.pddl', 'pfile46.pddl', 'pfile16.pddl', 'pfile60.pddl', 'pfile96.pddl', 'pfile63.pddl', 'pfile58.pddl', 'pfile7.pddl', 'pfile45.pddl', 'pfile68.pddl', 'pfile6.pddl']",[],[],[],[],[],[],[]
Depot,400,0,sam,13,0,0,0,0,0,0,0,"['pfile30.pddl', 'pfile5.pddl', 'pfile50.pddl', 'pfile46.pddl', 'pfile16.pddl', 'pfile60.pddl', 'pfile96.pddl', 'pfile63.pddl', 'pfile58.pddl', 'pfile7.pddl', 'pfile45.pddl', 'pfile68.pddl', 'pfile6.pddl']",[],[],[],[],[],[],[]
Depot,400,1,sam,13,0,0,0,0,0,0,0,"['pfile30.pddl', 'pfile5.pddl', 'pfile50.pddl', 'pfile46.pddl', 'pfile16.pddl', 'pfile60.pddl', 'pfile96.pddl', 'pfile63.pddl', 'pfile58.pddl', 'pfile7.pddl', 'pfile45.pddl', 'pfile68.pddl', 'pfile6.pddl']",[],[],[],[],[],[],[]
Depot,400,2,sam,13,0,0,0,0,0,0,0,"['pfile30.pddl', 'pfile5.pddl', 'pfile50.pddl', 'pfile46.pddl', 'pfile16.pddl', 'pfile60.pddl', 'pfile96.pddl', 'pfile63.pddl', 'pfile58.pddl', 'pfile7.pddl', 'pfile45.pddl', 'pfile68.pddl', 'pfile6.pddl']",[],[],[],[],[],[],[]
Depot,400,3,sam,13,0,0,0,0,0,0,0,"['pfile30.pddl', 'pfile5.pddl', 'pfile50.pddl', 'pfile46.pddl', 'pfile16.pddl', 'pfile60.pddl', 'pfile96.pddl', 'pfile63.pddl', 'pfile58.pddl', 'pfile7.pddl', 'pfile45.pddl', 'pfile68.pddl', 'pfile6.pddl']",[],[],[],[],[],[],[]
