,Column Labels,,,,,,,,,,,
,Sum of precision_effect,,Sum of recall_precondition,,Sum of recall_effect,,Sum of precision_precondition,,Total Sum of precision_effect,Total Sum of recall_precondition,Total Sum of recall_effect,Total Sum of precision_precondition
Row Labels,rosame,sam,rosame,sam,rosame,sam,rosame,sam,,,,
10,0.4,1,0.71,0.36,0.57,0.43,0.67,0.71,1.4,1.07,1,1.38
50,0.75,1,0.86,0.36,0.43,0.43,0.55,0.71,1.75,1.22,0.86,1.26
100,1,1,0.86,0.86,1,1,0.86,0.92,2,1.72,2,1.78
200,1,1,0.86,0.86,1,1,0.86,0.92,2,1.72,2,1.78
300,1,1,0.86,0.86,1,1,0.86,1,2,1.72,2,1.86
400,1,1,0.86,0.86,1,1,0.86,1,2,1.72,2,1.86
1000,1,1,0.86,0.86,1,1,0.86,1,2,1.72,2,1.86
10000,1,1,0.86,0.86,1,1,0.86,1,2,1.72,2,1.86
Grand Total,7.15,8,6.73,5.88,7,6.86,6.38,7.26,15.15,12.61,13.86,13.64
