Domain,Num triplets,fold,Algorithm,ok,no_solution,timeout,not_applicable,goal_not_achieved,solver_error,validated_against_expert_plan,not_validated_against_expert_plan,problems_ok,problems_no_solution,problems_timeout,problems_solver_error,problems_not_applicable,problems_goal_not_achieved,problems_validated_against_expert_plan,problems_not_validated_against_expert_plan
driverlog,10,0,rosame,0,20,0,0,0,0,0,0,[],[],[],[],[],[],[],[]
driverlog,10,1,rosame,0,20,0,0,0,0,0,0,[],[],[],[],[],[],[],[]
driverlog,10,2,rosame,0,0,0,0,0,20,0,0,[],[],[],[],[],[],[],[]
driverlog,10,3,rosame,0,20,0,0,0,0,0,0,[],[],[],[],[],[],[],[]
driverlog,10,4,rosame,0,20,0,0,0,0,0,0,[],[],[],[],[],[],[],[]
driverlog,50,0,rosame,8,0,12,0,0,0,0,0,"['pfile4.pddl', 'pfile60.pddl', 'pfile42.pddl', 'pfile7.pddl', 'pfile53.pddl', 'pfile13.pddl', 'pfile44.pddl', 'pfile72.pddl']",[],[],[],[],[],[],[]
driverlog,50,1,rosame,0,0,0,0,0,20,0,0,[],[],[],[],[],[],[],[]
driverlog,50,2,rosame,20,0,0,0,0,0,0,0,"['pfile50.pddl', 'pfile4.pddl', 'pfile31.pddl', 'pfile82.pddl', 'pfile98.pddl', 'pfile36.pddl', 'pfile60.pddl', 'pfile83.pddl', 'pfile59.pddl', 'pfile74.pddl', 'pfile35.pddl', 'pfile42.pddl', 'pfile78.pddl', 'pfile39.pddl', 'pfile7.pddl', 'pfile53.pddl', 'pfile13.pddl', 'pfile44.pddl', 'pfile72.pddl', 'pfile6.pddl']",[],[],[],[],[],[],[]
driverlog,50,3,rosame,20,0,0,0,0,0,0,0,"['pfile50.pddl', 'pfile4.pddl', 'pfile31.pddl', 'pfile82.pddl', 'pfile98.pddl', 'pfile36.pddl', 'pfile60.pddl', 'pfile83.pddl', 'pfile59.pddl', 'pfile74.pddl', 'pfile35.pddl', 'pfile42.pddl', 'pfile78.pddl', 'pfile39.pddl', 'pfile7.pddl', 'pfile53.pddl', 'pfile13.pddl', 'pfile44.pddl', 'pfile72.pddl', 'pfile6.pddl']",[],[],[],[],[],[],[]
driverlog,50,4,rosame,20,0,0,0,0,0,0,0,"['pfile50.pddl', 'pfile4.pddl', 'pfile31.pddl', 'pfile82.pddl', 'pfile98.pddl', 'pfile36.pddl', 'pfile60.pddl', 'pfile83.pddl', 'pfile59.pddl', 'pfile74.pddl', 'pfile35.pddl', 'pfile42.pddl', 'pfile78.pddl', 'pfile39.pddl', 'pfile7.pddl', 'pfile53.pddl', 'pfile13.pddl', 'pfile44.pddl', 'pfile72.pddl', 'pfile6.pddl']",[],[],[],[],[],[],[]
