Algorithm,Domain,Num. Of Traces,Threshold,Epsilon,Fold,Unobserved_actions,precision_effect,precision_precondition,recall_effect,recall_precondition
sam,depot,1,NA,NA,0,0,1.0,0.97,1.0,1.0
rosame,depot,1,NA,NA,0,0,1.0,0.97,1.0,1.0
sam,depot,1,NA,NA,1,0,1.0,0.97,1.0,1.0
rosame,depot,1,NA,NA,1,0,1.0,0.97,1.0,1.0
sam,depot,1,NA,NA,2,0,1.0,0.97,1.0,1.0
rosame,depot,1,NA,NA,2,0,1.0,0.97,1.0,1.0
sam,depot,1,NA,NA,3,0,1.0,0.97,1.0,1.0
rosame,depot,1,NA,NA,3,0,1.0,0.97,1.0,1.0
sam,depot,1,NA,NA,4,0,1.0,0.97,1.0,1.0
rosame,depot,1,NA,NA,4,0,0.92,0.97,1.0,0.9
sam,depot,2,NA,NA,0,0,1.0,0.97,1.0,1.0
rosame,depot,2,NA,NA,0,0,1.0,0.97,1.0,1.0
sam,depot,2,NA,NA,1,0,1.0,0.97,1.0,1.0
rosame,depot,2,NA,NA,1,0,1.0,0.97,1.0,1.0
sam,depot,2,NA,NA,2,0,1.0,0.97,1.0,1.0
rosame,depot,2,NA,NA,2,0,1.0,0.97,1.0,1.0
sam,depot,2,NA,NA,3,0,1.0,0.97,1.0,1.0
rosame,depot,2,NA,NA,3,0,1.0,0.97,1.0,1.0
sam,depot,2,NA,NA,4,0,1.0,0.97,1.0,1.0
rosame,depot,2,NA,NA,4,0,1.0,0.97,1.0,1.0
sam,depot,3,NA,NA,0,0,1.0,0.97,1.0,1.0
rosame,depot,3,NA,NA,0,0,1.0,0.97,1.0,1.0
sam,depot,3,NA,NA,1,0,1.0,0.97,1.0,1.0
rosame,depot,3,NA,NA,1,0,1.0,0.97,1.0,1.0
sam,depot,3,NA,NA,2,0,1.0,0.97,1.0,1.0
rosame,depot,3,NA,NA,2,0,1.0,0.97,1.0,1.0
sam,depot,3,NA,NA,3,0,1.0,0.97,1.0,1.0
rosame,depot,3,NA,NA,3,0,1.0,0.97,1.0,1.0
sam,depot,3,NA,NA,4,0,1.0,0.97,1.0,1.0
rosame,depot,3,NA,NA,4,0,1.0,0.97,1.0,1.0
sam,depot,4,NA,NA,0,0,1.0,0.97,1.0,1.0
rosame,depot,4,NA,NA,0,0,1.0,0.97,1.0,1.0
sam,depot,4,NA,NA,1,0,1.0,0.97,1.0,1.0
rosame,depot,4,NA,NA,1,0,1.0,0.97,1.0,1.0
sam,depot,4,NA,NA,2,0,1.0,0.97,1.0,1.0
rosame,depot,4,NA,NA,2,0,1.0,0.97,1.0,1.0
sam,depot,4,NA,NA,3,0,1.0,0.97,1.0,1.0
