Domain,Num triplets,fold,Algorithm,ok,no_solution,timeout,not_applicable,goal_not_achieved,solver_error,validated_against_expert_plan,not_validated_against_expert_plan,problems_ok,problems_no_solution,problems_timeout,problems_solver_error,problems_not_applicable,problems_goal_not_achieved,problems_validated_against_expert_plan,problems_not_validated_against_expert_plan
depot,3,0,nsam,0,10,0,0,0,0,0,0,[],[],[],[],[],[],[],[]
depot,5,0,nsam,3,3,4,0,0,0,0,0,"['pfile102.pddl', 'pfile120.pddl', 'pfile141.pddl']",[],[],[],[],[],[],[]
depot,7,0,nsam,3,4,3,0,0,0,0,0,"['pfile102.pddl', 'pfile120.pddl', 'pfile141.pddl']",[],[],[],[],[],[],[]
depot,10,0,nsam,3,3,4,0,0,0,0,0,"['pfile102.pddl', 'pfile120.pddl', 'pfile141.pddl']",[],[],[],[],[],[],[]
depot,15,0,nsam,3,2,5,0,0,0,0,0,"['pfile102.pddl', 'pfile120.pddl', 'pfile141.pddl']",[],[],[],[],[],[],[]
depot,3,0,nRosame,0,10,0,0,0,0,0,0,[],[],[],[],[],[],[],[]
depot,5,0,nRosame,3,3,4,0,0,0,0,0,"['pfile102.pddl', 'pfile120.pddl', 'pfile141.pddl']",[],[],[],[],[],[],[]
depot,7,0,nRosame,3,4,3,0,0,0,0,0,"['pfile102.pddl', 'pfile120.pddl', 'pfile141.pddl']",[],[],[],[],[],[],[]
depot,10,0,nRosame,3,3,4,0,0,0,0,0,"['pfile102.pddl', 'pfile120.pddl', 'pfile141.pddl']",[],[],[],[],[],[],[]
depot,15,0,nRosame,3,2,5,0,0,0,0,0,"['pfile102.pddl', 'pfile120.pddl', 'pfile141.pddl']",[],[],[],[],[],[],[]
