Domain,Num triplets,fold,Algorithm,ok,no_solution,timeout,not_applicable,goal_not_achieved,solver_error,validated_against_expert_plan,not_validated_against_expert_plan,problems_ok,problems_no_solution,problems_timeout,problems_solver_error,problems_not_applicable,problems_goal_not_achieved,problems_validated_against_expert_plan,problems_not_validated_against_expert_plan
depot,1,0,rosame,10,0,10,0,0,0,0,0,"['pfile92.pddl', 'pfile85.pddl', 'pfile89.pddl', 'pfile94.pddl', 'pfile82.pddl', 'pfile80.pddl', 'pfile78.pddl', 'pfile81.pddl', 'pfile90.pddl', 'pfile87.pddl']",[],[],[],[],[],[],[]
depot,1,1,rosame,10,0,10,0,0,0,0,0,"['pfile92.pddl', 'pfile85.pddl', 'pfile89.pddl', 'pfile94.pddl', 'pfile82.pddl', 'pfile80.pddl', 'pfile78.pddl', 'pfile81.pddl', 'pfile90.pddl', 'pfile87.pddl']",[],[],[],[],[],[],[]
depot,1,2,rosame,9,0,11,0,0,0,0,0,"['pfile92.pddl', 'pfile85.pddl', 'pfile89.pddl', 'pfile94.pddl', 'pfile82.pddl', 'pfile80.pddl', 'pfile78.pddl', 'pfile90.pddl', 'pfile87.pddl']",[],[],[],[],[],[],[]
depot,1,3,rosame,10,0,10,0,0,0,0,0,"['pfile92.pddl', 'pfile85.pddl', 'pfile89.pddl', 'pfile94.pddl', 'pfile82.pddl', 'pfile80.pddl', 'pfile78.pddl', 'pfile81.pddl', 'pfile90.pddl', 'pfile87.pddl']",[],[],[],[],[],[],[]
depot,1,4,rosame,0,0,7,0,0,13,0,0,[],[],[],[],[],[],[],[]
depot,2,0,rosame,10,0,10,0,0,0,0,0,"['pfile92.pddl', 'pfile85.pddl', 'pfile89.pddl', 'pfile94.pddl', 'pfile82.pddl', 'pfile80.pddl', 'pfile78.pddl', 'pfile81.pddl', 'pfile90.pddl', 'pfile87.pddl']",[],[],[],[],[],[],[]
depot,2,1,rosame,10,0,10,0,0,0,0,0,"['pfile92.pddl', 'pfile85.pddl', 'pfile89.pddl', 'pfile94.pddl', 'pfile82.pddl', 'pfile80.pddl', 'pfile78.pddl', 'pfile81.pddl', 'pfile90.pddl', 'pfile87.pddl']",[],[],[],[],[],[],[]
depot,2,2,rosame,10,0,10,0,0,0,0,0,"['pfile92.pddl', 'pfile85.pddl', 'pfile89.pddl', 'pfile94.pddl', 'pfile82.pddl', 'pfile80.pddl', 'pfile78.pddl', 'pfile81.pddl', 'pfile90.pddl', 'pfile87.pddl']",[],[],[],[],[],[],[]
depot,2,3,rosame,10,0,10,0,0,0,0,0,"['pfile92.pddl', 'pfile85.pddl', 'pfile89.pddl', 'pfile94.pddl', 'pfile82.pddl', 'pfile80.pddl', 'pfile78.pddl', 'pfile81.pddl', 'pfile90.pddl', 'pfile87.pddl']",[],[],[],[],[],[],[]
depot,2,4,rosame,10,0,10,0,0,0,0,0,"['pfile92.pddl', 'pfile85.pddl', 'pfile89.pddl', 'pfile94.pddl', 'pfile82.pddl', 'pfile80.pddl', 'pfile78.pddl', 'pfile81.pddl', 'pfile90.pddl', 'pfile87.pddl']",[],[],[],[],[],[],[]
