Algorithm,Domain,Num. Of Traces,Threshold,Epsilon,Fold,Unobserved_actions,precision_effect,precision_precondition,recall_effect,recall_precondition
sam,driverlog,1,NA,NA,0,0,1.0,0.9,1.0,1.0
rosame,driverlog,1,NA,NA,0,0,1.0,0.9,1.0,1.0
sam,driverlog,1,NA,NA,1,0,1.0,0.9,1.0,1.0
rosame,driverlog,1,NA,NA,1,0,1.0,0.9,1.0,1.0
sam,driverlog,1,NA,NA,2,0,0.83,0.74,0.83,0.83
rosame,driverlog,1,NA,NA,2,0,0.88,0.82,0.89,1.0
sam,driverlog,1,NA,NA,3,0,1.0,0.9,1.0,1.0
rosame,driverlog,1,NA,NA,3,0,1.0,0.9,1.0,1.0
sam,driverlog,1,NA,NA,4,0,1.0,0.9,1.0,1.0
rosame,driverlog,1,NA,NA,4,0,1.0,0.9,1.0,1.0
sam,driverlog,1,NA,NA,5,0,1.0,0.9,1.0,1.0
rosame,driverlog,1,NA,NA,5,0,1.0,0.9,1.0,1.0
sam,driverlog,2,NA,NA,0,0,1.0,0.9,1.0,1.0
rosame,driverlog,2,NA,NA,0,0,1.0,0.9,1.0,1.0
sam,driverlog,2,NA,NA,1,0,1.0,0.9,1.0,1.0
rosame,driverlog,2,NA,NA,1,0,1.0,0.9,1.0,1.0
sam,driverlog,2,NA,NA,2,0,1.0,0.9,1.0,1.0
rosame,driverlog,2,NA,NA,2,0,1.0,0.9,1.0,1.0
sam,driverlog,2,NA,NA,3,0,1.0,0.9,1.0,1.0
rosame,driverlog,2,NA,NA,3,0,1.0,0.9,1.0,1.0
sam,driverlog,2,NA,NA,4,0,1.0,0.9,1.0,1.0
rosame,driverlog,2,NA,NA,4,0,1.0,0.9,1.0,1.0
sam,driverlog,2,NA,NA,5,0,1.0,0.9,1.0,1.0
rosame,driverlog,2,NA,NA,5,0,1.0,0.9,1.0,1.0
sam,driverlog,3,NA,NA,0,0,1.0,0.9,1.0,1.0
rosame,driverlog,3,NA,NA,0,0,1.0,0.9,1.0,1.0
sam,driverlog,3,NA,NA,1,0,1.0,0.9,1.0,1.0
rosame,driverlog,3,NA,NA,1,0,1.0,0.9,1.0,1.0
sam,driverlog,3,NA,NA,2,0,1.0,0.9,1.0,1.0
rosame,driverlog,3,NA,NA,2,0,1.0,0.9,1.0,1.0
sam,driverlog,3,NA,NA,3,0,1.0,0.9,1.0,1.0
rosame,driverlog,3,NA,NA,3,0,1.0,0.9,1.0,1.0
sam,driverlog,3,NA,NA,4,0,1.0,0.9,1.0,1.0
rosame,driverlog,3,NA,NA,4,0,1.0,0.9,1.0,1.0
sam,driverlog,3,NA,NA,5,0,1.0,0.9,1.0,1.0
rosame,driverlog,3,NA,NA,5,0,1.0,0.9,1.0,1.0
sam,driverlog,4,NA,NA,0,0,1.0,0.9,1.0,1.0
rosame,driverlog,4,NA,NA,0,0,1.0,0.9,1.0,1.0
sam,driverlog,4,NA,NA,1,0,1.0,0.9,1.0,1.0
rosame,driverlog,4,NA,NA,1,0,1.0,0.9,1.0,1.0
sam,driverlog,4,NA,NA,2,0,1.0,0.9,1.0,1.0
rosame,driverlog,4,NA,NA,2,0,1.0,0.9,1.0,1.0
sam,driverlog,4,NA,NA,3,0,1.0,0.9,1.0,1.0
rosame,driverlog,4,NA,NA,3,0,1.0,0.9,1.0,1.0
sam,driverlog,4,NA,NA,4,0,1.0,0.9,1.0,1.0
rosame,driverlog,4,NA,NA,4,0,1.0,0.9,1.0,1.0
sam,driverlog,4,NA,NA,5,0,1.0,0.9,1.0,1.0
rosame,driverlog,4,NA,NA,5,0,1.0,0.9,1.0,1.0
sam,driverlog,5,NA,NA,0,0,1.0,0.9,1.0,1.0
rosame,driverlog,5,NA,NA,0,0,1.0,0.9,1.0,1.0
sam,driverlog,5,NA,NA,1,0,1.0,0.9,1.0,1.0
rosame,driverlog,5,NA,NA,1,0,1.0,0.9,1.0,1.0
sam,driverlog,5,NA,NA,2,0,1.0,0.9,1.0,1.0
rosame,driverlog,5,NA,NA,2,0,1.0,0.9,1.0,1.0
sam,driverlog,5,NA,NA,3,0,1.0,0.9,1.0,1.0
rosame,driverlog,5,NA,NA,3,0,1.0,0.9,1.0,1.0
sam,driverlog,5,NA,NA,4,0,1.0,0.9,1.0,1.0
rosame,driverlog,5,NA,NA,4,0,1.0,0.9,1.0,1.0
sam,driverlog,5,NA,NA,5,0,1.0,0.9,1.0,1.0
rosame,driverlog,5,NA,NA,5,0,1.0,0.9,1.0,1.0
sam,driverlog,6,NA,NA,0,0,1.0,0.9,1.0,1.0
rosame,driverlog,6,NA,NA,0,0,1.0,0.9,1.0,1.0
sam,driverlog,6,NA,NA,1,0,1.0,0.9,1.0,1.0
rosame,driverlog,6,NA,NA,1,0,1.0,0.9,1.0,1.0
sam,driverlog,6,NA,NA,2,0,1.0,0.9,1.0,1.0
rosame,driverlog,6,NA,NA,2,0,1.0,0.9,1.0,1.0
sam,driverlog,6,NA,NA,3,0,1.0,0.9,1.0,1.0
rosame,driverlog,6,NA,NA,3,0,1.0,0.9,1.0,1.0
sam,driverlog,6,NA,NA,4,0,1.0,0.9,1.0,1.0
rosame,driverlog,6,NA,NA,4,0,1.0,0.9,1.0,1.0
sam,driverlog,6,NA,NA,5,0,1.0,0.9,1.0,1.0
rosame,driverlog,6,NA,NA,5,0,1.0,0.9,1.0,1.0
sam,driverlog,7,NA,NA,0,0,1.0,0.9,1.0,1.0
rosame,driverlog,7,NA,NA,0,0,1.0,0.9,1.0,1.0
sam,driverlog,7,NA,NA,1,0,1.0,0.9,1.0,1.0
rosame,driverlog,7,NA,NA,1,0,1.0,0.9,1.0,1.0
sam,driverlog,7,NA,NA,2,0,1.0,0.9,1.0,1.0
rosame,driverlog,7,NA,NA,2,0,1.0,0.9,1.0,1.0
sam,driverlog,7,NA,NA,3,0,1.0,0.9,1.0,1.0
rosame,driverlog,7,NA,NA,3,0,1.0,0.9,1.0,1.0
sam,driverlog,7,NA,NA,4,0,1.0,0.9,1.0,1.0
rosame,driverlog,7,NA,NA,4,0,1.0,0.9,1.0,1.0
sam,driverlog,7,NA,NA,5,0,1.0,0.9,1.0,1.0
rosame,driverlog,7,NA,NA,5,0,1.0,0.9,1.0,1.0
sam,driverlog,8,NA,NA,0,0,1.0,0.9,1.0,1.0
rosame,driverlog,8,NA,NA,0,0,1.0,0.9,1.0,1.0
sam,driverlog,8,NA,NA,1,0,1.0,0.9,1.0,1.0
rosame,driverlog,8,NA,NA,1,0,1.0,0.9,1.0,1.0
sam,driverlog,8,NA,NA,2,0,1.0,0.9,1.0,1.0
rosame,driverlog,8,NA,NA,2,0,1.0,0.9,1.0,1.0
