Algorithm,Domain,Num. Of Traces,Threshold,Epsilon,Fold,Epoch,Unobserved_actions,precision_effect,precision_precondition,recall_effect,recall_precondition
sam,rover,1,NA,NA,0,NA,0,1.0,0.54,0.73,1.0
rosame,rover,1,NA,NA,0,100,0,1.0,0.54,0.73,1.0
sam,rover,1,NA,NA,0,NA,0,1.0,0.54,0.73,1.0
rosame,rover,1,NA,NA,0,200,0,1.0,0.54,0.73,1.0
sam,rover,1,NA,NA,1,NA,0,0.67,0.38,0.58,0.67
rosame,rover,1,NA,NA,1,100,0,0.67,0.43,0.58,0.89
sam,rover,1,NA,NA,1,NA,0,0.67,0.38,0.58,0.67
rosame,rover,1,NA,NA,1,200,0,0.69,0.39,0.68,0.78
sam,rover,1,NA,NA,2,NA,0,0.67,0.35,0.58,0.67
rosame,rover,1,NA,NA,2,100,0,0.7,0.39,0.68,0.81
sam,rover,1,NA,NA,2,NA,0,0.67,0.35,0.58,0.67
rosame,rover,1,NA,NA,2,200,0,0.69,0.4,0.63,0.91
sam,rover,1,NA,NA,3,NA,0,1.0,0.59,0.73,1.0
rosame,rover,1,NA,NA,3,100,0,1.0,0.59,0.73,1.0
sam,rover,1,NA,NA,3,NA,0,1.0,0.59,0.73,1.0
rosame,rover,1,NA,NA,3,200,0,1.0,0.59,0.73,1.0
sam,rover,1,NA,NA,4,NA,0,0.78,0.46,0.6,0.78
rosame,rover,1,NA,NA,4,100,0,0.78,0.5,0.64,1.0
sam,rover,1,NA,NA,4,NA,0,0.78,0.46,0.6,0.78
rosame,rover,1,NA,NA,4,200,0,0.79,0.49,0.66,0.89
sam,rover,2,NA,NA,0,NA,0,1.0,0.56,0.73,1.0
rosame,rover,2,NA,NA,0,100,0,0.69,0.44,0.68,0.81
sam,rover,2,NA,NA,0,NA,0,1.0,0.56,0.73,1.0
rosame,rover,2,NA,NA,0,200,0,0.7,0.43,0.7,0.89
sam,rover,2,NA,NA,1,NA,0,1.0,0.62,0.73,1.0
rosame,rover,2,NA,NA,1,100,0,1.0,0.59,0.73,1.0
sam,rover,2,NA,NA,1,NA,0,1.0,0.62,0.73,1.0
rosame,rover,2,NA,NA,1,200,0,1.0,0.59,0.73,1.0
sam,rover,2,NA,NA,2,NA,0,0.78,0.47,0.6,0.78
rosame,rover,2,NA,NA,2,100,0,0.67,0.37,0.64,0.72
sam,rover,2,NA,NA,2,NA,0,0.78,0.47,0.6,0.78
rosame,rover,2,NA,NA,2,200,0,0.68,0.37,0.71,0.78
sam,rover,2,NA,NA,3,NA,0,0.67,0.48,0.58,0.67
rosame,rover,2,NA,NA,3,100,0,0.68,0.44,0.64,0.83
sam,rover,2,NA,NA,3,NA,0,0.67,0.48,0.58,0.67
rosame,rover,2,NA,NA,3,200,0,0.67,0.43,0.62,0.89
sam,rover,2,NA,NA,4,NA,0,0.67,0.43,0.58,0.67
rosame,rover,2,NA,NA,4,100,0,0.56,0.32,0.53,0.67
sam,rover,2,NA,NA,4,NA,0,0.67,0.43,0.58,0.67
rosame,rover,2,NA,NA,4,200,0,0.59,0.41,0.58,1.0
sam,rover,3,NA,NA,0,NA,0,1.0,0.6,0.73,1.0
