Algorithm,Domain,Num. Of Traces,Threshold,Epsilon,Fold,Unobserved_actions,precision_effect,precision_precondition,recall_effect,recall_precondition
sam,rover,1,NA,NA,0,0,1.0,0.54,0.73,1.0
rosame,rover,1,NA,NA,0,0,1.0,0.54,0.73,1.0
sam,rover,1,NA,NA,1,0,0.67,0.38,0.58,0.67
rosame,rover,1,NA,NA,1,0,0.68,0.41,0.63,0.72
sam,rover,1,NA,NA,2,0,0.67,0.35,0.58,0.67
rosame,rover,1,NA,NA,2,0,0.69,0.4,0.68,0.89
sam,rover,1,NA,NA,3,0,1.0,0.59,0.73,1.0
rosame,rover,1,NA,NA,3,0,1.0,0.59,0.73,1.0
sam,rover,1,NA,NA,4,0,0.78,0.46,0.6,0.78
rosame,rover,1,NA,NA,4,0,0.78,0.5,0.64,1.0
sam,rover,2,NA,NA,0,0,1.0,0.56,0.73,1.0
rosame,rover,2,NA,NA,0,0,1.0,0.51,0.73,1.0
sam,rover,2,NA,NA,1,0,1.0,0.62,0.73,1.0
rosame,rover,2,NA,NA,1,0,1.0,0.59,0.73,1.0
sam,rover,2,NA,NA,2,0,0.78,0.47,0.6,0.78
rosame,rover,2,NA,NA,2,0,0.79,0.39,0.67,0.8
sam,rover,2,NA,NA,3,0,0.67,0.48,0.58,0.67
rosame,rover,2,NA,NA,3,0,0.67,0.41,0.6,0.72
sam,rover,2,NA,NA,4,0,0.67,0.43,0.58,0.67
rosame,rover,2,NA,NA,4,0,0.69,0.42,0.7,0.72
sam,rover,3,NA,NA,0,0,1.0,0.6,0.73,1.0
rosame,rover,3,NA,NA,0,0,0.89,0.47,0.71,1.0
sam,rover,3,NA,NA,1,0,1.0,0.67,0.73,1.0
rosame,rover,3,NA,NA,1,0,1.0,0.5,0.73,1.0
sam,rover,3,NA,NA,2,0,0.67,0.48,0.58,0.67
rosame,rover,3,NA,NA,2,0,0.67,0.4,0.64,0.89
sam,rover,3,NA,NA,3,0,0.89,0.59,0.71,0.89
rosame,rover,3,NA,NA,3,0,0.89,0.49,0.76,1.0
sam,rover,3,NA,NA,4,0,0.89,0.59,0.71,0.89
rosame,rover,3,NA,NA,4,0,0.89,0.51,0.71,1.0
sam,rover,4,NA,NA,0,0,1.0,0.67,0.73,1.0
rosame,rover,4,NA,NA,0,0,1.0,0.6,0.73,1.0
sam,rover,4,NA,NA,1,0,0.78,0.56,0.6,0.78
rosame,rover,4,NA,NA,1,0,0.78,0.47,0.6,1.0
sam,rover,4,NA,NA,2,0,0.89,0.59,0.71,0.89
rosame,rover,4,NA,NA,2,0,0.9,0.49,0.76,0.94
sam,rover,4,NA,NA,3,0,1.0,0.64,0.73,1.0
rosame,rover,4,NA,NA,3,0,1.0,0.56,0.73,1.0
sam,rover,4,NA,NA,4,0,0.89,0.6,0.71,0.89
rosame,rover,4,NA,NA,4,0,0.9,0.47,0.78,0.89
sam,rover,5,NA,NA,0,0,1.0,0.7,0.73,1.0
rosame,rover,5,NA,NA,0,0,1.0,0.57,0.73,1.0
sam,rover,5,NA,NA,1,0,0.67,0.52,0.58,0.67
rosame,rover,5,NA,NA,1,0,0.67,0.43,0.58,1.0
sam,rover,5,NA,NA,2,0,1.0,0.65,0.73,1.0
rosame,rover,5,NA,NA,2,0,1.0,0.51,0.73,1.0
sam,rover,5,NA,NA,3,0,1.0,0.67,0.73,1.0
rosame,rover,5,NA,NA,3,0,1.0,0.51,0.73,1.0
sam,rover,5,NA,NA,4,0,1.0,0.67,0.73,1.0
rosame,rover,5,NA,NA,4,0,1.0,0.52,0.73,1.0
sam,rover,6,NA,NA,0,0,1.0,0.7,0.73,1.0
rosame,rover,6,NA,NA,0,0,1.0,0.5,0.73,1.0
sam,rover,6,NA,NA,1,0,0.89,0.59,0.71,0.89
rosame,rover,6,NA,NA,1,0,0.89,0.49,0.71,1.0
sam,rover,6,NA,NA,2,0,1.0,0.69,0.73,1.0
rosame,rover,6,NA,NA,2,0,0.89,0.54,0.71,1.0
sam,rover,6,NA,NA,3,0,1.0,0.69,0.73,1.0
rosame,rover,6,NA,NA,3,0,1.0,0.55,0.73,1.0
sam,rover,6,NA,NA,4,0,1.0,0.68,0.73,1.0
rosame,rover,6,NA,NA,4,0,1.0,0.59,0.73,1.0
sam,rover,7,NA,NA,0,0,1.0,0.71,0.73,1.0
rosame,rover,7,NA,NA,0,0,1.0,0.54,0.73,1.0
sam,rover,7,NA,NA,1,0,1.0,0.65,0.73,1.0
rosame,rover,7,NA,NA,1,0,1.0,0.54,0.73,1.0
sam,rover,7,NA,NA,2,0,1.0,0.69,0.73,1.0
rosame,rover,7,NA,NA,2,0,1.0,0.58,0.73,1.0
sam,rover,7,NA,NA,3,0,1.0,0.71,0.73,1.0
rosame,rover,7,NA,NA,3,0,1.0,0.58,0.73,1.0
sam,rover,7,NA,NA,4,0,1.0,0.67,0.73,1.0
rosame,rover,7,NA,NA,4,0,1.0,0.52,0.73,1.0
sam,rover,8,NA,NA,0,0,1.0,0.72,0.73,1.0
rosame,rover,8,NA,NA,0,0,1.0,0.55,0.73,1.0
sam,rover,8,NA,NA,1,0,1.0,0.67,0.73,1.0
rosame,rover,8,NA,NA,1,0,1.0,0.55,0.73,1.0
sam,rover,8,NA,NA,2,0,1.0,0.71,0.73,1.0
rosame,rover,8,NA,NA,2,0,1.0,0.55,0.73,1.0
sam,rover,8,NA,NA,3,0,1.0,0.69,0.73,1.0
rosame,rover,8,NA,NA,3,0,1.0,0.54,0.73,1.0
sam,rover,8,NA,NA,4,0,1.0,0.68,0.73,1.0
rosame,rover,8,NA,NA,4,0,1.0,0.46,0.73,1.0
sam,rover,9,NA,NA,0,0,1.0,0.72,0.73,1.0
rosame,rover,9,NA,NA,0,0,1.0,0.51,0.73,1.0
sam,rover,9,NA,NA,1,0,1.0,0.69,0.73,1.0
rosame,rover,9,NA,NA,1,0,1.0,0.54,0.73,1.0
sam,rover,9,NA,NA,2,0,1.0,0.71,0.73,1.0
rosame,rover,9,NA,NA,2,0,1.0,0.54,0.73,1.0
sam,rover,9,NA,NA,3,0,1.0,0.7,0.73,1.0
rosame,rover,9,NA,NA,3,0,1.0,0.58,0.73,1.0
sam,rover,9,NA,NA,4,0,1.0,0.72,0.73,1.0
rosame,rover,9,NA,NA,4,0,1.0,0.62,0.73,1.0
sam,rover,10,NA,NA,0,0,1.0,0.72,0.73,1.0
rosame,rover,10,NA,NA,0,0,1.0,0.52,0.73,1.0
sam,rover,10,NA,NA,1,0,1.0,0.69,0.73,1.0
rosame,rover,10,NA,NA,1,0,1.0,0.51,0.73,1.0
sam,rover,10,NA,NA,2,0,1.0,0.71,0.73,1.0
rosame,rover,10,NA,NA,2,0,1.0,0.57,0.73,1.0
sam,rover,10,NA,NA,3,0,1.0,0.69,0.73,1.0
rosame,rover,10,NA,NA,3,0,1.0,0.46,0.73,1.0
sam,rover,10,NA,NA,4,0,1.0,0.69,0.73,1.0
rosame,rover,10,NA,NA,4,0,1.0,0.55,0.73,1.0
sam,rover,15,NA,NA,0,0,1.0,0.73,0.73,1.0
rosame,rover,15,NA,NA,0,0,1.0,0.52,0.73,1.0
sam,rover,15,NA,NA,1,0,1.0,0.73,0.73,1.0
rosame,rover,15,NA,NA,1,0,1.0,0.59,0.73,1.0
sam,rover,15,NA,NA,2,0,1.0,0.73,0.73,1.0
rosame,rover,15,NA,NA,2,0,1.0,0.6,0.73,1.0
sam,rover,15,NA,NA,3,0,1.0,0.73,0.73,1.0
rosame,rover,15,NA,NA,3,0,1.0,0.64,0.73,1.0
sam,rover,15,NA,NA,4,0,1.0,0.73,0.73,1.0
rosame,rover,15,NA,NA,4,0,1.0,0.57,0.73,1.0
