Domain,Num triplets,fold,Algorithm,ok,no_solution,timeout,not_applicable,goal_not_achieved,solver_error,validated_against_expert_plan,not_validated_against_expert_plan,problems_ok,problems_no_solution,problems_timeout,problems_solver_error,problems_not_applicable,problems_goal_not_achieved,problems_validated_against_expert_plan,problems_not_validated_against_expert_plan
sailing,3,0,nsam,4,2,4,0,0,0,0,0,"['pfile92.pddl', 'pfile94.pddl', 'pfile98.pddl', 'pfile99.pddl']",[],[],[],[],[],[],[]
sailing,5,0,nsam,5,2,2,0,0,1,0,0,"['pfile92.pddl', 'pfile94.pddl', 'pfile98.pddl', 'pfile99.pddl', 'pfile91.pddl']",[],[],[],[],[],[],[]
sailing,7,0,nsam,5,0,5,0,0,0,0,0,"['pfile92.pddl', 'pfile94.pddl', 'pfile99.pddl', 'pfile90.pddl', 'pfile91.pddl']",[],[],[],[],[],[],[]
sailing,10,0,nsam,6,0,4,0,0,0,0,0,"['pfile92.pddl', 'pfile94.pddl', 'pfile98.pddl', 'pfile99.pddl', 'pfile90.pddl', 'pfile91.pddl']",[],[],[],[],[],[],[]
sailing,20,0,nsam,0,0,0,0,0,10,0,0,[],[],[],[],[],[],[],[]
sailing,3,0,nRosame,4,2,4,0,0,0,0,0,"['pfile92.pddl', 'pfile94.pddl', 'pfile98.pddl', 'pfile99.pddl']",[],[],[],[],[],[],[]
sailing,5,0,nRosame,5,2,2,0,0,1,0,0,"['pfile92.pddl', 'pfile94.pddl', 'pfile98.pddl', 'pfile99.pddl', 'pfile91.pddl']",[],[],[],[],[],[],[]
sailing,7,0,nRosame,5,1,4,0,0,0,0,0,"['pfile92.pddl', 'pfile94.pddl', 'pfile99.pddl', 'pfile90.pddl', 'pfile91.pddl']",[],[],[],[],[],[],[]
sailing,10,0,nRosame,6,0,4,0,0,0,0,0,"['pfile92.pddl', 'pfile94.pddl', 'pfile98.pddl', 'pfile99.pddl', 'pfile90.pddl', 'pfile91.pddl']",[],[],[],[],[],[],[]
sailing,20,0,nRosame,0,0,0,0,0,10,0,0,[],[],[],[],[],[],[],[]
