Algorithm,Domain,Num. Of Traces,Threshold,Epsilon,Fold,Unobserved_actions,precision_effect,precision_precondition,recall_effect,recall_precondition
sam,satellite,1,NA,NA,0,0,0.8,0.8,0.73,0.8
rosame,satellite,1,NA,NA,0,0,1.0,1.0,0.83,0.9
sam,satellite,1,NA,NA,1,0,0.8,0.8,0.73,0.8
rosame,satellite,1,NA,NA,1,0,0.85,0.9,0.83,0.9
sam,satellite,1,NA,NA,2,0,0.8,0.8,0.73,0.8
rosame,satellite,1,NA,NA,2,0,0.8,0.8,0.73,0.8
sam,satellite,1,NA,NA,3,0,0.8,0.8,0.73,0.8
rosame,satellite,1,NA,NA,3,0,0.8,0.9,0.73,1.0
sam,satellite,1,NA,NA,4,0,0.8,0.8,0.73,0.8
rosame,satellite,1,NA,NA,4,0,0.8,0.8,0.73,0.8
sam,satellite,1,NA,NA,5,0,0.8,0.8,0.73,0.8
rosame,satellite,1,NA,NA,5,0,0.85,0.8,0.83,0.8
sam,satellite,2,NA,NA,0,0,0.8,0.8,0.73,0.8
rosame,satellite,2,NA,NA,0,0,0.8,0.9,0.73,0.9
sam,satellite,2,NA,NA,1,0,0.8,0.8,0.73,0.8
rosame,satellite,2,NA,NA,1,0,0.85,0.9,0.83,1.0
sam,satellite,2,NA,NA,2,0,0.8,0.8,0.73,0.8
rosame,satellite,2,NA,NA,2,0,0.85,0.8,0.83,0.8
sam,satellite,2,NA,NA,3,0,1.0,0.93,1.0,1.0
rosame,satellite,2,NA,NA,3,0,1.0,0.93,0.93,1.0
sam,satellite,2,NA,NA,4,0,0.8,0.8,0.73,0.8
rosame,satellite,2,NA,NA,4,0,0.8,0.8,0.73,0.8
sam,satellite,2,NA,NA,5,0,0.8,0.8,0.73,0.8
rosame,satellite,2,NA,NA,5,0,0.8,0.8,0.73,0.8
sam,satellite,3,NA,NA,0,0,0.8,0.8,0.73,0.8
rosame,satellite,3,NA,NA,0,0,0.8,0.8,0.73,0.8
sam,satellite,3,NA,NA,1,0,0.8,0.8,0.73,0.8
rosame,satellite,3,NA,NA,1,0,0.8,0.8,0.73,0.8
sam,satellite,3,NA,NA,2,0,1.0,0.93,1.0,1.0
rosame,satellite,3,NA,NA,2,0,1.0,0.93,0.93,1.0
sam,satellite,3,NA,NA,3,0,0.8,0.8,0.73,0.8
rosame,satellite,3,NA,NA,3,0,0.85,0.9,0.83,1.0
sam,satellite,3,NA,NA,4,0,0.8,0.8,0.73,0.8
rosame,satellite,3,NA,NA,4,0,0.8,0.9,0.73,1.0
sam,satellite,3,NA,NA,5,0,0.8,0.8,0.73,0.8
rosame,satellite,3,NA,NA,5,0,0.85,0.9,0.83,1.0
sam,satellite,4,NA,NA,0,0,0.8,0.8,0.73,0.8
rosame,satellite,4,NA,NA,0,0,0.87,0.93,0.83,1.0
sam,satellite,4,NA,NA,1,0,1.0,0.93,1.0,1.0
rosame,satellite,4,NA,NA,1,0,1.0,0.93,0.93,1.0
sam,satellite,4,NA,NA,2,0,0.8,0.8,0.73,0.8
rosame,satellite,4,NA,NA,2,0,0.8,0.9,0.73,1.0
sam,satellite,4,NA,NA,3,0,0.8,0.8,0.73,0.8
rosame,satellite,4,NA,NA,3,0,0.8,0.9,0.73,1.0
sam,satellite,4,NA,NA,4,0,1.0,0.93,1.0,1.0
rosame,satellite,4,NA,NA,4,0,1.0,0.93,0.93,1.0
sam,satellite,4,NA,NA,5,0,0.8,0.8,0.73,0.8
rosame,satellite,4,NA,NA,5,0,0.8,0.8,0.73,0.8
sam,satellite,5,NA,NA,0,0,0.8,0.8,0.73,0.8
rosame,satellite,5,NA,NA,0,0,0.85,0.8,0.83,0.8
sam,satellite,5,NA,NA,1,0,1.0,0.93,1.0,1.0
rosame,satellite,5,NA,NA,1,0,1.0,0.93,0.93,1.0
sam,satellite,5,NA,NA,2,0,0.8,0.8,0.73,0.8
rosame,satellite,5,NA,NA,2,0,0.85,0.9,0.83,1.0
sam,satellite,5,NA,NA,3,0,1.0,0.93,1.0,1.0
rosame,satellite,5,NA,NA,3,0,1.0,0.93,0.93,1.0
sam,satellite,5,NA,NA,4,0,0.8,0.8,0.73,0.8
rosame,satellite,5,NA,NA,4,0,0.8,0.8,0.73,0.8
sam,satellite,5,NA,NA,5,0,1.0,0.93,1.0,1.0
rosame,satellite,5,NA,NA,5,0,1.0,0.93,0.93,1.0
sam,satellite,6,NA,NA,0,0,0.8,0.8,0.73,0.8
rosame,satellite,6,NA,NA,0,0,0.8,0.8,0.73,0.8
sam,satellite,6,NA,NA,1,0,1.0,0.93,1.0,1.0
rosame,satellite,6,NA,NA,1,0,1.0,0.93,0.93,1.0
sam,satellite,6,NA,NA,2,0,0.8,0.8,0.73,0.8
rosame,satellite,6,NA,NA,2,0,0.8,0.9,0.73,1.0
sam,satellite,6,NA,NA,3,0,1.0,0.93,1.0,1.0
rosame,satellite,6,NA,NA,3,0,1.0,0.93,0.93,1.0
sam,satellite,6,NA,NA,4,0,1.0,0.93,1.0,1.0
rosame,satellite,6,NA,NA,4,0,1.0,0.93,0.93,1.0
sam,satellite,6,NA,NA,5,0,0.8,0.8,0.73,0.8
rosame,satellite,6,NA,NA,5,0,0.8,0.8,0.73,0.8
sam,satellite,7,NA,NA,0,0,0.8,0.8,0.73,0.8
rosame,satellite,7,NA,NA,0,0,0.85,0.9,0.83,1.0
sam,satellite,7,NA,NA,1,0,1.0,0.93,1.0,1.0
rosame,satellite,7,NA,NA,1,0,1.0,0.93,0.93,1.0
sam,satellite,7,NA,NA,2,0,1.0,0.93,1.0,1.0
rosame,satellite,7,NA,NA,2,0,1.0,0.93,0.93,1.0
sam,satellite,7,NA,NA,3,0,1.0,0.93,1.0,1.0
rosame,satellite,7,NA,NA,3,0,1.0,0.93,0.93,1.0
sam,satellite,7,NA,NA,4,0,0.8,0.8,0.73,0.8
rosame,satellite,7,NA,NA,4,0,0.85,0.9,0.83,1.0
sam,satellite,7,NA,NA,5,0,0.8,0.8,0.73,0.8
rosame,satellite,7,NA,NA,5,0,0.85,0.8,0.83,0.8
sam,satellite,8,NA,NA,0,0,1.0,0.93,1.0,1.0
rosame,satellite,8,NA,NA,0,0,1.0,0.93,0.93,1.0
sam,satellite,8,NA,NA,1,0,0.8,0.8,0.73,0.8
rosame,satellite,8,NA,NA,1,0,0.85,0.8,0.83,0.8
sam,satellite,8,NA,NA,2,0,1.0,0.93,1.0,1.0
rosame,satellite,8,NA,NA,2,0,1.0,0.93,0.93,1.0
sam,satellite,8,NA,NA,3,0,1.0,0.93,1.0,1.0
rosame,satellite,8,NA,NA,3,0,1.0,0.93,0.93,1.0
sam,satellite,8,NA,NA,4,0,0.8,0.8,0.73,0.8
rosame,satellite,8,NA,NA,4,0,0.8,0.8,0.73,0.8
sam,satellite,8,NA,NA,5,0,0.8,0.8,0.73,0.8
rosame,satellite,8,NA,NA,5,0,0.85,0.8,0.83,0.8
sam,satellite,9,NA,NA,0,0,1.0,0.93,1.0,1.0
rosame,satellite,9,NA,NA,0,0,1.0,0.93,0.93,1.0
sam,satellite,9,NA,NA,1,0,0.8,0.8,0.73,0.8
rosame,satellite,9,NA,NA,1,0,0.8,0.8,0.73,0.8
sam,satellite,9,NA,NA,2,0,1.0,0.93,1.0,1.0
rosame,satellite,9,NA,NA,2,0,1.0,0.93,0.93,1.0
sam,satellite,9,NA,NA,3,0,0.8,0.8,0.73,0.8
rosame,satellite,9,NA,NA,3,0,0.85,0.8,0.83,0.8
sam,satellite,9,NA,NA,4,0,0.8,0.8,0.73,0.8
rosame,satellite,9,NA,NA,4,0,0.85,0.8,0.83,0.8
sam,satellite,9,NA,NA,5,0,0.8,0.8,0.73,0.8
rosame,satellite,9,NA,NA,5,0,0.85,0.9,0.83,1.0
sam,satellite,10,NA,NA,0,0,1.0,0.93,1.0,1.0
rosame,satellite,10,NA,NA,0,0,1.0,0.93,0.93,1.0
sam,satellite,10,NA,NA,1,0,1.0,0.93,1.0,1.0
rosame,satellite,10,NA,NA,1,0,1.0,0.93,0.93,1.0
sam,satellite,10,NA,NA,2,0,1.0,0.93,1.0,1.0
rosame,satellite,10,NA,NA,2,0,1.0,0.93,0.93,1.0
sam,satellite,10,NA,NA,3,0,0.8,0.8,0.73,0.8
rosame,satellite,10,NA,NA,3,0,0.85,0.8,0.83,0.8
sam,satellite,10,NA,NA,4,0,0.8,0.8,0.73,0.8
rosame,satellite,10,NA,NA,4,0,0.8,0.9,0.73,1.0
sam,satellite,10,NA,NA,5,0,0.8,0.8,0.73,0.8
rosame,satellite,10,NA,NA,5,0,0.8,0.9,0.73,1.0
sam,satellite,15,NA,NA,0,0,1.0,0.93,1.0,1.0
rosame,satellite,15,NA,NA,0,0,1.0,0.93,0.93,1.0
sam,satellite,15,NA,NA,1,0,1.0,0.93,1.0,1.0
rosame,satellite,15,NA,NA,1,0,1.0,0.93,0.93,1.0
sam,satellite,15,NA,NA,2,0,0.8,0.8,0.73,0.8
rosame,satellite,15,NA,NA,2,0,0.8,0.9,0.73,1.0
sam,satellite,15,NA,NA,3,0,0.8,0.8,0.73,0.8
rosame,satellite,15,NA,NA,3,0,0.85,0.8,0.83,0.8
sam,satellite,15,NA,NA,4,0,0.8,0.8,0.73,0.8
rosame,satellite,15,NA,NA,4,0,0.8,0.9,0.73,1.0
sam,satellite,15,NA,NA,5,0,0.8,0.8,0.73,0.8
rosame,satellite,15,NA,NA,5,0,0.85,0.8,0.83,0.8
