Algorithm,Domain,Num. Of Traces,Threshold,Epsilon,Fold,Unobserved_actions,precision_effect,precision_precondition,recall_effect,recall_precondition
sam,zeno-travel,1,NA,NA,0,0,1.0,1.0,1.0,0.9
rosame,zeno-travel,1,NA,NA,0,0,1.0,1.0,0.8,0.9
sam,zeno-travel,1,NA,NA,1,0,1.0,1.0,1.0,0.9
rosame,zeno-travel,1,NA,NA,1,0,0.96,1.0,0.8,0.83
sam,zeno-travel,1,NA,NA,2,0,1.0,1.0,1.0,0.9
rosame,zeno-travel,1,NA,NA,2,0,1.0,1.0,0.8,0.9
sam,zeno-travel,1,NA,NA,3,0,1.0,1.0,1.0,0.9
rosame,zeno-travel,1,NA,NA,3,0,1.0,1.0,0.8,0.9
sam,zeno-travel,1,NA,NA,4,0,0.6,0.6,0.6,0.5
rosame,zeno-travel,1,NA,NA,4,0,0.71,0.6,0.6,0.4
sam,zeno-travel,2,NA,NA,0,0,1.0,1.0,1.0,0.9
rosame,zeno-travel,2,NA,NA,0,0,1.0,1.0,0.8,0.9
sam,zeno-travel,2,NA,NA,1,0,1.0,1.0,1.0,0.9
rosame,zeno-travel,2,NA,NA,1,0,1.0,1.0,0.8,0.9
sam,zeno-travel,2,NA,NA,2,0,0.6,0.6,0.6,0.5
rosame,zeno-travel,2,NA,NA,2,0,0.65,0.82,0.45,0.9
sam,zeno-travel,2,NA,NA,3,0,1.0,1.0,1.0,0.9
rosame,zeno-travel,2,NA,NA,3,0,1.0,1.0,0.8,0.9
sam,zeno-travel,2,NA,NA,4,0,1.0,1.0,1.0,0.9
rosame,zeno-travel,2,NA,NA,4,0,1.0,1.0,0.8,0.9
sam,zeno-travel,3,NA,NA,0,0,1.0,1.0,1.0,0.9
rosame,zeno-travel,3,NA,NA,0,0,1.0,1.0,0.8,0.9
sam,zeno-travel,3,NA,NA,1,0,1.0,1.0,1.0,0.9
rosame,zeno-travel,3,NA,NA,1,0,1.0,1.0,0.8,0.9
sam,zeno-travel,3,NA,NA,2,0,1.0,1.0,1.0,0.9
rosame,zeno-travel,3,NA,NA,2,0,1.0,1.0,0.8,0.9
sam,zeno-travel,3,NA,NA,3,0,1.0,1.0,1.0,0.9
rosame,zeno-travel,3,NA,NA,3,0,1.0,1.0,0.8,0.9
sam,zeno-travel,3,NA,NA,4,0,1.0,1.0,1.0,0.9
rosame,zeno-travel,3,NA,NA,4,0,1.0,1.0,0.8,0.9
sam,zeno-travel,4,NA,NA,0,0,1.0,1.0,1.0,0.9
rosame,zeno-travel,4,NA,NA,0,0,1.0,1.0,0.8,0.9
sam,zeno-travel,4,NA,NA,1,0,1.0,1.0,1.0,0.9
rosame,zeno-travel,4,NA,NA,1,0,1.0,1.0,0.8,0.9
sam,zeno-travel,4,NA,NA,2,0,1.0,1.0,1.0,0.9
rosame,zeno-travel,4,NA,NA,2,0,1.0,1.0,0.8,0.9
sam,zeno-travel,4,NA,NA,3,0,1.0,1.0,1.0,0.9
rosame,zeno-travel,4,NA,NA,3,0,1.0,1.0,0.8,0.9
sam,zeno-travel,4,NA,NA,4,0,1.0,1.0,1.0,0.9
rosame,zeno-travel,4,NA,NA,4,0,1.0,1.0,0.8,0.9
sam,zeno-travel,5,NA,NA,0,0,1.0,1.0,1.0,0.9
rosame,zeno-travel,5,NA,NA,0,0,1.0,1.0,0.8,0.9
sam,zeno-travel,5,NA,NA,1,0,1.0,1.0,1.0,0.9
rosame,zeno-travel,5,NA,NA,1,0,1.0,1.0,0.8,0.9
sam,zeno-travel,5,NA,NA,2,0,1.0,1.0,1.0,0.9
rosame,zeno-travel,5,NA,NA,2,0,1.0,1.0,0.8,0.9
sam,zeno-travel,5,NA,NA,3,0,1.0,1.0,1.0,0.9
rosame,zeno-travel,5,NA,NA,3,0,1.0,1.0,0.8,0.9
sam,zeno-travel,5,NA,NA,4,0,1.0,1.0,1.0,0.9
rosame,zeno-travel,5,NA,NA,4,0,1.0,1.0,0.8,0.9
sam,zeno-travel,6,NA,NA,0,0,1.0,1.0,1.0,0.9
rosame,zeno-travel,6,NA,NA,0,0,1.0,1.0,0.8,0.9
sam,zeno-travel,6,NA,NA,1,0,1.0,1.0,1.0,0.9
rosame,zeno-travel,6,NA,NA,1,0,1.0,1.0,0.8,0.9
sam,zeno-travel,6,NA,NA,2,0,1.0,1.0,1.0,0.9
rosame,zeno-travel,6,NA,NA,2,0,1.0,1.0,0.8,0.9
sam,zeno-travel,6,NA,NA,3,0,1.0,1.0,1.0,0.9
rosame,zeno-travel,6,NA,NA,3,0,1.0,1.0,0.8,0.9
sam,zeno-travel,6,NA,NA,4,0,1.0,1.0,1.0,0.9
rosame,zeno-travel,6,NA,NA,4,0,1.0,1.0,0.8,0.9
sam,zeno-travel,7,NA,NA,0,0,1.0,1.0,1.0,0.9
rosame,zeno-travel,7,NA,NA,0,0,1.0,1.0,0.8,0.9
sam,zeno-travel,7,NA,NA,1,0,1.0,1.0,1.0,0.9
rosame,zeno-travel,7,NA,NA,1,0,1.0,1.0,0.8,0.9
sam,zeno-travel,7,NA,NA,2,0,1.0,1.0,1.0,0.9
rosame,zeno-travel,7,NA,NA,2,0,1.0,1.0,0.8,0.9
sam,zeno-travel,7,NA,NA,3,0,1.0,1.0,1.0,0.9
rosame,zeno-travel,7,NA,NA,3,0,1.0,1.0,0.8,0.9
sam,zeno-travel,7,NA,NA,4,0,1.0,1.0,1.0,0.9
rosame,zeno-travel,7,NA,NA,4,0,1.0,1.0,0.8,0.9
sam,zeno-travel,8,NA,NA,0,0,1.0,1.0,1.0,0.9
rosame,zeno-travel,8,NA,NA,0,0,1.0,1.0,0.8,0.9
sam,zeno-travel,8,NA,NA,1,0,1.0,1.0,1.0,0.9
rosame,zeno-travel,8,NA,NA,1,0,1.0,1.0,0.8,0.9
sam,zeno-travel,8,NA,NA,2,0,1.0,1.0,1.0,0.9
rosame,zeno-travel,8,NA,NA,2,0,1.0,1.0,0.8,0.9
sam,zeno-travel,8,NA,NA,3,0,1.0,1.0,1.0,0.9
rosame,zeno-travel,8,NA,NA,3,0,1.0,1.0,0.8,0.9
sam,zeno-travel,8,NA,NA,4,0,1.0,1.0,1.0,0.9
rosame,zeno-travel,8,NA,NA,4,0,1.0,1.0,0.8,0.9
sam,zeno-travel,9,NA,NA,0,0,1.0,1.0,1.0,0.9
rosame,zeno-travel,9,NA,NA,0,0,1.0,1.0,0.8,0.9
sam,zeno-travel,9,NA,NA,1,0,1.0,1.0,1.0,0.9
rosame,zeno-travel,9,NA,NA,1,0,1.0,1.0,0.8,0.9
sam,zeno-travel,9,NA,NA,2,0,1.0,1.0,1.0,0.9
rosame,zeno-travel,9,NA,NA,2,0,1.0,1.0,0.8,0.9
sam,zeno-travel,9,NA,NA,3,0,1.0,1.0,1.0,0.9
rosame,zeno-travel,9,NA,NA,3,0,1.0,1.0,0.8,0.9
sam,zeno-travel,9,NA,NA,4,0,1.0,1.0,1.0,0.9
rosame,zeno-travel,9,NA,NA,4,0,1.0,1.0,0.8,0.9
sam,zeno-travel,10,NA,NA,0,0,1.0,1.0,1.0,0.9
rosame,zeno-travel,10,NA,NA,0,0,1.0,1.0,0.8,0.9
sam,zeno-travel,10,NA,NA,1,0,1.0,1.0,1.0,0.9
rosame,zeno-travel,10,NA,NA,1,0,1.0,1.0,0.8,0.9
sam,zeno-travel,10,NA,NA,2,0,1.0,1.0,1.0,0.9
rosame,zeno-travel,10,NA,NA,2,0,1.0,1.0,0.8,0.9
sam,zeno-travel,10,NA,NA,3,0,1.0,1.0,1.0,0.9
rosame,zeno-travel,10,NA,NA,3,0,1.0,1.0,0.8,0.9
sam,zeno-travel,10,NA,NA,4,0,1.0,1.0,1.0,0.9
rosame,zeno-travel,10,NA,NA,4,0,1.0,1.0,0.8,0.9
sam,zeno-travel,15,NA,NA,0,0,1.0,1.0,1.0,0.9
rosame,zeno-travel,15,NA,NA,0,0,1.0,1.0,0.8,0.9
sam,zeno-travel,15,NA,NA,1,0,1.0,1.0,1.0,0.9
rosame,zeno-travel,15,NA,NA,1,0,1.0,1.0,0.8,0.9
sam,zeno-travel,15,NA,NA,2,0,1.0,1.0,1.0,0.9
rosame,zeno-travel,15,NA,NA,2,0,1.0,1.0,0.8,0.9
sam,zeno-travel,15,NA,NA,3,0,1.0,1.0,1.0,0.9
rosame,zeno-travel,15,NA,NA,3,0,1.0,1.0,0.8,0.9
sam,zeno-travel,15,NA,NA,4,0,1.0,1.0,1.0,0.9
rosame,zeno-travel,15,NA,NA,4,0,1.0,1.0,0.8,0.9
