Algorithm,Domain,Num. Of Traces,Threshold,Epsilon,Fold,Unobserved_actions,precision_effect,precision_precondition,recall_effect,recall_precondition
sam_with,rover,10,0.1,0.2,0,4,1,0.19,0.27,0.98
sam_without,rover,10,0.1,0.2,0,4,1,0.19,0.27,0.98
rosame,rover,10,0.1,0.2,0,0,0.56,0.39,0.51,0.9
sam_with,rover,10,0.1,0.2,1,6,1,0.16,0.22,1
sam_without,rover,10,0.1,0.2,1,6,1,0.16,0.28,1
rosame,rover,10,0.1,0.2,1,0,0.47,0.35,0.54,0.9
sam_with,rover,10,0.1,0.2,2,5,1,0.13,0.19,0.92
sam_without,rover,10,0.1,0.2,2,5,1,0.13,0.25,0.92
rosame,rover,10,0.1,0.2,2,0,0.46,0.33,0.5,0.79
sam_with,rover,10,0.1,0.2,3,5,1,0.15,0.28,0.96
sam_without,rover,10,0.1,0.2,3,5,1,0.15,0.28,0.96
rosame,rover,10,0.1,0.2,3,0,0.45,0.37,0.5,0.86
sam_with,rover,10,0.1,0.2,4,5,1,0.13,0.24,0.94
sam_without,rover,10,0.1,0.2,4,5,1,0.13,0.24,0.94
rosame,rover,10,0.1,0.2,4,0,0.49,0.23,0.58,0.5
sam_with,rover,10,0.1,0.4,0,5,1,0.13,0.24,1
sam_without,rover,10,0.1,0.4,0,5,1,0.13,0.24,1
rosame,rover,10,0.1,0.4,0,0,0.6,0.34,0.59,0.73
sam_with,rover,10,0.1,0.4,1,6,1,0.1,0.22,1
sam_without,rover,10,0.1,0.4,1,6,1,0.1,0.28,1
rosame,rover,10,0.1,0.4,1,0,0.47,0.25,0.54,0.61
sam_with,rover,10,0.1,0.4,2,6,1,0.09,0.14,0.92
sam_without,rover,10,0.1,0.4,2,6,1,0.09,0.14,0.92
rosame,rover,10,0.1,0.4,2,0,0.47,0.3,0.61,0.68
sam_with,rover,10,0.1,0.4,3,6,1,0.12,0.19,0.96
sam_without,rover,10,0.1,0.4,3,6,1,0.12,0.19,0.96
rosame,rover,10,0.1,0.4,3,0,0.47,0.32,0.6,0.73
sam_with,rover,10,0.1,0.4,4,6,1,0.09,0.13,0.94
sam_without,rover,10,0.1,0.4,4,6,1,0.09,0.13,0.94
rosame,rover,10,0.1,0.4,4,0,0.45,0.22,0.4,0.5
sam_with,rover,10,0.1,0.6,0,6,1,0.11,0.19,1
sam_without,rover,10,0.1,0.6,0,6,1,0.11,0.19,1
rosame,rover,10,0.1,0.6,0,0,0.57,0.3,0.41,0.66
sam_with,rover,10,0.1,0.6,1,7,1,0.08,0.17,1
sam_without,rover,10,0.1,0.6,1,7,1,0.08,0.17,1
rosame,rover,10,0.1,0.6,1,0,0.47,0.28,0.5,0.66
sam_with,rover,10,0.1,0.6,2,6,1,0.09,0.14,0.92
sam_without,rover,10,0.1,0.6,2,6,1,0.09,0.14,0.92
rosame,rover,10,0.1,0.6,2,0,0.45,0.27,0.65,0.62
sam_with,rover,10,0.1,0.6,3,6,1,0.12,0.19,0.96
sam_without,rover,10,0.1,0.6,3,6,1,0.12,0.19,0.96
rosame,rover,10,0.1,0.6,3,0,0.42,0.38,0.39,0.78
sam_with,rover,10,0.1,0.6,4,7,1,0.06,0.11,0.94
sam_without,rover,10,0.1,0.6,4,7,1,0.06,0.11,0.94
rosame,rover,10,0.1,0.6,4,0,0.46,0.36,0.43,0.84
sam_with,rover,10,0.1,0.8,0,6,1,0.11,0.19,1
sam_without,rover,10,0.1,0.8,0,6,1,0.11,0.19,1
rosame,rover,10,0.1,0.8,0,0,0.52,0.28,0.3,0.56
sam_with,rover,10,0.1,0.8,1,8,1,0.04,0.11,1
sam_without,rover,10,0.1,0.8,1,8,1,0.04,0.11,1
rosame,rover,10,0.1,0.8,1,0,0.42,0.21,0.41,0.5
sam_with,rover,10,0.1,0.8,2,6,1,0.09,0.14,0.92
sam_without,rover,10,0.1,0.8,2,6,1,0.09,0.14,0.92
rosame,rover,10,0.1,0.8,2,0,0.26,0.21,0.19,0.56
sam_with,rover,10,0.1,0.8,3,6,1,0.12,0.19,0.96
sam_without,rover,10,0.1,0.8,3,6,1,0.12,0.19,0.96
rosame,rover,10,0.1,0.8,3,0,0.36,0.24,0.33,0.53
sam_with,rover,10,0.1,0.8,4,7,1,0.06,0.11,0.94
sam_without,rover,10,0.1,0.8,4,7,1,0.06,0.11,0.94
rosame,rover,10,0.1,0.8,4,0,0.47,0.25,0.4,0.64
sam_with,rover,10,0.1,1,0,6,1,0.09,0.19,0.96
sam_without,rover,10,0.1,1,0,6,1,0.09,0.19,0.96
rosame,rover,10,0.1,1,0,0,0.35,0.23,0.33,0.41
sam_with,rover,10,0.1,1,1,8,1,0.04,0.11,1
sam_without,rover,10,0.1,1,1,8,1,0.04,0.11,1
rosame,rover,10,0.1,1,1,0,0.19,0.18,0.29,0.43
sam_with,rover,10,0.1,1,2,7,0.89,0.07,0.06,0.96
sam_without,rover,10,0.1,1,2,7,0.89,0.07,0.06,0.96
rosame,rover,10,0.1,1,2,0,0.2,0.21,0.18,0.61
sam_with,rover,10,0.1,1,3,7,1,0.07,0.14,0.96
sam_without,rover,10,0.1,1,3,7,1,0.07,0.14,0.96
rosame,rover,10,0.1,1,3,0,0.25,0.24,0.3,0.58
sam_with,rover,10,0.1,1,4,8,1,0.04,0.06,0.98
sam_without,rover,10,0.1,1,4,8,1,0.04,0.06,0.98
rosame,rover,10,0.1,1,4,0,0.29,0.17,0.24,0.48
sam_with,rover,10,0.2,0.2,0,4,1,0.29,0.47,0.98
sam_without,rover,10,0.2,0.2,0,4,1,0.29,0.47,0.98
rosame,rover,10,0.2,0.2,0,0,0.57,0.37,0.52,0.79
sam_with,rover,10,0.2,0.2,1,5,1,0.21,0.44,0.94
sam_without,rover,10,0.2,0.2,1,5,1,0.21,0.44,0.94
rosame,rover,10,0.2,0.2,1,0,0.46,0.36,0.53,0.83
sam_with,rover,10,0.2,0.2,2,5,1,0.2,0.44,0.92
sam_without,rover,10,0.2,0.2,2,5,1,0.2,0.44,0.92
rosame,rover,10,0.2,0.2,2,0,0.49,0.35,0.52,0.9
sam_with,rover,10,0.2,0.2,3,5,1,0.23,0.44,0.96
sam_without,rover,10,0.2,0.2,3,5,1,0.23,0.44,0.96
rosame,rover,10,0.2,0.2,3,0,0.47,0.39,0.56,0.73
sam_with,rover,10,0.2,0.2,4,5,1,0.2,0.36,0.94
sam_without,rover,10,0.2,0.2,4,5,1,0.2,0.36,0.94
rosame,rover,10,0.2,0.2,4,0,0.45,0.31,0.42,0.76
sam_with,rover,10,0.2,0.4,0,4,1,0.19,0.27,0.98
sam_without,rover,10,0.2,0.4,0,4,1,0.19,0.27,0.98
rosame,rover,10,0.2,0.4,0,0,0.57,0.37,0.52,0.84
sam_with,rover,10,0.2,0.4,1,6,1,0.16,0.22,1
sam_without,rover,10,0.2,0.4,1,6,1,0.16,0.28,1
rosame,rover,10,0.2,0.4,1,0,0.48,0.29,0.61,0.64
sam_with,rover,10,0.2,0.4,2,5,1,0.13,0.19,0.92
sam_without,rover,10,0.2,0.4,2,5,1,0.13,0.25,0.92
rosame,rover,10,0.2,0.4,2,0,0.46,0.31,0.47,0.63
sam_with,rover,10,0.2,0.4,3,5,1,0.15,0.28,0.96
sam_without,rover,10,0.2,0.4,3,5,1,0.15,0.28,0.96
rosame,rover,10,0.2,0.4,3,0,0.39,0.4,0.5,0.74
sam_with,rover,10,0.2,0.4,4,5,1,0.13,0.24,0.94
sam_without,rover,10,0.2,0.4,4,5,1,0.13,0.24,0.94
rosame,rover,10,0.2,0.4,4,0,0.48,0.28,0.52,0.68
sam_with,rover,10,0.2,0.6,0,5,1,0.13,0.24,1
sam_without,rover,10,0.2,0.6,0,5,1,0.13,0.24,1
rosame,rover,10,0.2,0.6,0,0,0.56,0.35,0.38,0.83
sam_with,rover,10,0.2,0.6,1,6,1,0.12,0.22,1
sam_without,rover,10,0.2,0.6,1,6,1,0.12,0.28,1
rosame,rover,10,0.2,0.6,1,0,0.45,0.22,0.4,0.49
sam_with,rover,10,0.2,0.6,2,6,1,0.09,0.14,0.92
sam_without,rover,10,0.2,0.6,2,6,1,0.09,0.14,0.92
rosame,rover,10,0.2,0.6,2,0,0.47,0.3,0.52,0.67
sam_with,rover,10,0.2,0.6,3,6,1,0.12,0.19,0.96
sam_without,rover,10,0.2,0.6,3,6,1,0.12,0.19,0.96
rosame,rover,10,0.2,0.6,3,0,0.43,0.34,0.44,0.72
sam_with,rover,10,0.2,0.6,4,6,1,0.09,0.19,0.94
sam_without,rover,10,0.2,0.6,4,6,1,0.09,0.19,0.94
rosame,rover,10,0.2,0.6,4,0,0.44,0.34,0.36,0.77
sam_with,rover,10,0.2,0.8,0,5,1,0.13,0.24,1
sam_without,rover,10,0.2,0.8,0,5,1,0.13,0.24,1
rosame,rover,10,0.2,0.8,0,0,0.57,0.3,0.51,0.67
sam_with,rover,10,0.2,0.8,1,6,1,0.1,0.22,1
sam_without,rover,10,0.2,0.8,1,6,1,0.1,0.28,1
rosame,rover,10,0.2,0.8,1,0,0.42,0.2,0.48,0.39
sam_with,rover,10,0.2,0.8,2,6,1,0.09,0.14,0.92
sam_without,rover,10,0.2,0.8,2,6,1,0.09,0.14,0.92
rosame,rover,10,0.2,0.8,2,0,0.28,0.27,0.14,0.51
