Average of recall_precondition,Column Labels,,,
Row Labels,rosame,sam_with,sam_without,Grand Total
rover,,,,
10,,,,
0.1,,,,
0.2,0.79,0.96,0.96,0.903333333
0.4,0.65,0.964,0.964,0.859333333
0.6,0.712,0.964,0.964,0.88
0.8,0.558,0.964,0.964,0.828666667
1,0.502,0.972,0.972,0.815333333
0.2,,,,
0.2,0.802,0.948,0.948,0.899333333
0.4,0.706,0.96,0.96,0.875333333
0.6,0.696,0.964,0.964,0.874666667
0.8,0.554,0.964,0.964,0.827333333
1,0.39,0.924,0.924,0.746
0.3,,,,
0.2,0.732,0.948,0.948,0.876
0.4,0.764,0.948,0.948,0.886666667
0.6,0.69,0.96,0.96,0.87
0.8,0.506,0.916,0.916,0.779333333
1,0.416,0.87,0.874,0.72
0.4,,,,
0.2,0.7,0.948,0.948,0.865333333
0.4,0.666,0.948,0.948,0.854
0.6,0.678,0.948,0.948,0.858
0.8,0.584,0.894,0.898,0.792
1,0.398,0.742,0.75,0.63
0.5,,,,
0.2,0.74,0.948,0.948,0.878666667
0.4,0.76,0.948,0.948,0.885333333
0.6,0.668,0.898,0.898,0.821333333
0.8,0.562,0.78,0.79,0.710666667
1,0.426,0.718,0.738,0.627333333
50,,,,
0.1,,,,
0.2,0.798,0.976,0.976,0.916666667
0.4,0.804,0.976,0.976,0.918666667
0.6,0.692,0.976,0.976,0.881333333
0.8,0.556,0.976,0.976,0.836
1,0.432,0.898,0.898,0.742666667
0.2,,,,
0.2,0.78,0.96,0.96,0.9
0.4,0.76,0.976,0.976,0.904
0.6,0.678,0.976,0.976,0.876666667
0.8,0.548,0.976,0.976,0.833333333
1,0.48,0.868,0.868,0.738666667
0.3,,,,
0.2,0.792,0.96,0.96,0.904
0.4,0.794,0.96,0.96,0.904666667
0.6,0.68,0.976,0.976,0.877333333
0.8,0.546,0.86,0.878,0.761333333
1,0.452,0.77,0.808,0.676666667
0.4,,,,
0.2,0.77,0.96,0.96,0.896666667
0.4,0.752,0.96,0.96,0.890666667
0.6,0.756,0.96,0.96,0.892
0.8,0.578,0.84,0.854,0.757333333
1,0.432,0.654,0.696,0.594
0.5,,,,
0.2,0.77,0.96,0.96,0.896666667
0.4,0.802,0.96,0.96,0.907333333
0.6,0.682,0.83,0.834,0.782
0.8,0.592,0.688,0.708,0.662666667
1,0.428,0.608,0.65,0.562
100,,,,
0.1,,,,
0.2,0.798,0.964,0.964,0.908666667
0.4,0.808,0.964,0.964,0.912
0.6,0.744,0.964,0.964,0.890666667
0.8,0.542,0.964,0.964,0.823333333
1,0.354,0.86,0.86,0.691333333
0.2,,,,
0.2,0.846,0.948,0.948,0.914
0.4,0.856,0.964,0.964,0.928
0.6,0.76,0.964,0.964,0.896
0.8,0.516,0.964,0.964,0.814666667
1,0.382,0.82,0.82,0.674
0.3,,,,
0.2,0.814,0.948,0.948,0.903333333
0.4,0.764,0.948,0.948,0.886666667
0.6,0.732,0.964,0.964,0.886666667
0.8,0.53,0.824,0.85,0.734666667
1,0.422,0.744,0.778,0.648
0.4,,,,
0.2,0.86,0.948,0.948,0.918666667
0.4,0.842,0.948,0.948,0.912666667
0.6,0.764,0.948,0.948,0.886666667
0.8,0.542,0.794,0.818,0.718
1,0.404,0.634,0.668,0.568666667
0.5,,,,
0.2,0.768,0.948,0.948,0.888
0.4,0.842,0.948,0.948,0.912666667
0.6,0.794,0.802,0.806,0.800666667
0.8,0.602,0.686,0.694,0.660666667
1,0.418,0.606,0.64,0.554666667
200,,,,
0.1,,,,
0.2,0.812,0.964,0.964,0.913333333
0.4,0.81,0.964,0.964,0.912666667
0.6,0.724,0.964,0.964,0.884
0.8,0.584,0.964,0.964,0.837333333
1,0.41,0.854,0.854,0.706
0.2,,,,
0.2,0.792,0.964,0.964,0.906666667
0.4,0.826,0.964,0.964,0.918
0.6,0.774,0.964,0.964,0.900666667
0.8,0.528,0.964,0.964,0.818666667
1,0.396,0.818,0.818,0.677333333
0.3,,,,
0.2,0.782,0.964,0.964,0.903333333
0.4,0.814,0.964,0.964,0.914
0.6,0.734,0.964,0.964,0.887333333
0.8,0.61,0.818,0.846,0.758
1,0.408,0.728,0.762,0.632666667
0.4,,,,
0.2,0.76,0.964,0.964,0.896
0.4,0.776,0.964,0.964,0.901333333
0.6,0.774,0.964,0.964,0.900666667
0.8,0.526,0.788,0.81,0.708
1,0.424,0.654,0.686,0.588
0.5,,,,
0.2,0.82,0.964,0.964,0.916
0.4,0.764,0.964,0.964,0.897333333
0.6,0.73,0.806,0.81,0.782
0.8,0.562,0.704,0.712,0.659333333
1,0.456,0.642,0.674,0.590666667
300,,,,
0.1,,,,
0.2,0.844,0.98,0.98,0.934666667
0.4,0.792,0.98,0.98,0.917333333
0.6,0.72,0.98,0.98,0.893333333
0.8,0.61,0.98,0.98,0.856666667
1,0.414,0.848,0.848,0.703333333
0.2,,,,
0.2,0.832,0.98,0.98,0.930666667
0.4,0.826,0.98,0.98,0.928666667
0.6,0.762,0.98,0.98,0.907333333
0.8,0.492,0.98,0.98,0.817333333
1,0.448,0.824,0.824,0.698666667
0.3,,,,
0.2,0.832,0.98,0.98,0.930666667
0.4,0.784,0.98,0.98,0.914666667
0.6,0.768,0.98,0.98,0.909333333
0.8,0.56,0.828,0.862,0.75
1,0.394,0.744,0.782,0.64
0.4,,,,
0.2,0.794,0.98,0.98,0.918
0.4,0.816,0.98,0.98,0.925333333
0.6,0.77,0.98,0.98,0.91
0.8,0.58,0.792,0.814,0.728666667
1,0.422,0.69,0.724,0.612
0.5,,,,
0.2,0.808,0.98,0.98,0.922666667
0.4,0.864,0.98,0.98,0.941333333
0.6,0.71,0.83,0.83,0.79
0.8,0.578,0.732,0.736,0.682
1,0.41,0.672,0.706,0.596
400,,,,
0.1,,,,
0.2,0.79,0.98,0.98,0.916666667
0.4,0.75,0.98,0.98,0.903333333
0.6,0.764,0.98,0.98,0.908
0.8,0.54,0.98,0.98,0.833333333
1,0.47,0.848,0.848,0.722
0.2,,,,
0.2,0.788,0.98,0.98,0.916
0.4,0.824,0.98,0.98,0.928
0.6,0.726,0.98,0.98,0.895333333
0.8,0.602,0.98,0.98,0.854
1,0.404,0.824,0.824,0.684
0.3,,,,
0.2,0.79,0.98,0.98,0.916666667
0.4,0.834,0.98,0.98,0.931333333
0.6,0.722,0.98,0.98,0.894
0.8,0.588,0.828,0.862,0.759333333
1,0.45,0.736,0.774,0.653333333
0.4,,,,
0.2,0.824,0.98,0.98,0.928
0.4,0.794,0.98,0.98,0.918
0.6,0.754,0.98,0.98,0.904666667
0.8,0.564,0.786,0.814,0.721333333
1,0.396,0.682,0.716,0.598
0.5,,,,
0.2,0.8,0.98,0.98,0.92
0.4,0.826,0.98,0.98,0.928666667
0.6,0.754,0.822,0.822,0.799333333
0.8,0.596,0.724,0.728,0.682666667
1,0.424,0.668,0.702,0.598
Grand Total,0.659386667,0.90028,0.906186667,0.821951111
