Algorithm,Domain,Num. Of Traces,Threshold,Epsilon,precision_effect,precision_precondition,recall_effect,recall_precondition
sam_with,driverlog,10,0.1,0.2,1.0,0.28,0.33,0.92
sam_without,driverlog,10,0.1,0.2,1.0,0.28,0.33,0.92
rosame,driverlog,10,0.1,0.2,0.46,0.49,0.5,0.58
sam_with,driverlog,10,0.1,0.4,1.0,0.28,0.33,0.92
sam_without,driverlog,10,0.1,0.4,1.0,0.28,0.33,0.92
rosame,driverlog,10,0.1,0.4,0.48,0.49,0.58,0.58
sam_with,driverlog,10,0.1,0.6,1.0,0.28,0.33,0.92
sam_without,driverlog,10,0.1,0.6,1.0,0.28,0.33,0.92
rosame,driverlog,10,0.1,0.6,0.48,0.45,0.61,0.58
sam_with,driverlog,10,0.1,0.8,1.0,0.28,0.33,0.92
sam_without,driverlog,10,0.1,0.8,1.0,0.28,0.33,0.92
rosame,driverlog,10,0.1,0.8,0.41,0.41,0.5,0.58
sam_with,driverlog,10,0.1,1.0,1.0,0.0,0.0,1.0
sam_without,driverlog,10,0.1,1.0,1.0,0.0,0.0,1.0
rosame,driverlog,10,0.1,1.0,0.42,0.57,0.58,0.69
sam_with,driverlog,10,0.2,0.2,1.0,0.28,0.33,0.92
sam_without,driverlog,10,0.2,0.2,1.0,0.28,0.33,0.92
rosame,driverlog,10,0.2,0.2,0.38,0.41,0.39,0.58
sam_with,driverlog,10,0.2,0.4,1.0,0.28,0.33,0.92
sam_without,driverlog,10,0.2,0.4,1.0,0.28,0.33,0.92
rosame,driverlog,10,0.2,0.4,0.5,0.4,0.5,0.42
sam_with,driverlog,10,0.2,0.6,1.0,0.28,0.33,0.92
sam_without,driverlog,10,0.2,0.6,1.0,0.28,0.33,0.92
rosame,driverlog,10,0.2,0.6,0.43,0.49,0.53,0.58
sam_with,driverlog,10,0.2,0.8,1.0,0.28,0.33,0.92
sam_without,driverlog,10,0.2,0.8,1.0,0.28,0.33,0.92
rosame,driverlog,10,0.2,0.8,0.43,0.41,0.47,0.5
sam_with,driverlog,10,0.2,1.0,1.0,0.0,0.0,1.0
sam_without,driverlog,10,0.2,1.0,1.0,0.0,0.0,1.0
rosame,driverlog,10,0.2,1.0,0.43,0.44,0.56,0.58
sam_with,driverlog,10,0.3,0.2,1.0,0.28,0.33,0.92
sam_without,driverlog,10,0.3,0.2,1.0,0.28,0.33,0.92
rosame,driverlog,10,0.3,0.2,0.42,0.49,0.44,0.58
sam_with,driverlog,10,0.3,0.4,1.0,0.28,0.33,0.92
sam_without,driverlog,10,0.3,0.4,1.0,0.28,0.33,0.92
rosame,driverlog,10,0.3,0.4,0.38,0.49,0.39,0.75
sam_with,driverlog,10,0.3,0.6,1.0,0.28,0.33,0.92
sam_without,driverlog,10,0.3,0.6,1.0,0.28,0.33,0.92
rosame,driverlog,10,0.3,0.6,0.46,0.44,0.47,0.5
sam_with,driverlog,10,0.3,0.8,0.89,0.23,0.33,0.92
sam_without,driverlog,10,0.3,0.8,0.74,0.14,0.33,1.0
rosame,driverlog,10,0.3,0.8,0.46,0.33,0.53,0.33
sam_with,driverlog,10,0.3,1.0,1.0,0.0,0.0,1.0
sam_without,driverlog,10,0.3,1.0,1.0,0.0,0.0,1.0
rosame,driverlog,10,0.3,1.0,0.48,0.54,0.61,0.75
sam_with,driverlog,10,0.4,0.2,1.0,0.28,0.33,0.92
sam_without,driverlog,10,0.4,0.2,1.0,0.28,0.33,0.92
rosame,driverlog,10,0.4,0.2,0.52,0.51,0.64,0.67
sam_with,driverlog,10,0.4,0.4,1.0,0.28,0.33,0.92
sam_without,driverlog,10,0.4,0.4,1.0,0.28,0.33,0.92
rosame,driverlog,10,0.4,0.4,0.54,0.47,0.47,0.58
sam_with,driverlog,10,0.4,0.6,1.0,0.28,0.33,0.92
sam_without,driverlog,10,0.4,0.6,1.0,0.28,0.33,0.92
rosame,driverlog,10,0.4,0.6,0.36,0.38,0.39,0.33
sam_with,driverlog,10,0.4,0.8,0.8,0.17,0.33,1.0
sam_without,driverlog,10,0.4,0.8,0.74,0.14,0.33,1.0
rosame,driverlog,10,0.4,0.8,0.6,0.49,0.58,0.58
sam_with,driverlog,10,0.4,1.0,1.0,0.0,0.0,1.0
sam_without,driverlog,10,0.4,1.0,1.0,0.0,0.0,1.0
rosame,driverlog,10,0.4,1.0,0.42,0.44,0.44,0.58
sam_with,driverlog,10,0.5,0.2,1.0,0.17,0.33,0.92
sam_without,driverlog,10,0.5,0.2,1.0,0.17,0.33,0.92
rosame,driverlog,10,0.5,0.2,0.48,0.4,0.61,0.42
sam_with,driverlog,10,0.5,0.4,1.0,0.28,0.33,0.92
sam_without,driverlog,10,0.5,0.4,1.0,0.28,0.33,0.92
rosame,driverlog,10,0.5,0.4,0.38,0.36,0.42,0.42
sam_with,driverlog,10,0.5,0.6,0.89,0.15,0.33,0.92
sam_without,driverlog,10,0.5,0.6,0.77,0.15,0.33,1.0
rosame,driverlog,10,0.5,0.6,0.45,0.39,0.56,0.42
sam_with,driverlog,10,0.5,0.8,0.8,0.17,0.33,1.0
sam_without,driverlog,10,0.5,0.8,0.74,0.14,0.33,1.0
rosame,driverlog,10,0.5,0.8,0.38,0.33,0.39,0.33
sam_with,driverlog,10,0.5,1.0,1.0,0.0,0.0,1.0
sam_without,driverlog,10,0.5,1.0,1.0,0.0,0.0,1.0
rosame,driverlog,10,0.5,1.0,0.42,0.44,0.44,0.58
sam_with,driverlog,100,0.1,0.2,1.0,0.78,0.83,0.86
sam_without,driverlog,100,0.1,0.2,1.0,0.78,0.83,0.86
rosame,driverlog,100,0.1,0.2,0.96,0.89,1.0,0.86
sam_with,driverlog,100,0.1,0.4,1.0,0.78,0.83,0.86
sam_without,driverlog,100,0.1,0.4,1.0,0.78,0.83,0.86
rosame,driverlog,100,0.1,0.4,0.92,0.72,0.94,0.69
sam_with,driverlog,100,0.1,0.6,1.0,0.78,0.83,0.86
sam_without,driverlog,100,0.1,0.6,1.0,0.78,0.83,0.86
rosame,driverlog,100,0.1,0.6,0.83,0.78,0.94,0.56
sam_with,driverlog,100,0.1,0.8,1.0,0.78,0.83,0.86
sam_without,driverlog,100,0.1,0.8,1.0,0.78,0.83,0.86
rosame,driverlog,100,0.1,0.8,0.92,0.89,0.94,0.78
sam_with,driverlog,100,0.1,1.0,1.0,0.0,0.0,1.0
sam_without,driverlog,100,0.1,1.0,1.0,0.0,0.0,1.0
rosame,driverlog,100,0.1,1.0,0.83,0.78,0.83,0.78
sam_with,driverlog,100,0.2,0.2,1.0,0.78,0.83,0.86
sam_without,driverlog,100,0.2,0.2,1.0,0.78,0.83,0.86
rosame,driverlog,100,0.2,0.2,0.92,0.72,0.94,0.69
sam_with,driverlog,100,0.2,0.4,1.0,0.78,0.83,0.86
sam_without,driverlog,100,0.2,0.4,1.0,0.78,0.83,0.86
rosame,driverlog,100,0.2,0.4,0.88,0.72,0.89,0.69
sam_with,driverlog,100,0.2,0.6,1.0,0.78,0.83,0.86
sam_without,driverlog,100,0.2,0.6,1.0,0.78,0.83,0.86
rosame,driverlog,100,0.2,0.6,0.83,0.81,0.83,0.78
sam_with,driverlog,100,0.2,0.8,1.0,0.78,0.83,0.86
sam_without,driverlog,100,0.2,0.8,1.0,0.78,0.83,0.86
rosame,driverlog,100,0.2,0.8,0.83,0.78,0.83,0.78
sam_with,driverlog,100,0.2,1.0,1.0,0.0,0.0,1.0
sam_without,driverlog,100,0.2,1.0,1.0,0.0,0.0,1.0
rosame,driverlog,100,0.2,1.0,0.83,0.72,0.83,0.69
sam_with,driverlog,100,0.3,0.2,1.0,0.62,0.78,0.86
sam_without,driverlog,100,0.3,0.2,1.0,0.62,0.83,0.86
rosame,driverlog,100,0.3,0.2,0.83,0.72,0.83,0.69
sam_with,driverlog,100,0.3,0.4,1.0,0.78,0.83,0.86
sam_without,driverlog,100,0.3,0.4,1.0,0.78,0.83,0.86
rosame,driverlog,100,0.3,0.4,0.82,0.81,0.89,0.81
sam_with,driverlog,100,0.3,0.6,1.0,0.78,0.83,0.86
sam_without,driverlog,100,0.3,0.6,1.0,0.78,0.83,0.86
rosame,driverlog,100,0.3,0.6,0.79,0.72,0.83,0.64
sam_with,driverlog,100,0.3,0.8,0.78,0.58,0.83,0.86
sam_without,driverlog,100,0.3,0.8,0.48,0.44,0.83,0.94
rosame,driverlog,100,0.3,0.8,0.92,0.72,0.94,0.69
sam_with,driverlog,100,0.3,1.0,1.0,0.0,0.0,1.0
sam_without,driverlog,100,0.3,1.0,1.0,0.0,0.0,1.0
rosame,driverlog,100,0.3,1.0,0.88,0.72,0.89,0.69
sam_with,driverlog,100,0.4,0.2,1.0,0.6,0.69,0.86
sam_without,driverlog,100,0.4,0.2,1.0,0.6,0.75,0.86
rosame,driverlog,100,0.4,0.2,0.83,0.72,0.83,0.69
sam_with,driverlog,100,0.4,0.4,1.0,0.78,0.83,0.86
sam_without,driverlog,100,0.4,0.4,1.0,0.78,0.83,0.86
rosame,driverlog,100,0.4,0.4,0.83,0.72,0.83,0.69
sam_with,driverlog,100,0.4,0.6,1.0,0.78,0.83,0.86
sam_without,driverlog,100,0.4,0.6,1.0,0.78,0.83,0.86
rosame,driverlog,100,0.4,0.6,0.92,0.81,0.89,0.78
sam_with,driverlog,100,0.4,0.8,0.57,0.43,0.75,0.86
sam_without,driverlog,100,0.4,0.8,0.41,0.39,0.83,0.94
rosame,driverlog,100,0.4,0.8,0.83,0.72,0.83,0.69
sam_with,driverlog,100,0.4,1.0,1.0,0.0,0.0,1.0
sam_without,driverlog,100,0.4,1.0,1.0,0.0,0.0,1.0
rosame,driverlog,100,0.4,1.0,0.74,0.72,0.83,0.58
sam_with,driverlog,100,0.5,0.2,1.0,0.6,0.75,0.86
sam_without,driverlog,100,0.5,0.2,1.0,0.6,0.75,0.86
rosame,driverlog,100,0.5,0.2,0.86,0.72,0.94,0.64
sam_with,driverlog,100,0.5,0.4,1.0,0.72,0.83,0.86
sam_without,driverlog,100,0.5,0.4,1.0,0.72,0.83,0.86
rosame,driverlog,100,0.5,0.4,0.78,0.81,0.83,0.81
sam_with,driverlog,100,0.5,0.6,0.81,0.62,0.83,0.86
