Algorithm,Domain,Num. Of Traces,Threshold,Epsilon,Fold,precision_effect,precision_precondition,recall_effect,recall_precondition
sam_with,depot,100,0.1,0.2,0,1.0,0.77,0.43,0.88
sam_without,depot,100,0.1,0.2,0,1.0,0.7,0.67,0.88
rosame,depot,100,0.1,0.2,0,0.8,0.87,0.67,0.73
sam_with,depot,100,0.1,0.2,1,1.0,0.7,0.5,0.88
sam_without,depot,100,0.1,0.2,1,1.0,0.7,0.67,0.88
rosame,depot,100,0.1,0.2,1,0.8,0.89,0.67,0.83
sam_with,depot,100,0.1,0.2,2,0.6,0.81,0.3,0.88
sam_without,depot,100,0.1,0.2,2,1.0,0.57,0.53,0.95
rosame,depot,100,0.1,0.2,2,1.0,0.97,0.8,0.88
sam_with,depot,100,0.1,0.2,3,1.0,0.57,0.33,0.95
sam_without,depot,100,0.1,0.2,3,1.0,0.57,0.53,0.95
rosame,depot,100,0.1,0.2,3,0.6,0.62,0.53,0.68
sam_with,depot,100,0.1,0.2,4,1.0,0.57,0.3,0.88
sam_without,depot,100,0.1,0.2,4,1.0,0.57,0.53,0.88
rosame,depot,100,0.1,0.2,4,0.8,0.83,0.67,0.73
sam_with,depot,100,0.1,0.4,0,1.0,0.62,0.3,0.88
sam_without,depot,100,0.1,0.4,0,1.0,0.62,0.53,0.88
rosame,depot,100,0.1,0.4,0,0.8,0.77,0.67,0.68
sam_with,depot,100,0.1,0.4,1,1.0,0.62,0.3,0.88
sam_without,depot,100,0.1,0.4,1,1.0,0.62,0.53,0.88
rosame,depot,100,0.1,0.4,1,0.85,0.87,0.8,0.88
sam_with,depot,100,0.1,0.4,2,0.6,0.72,0.23,0.88
sam_without,depot,100,0.1,0.4,2,1.0,0.52,0.47,0.95
rosame,depot,100,0.1,0.4,2,0.94,0.97,0.8,0.78
sam_with,depot,100,0.1,0.4,3,1.0,0.52,0.23,0.95
sam_without,depot,100,0.1,0.4,3,1.0,0.52,0.47,0.95
rosame,depot,100,0.1,0.4,3,0.6,0.72,0.53,0.88
sam_with,depot,100,0.1,0.4,4,0.8,0.45,0.13,0.88
sam_without,depot,100,0.1,0.4,4,1.0,0.35,0.23,0.88
rosame,depot,100,0.1,0.4,4,0.8,0.77,0.67,0.68
sam_with,depot,100,0.1,0.6,0,0.8,0.52,0.2,0.88
sam_without,depot,100,0.1,0.6,0,1.0,0.42,0.33,0.88
rosame,depot,100,0.1,0.6,0,0.73,0.87,0.67,0.82
sam_with,depot,100,0.1,0.6,1,0.8,0.52,0.2,0.88
sam_without,depot,100,0.1,0.6,1,1.0,0.42,0.33,0.88
rosame,depot,100,0.1,0.6,1,0.85,0.87,0.8,0.82
sam_with,depot,100,0.1,0.6,2,0.4,0.62,0.13,0.88
sam_without,depot,100,0.1,0.6,2,1.0,0.32,0.27,0.95
rosame,depot,100,0.1,0.6,2,1.0,0.8,0.67,0.72
sam_with,depot,100,0.1,0.6,3,0.8,0.42,0.13,0.95
sam_without,depot,100,0.1,0.6,3,1.0,0.32,0.27,0.95
rosame,depot,100,0.1,0.6,3,0.57,0.62,0.53,0.63
sam_with,depot,100,0.1,0.6,4,0.6,0.43,0.1,0.88
sam_without,depot,100,0.1,0.6,4,1.0,0.25,0.2,0.93
rosame,depot,100,0.1,0.6,4,0.73,0.7,0.63,0.57
sam_with,depot,100,0.1,0.8,0,0.8,0.49,0.17,0.88
sam_without,depot,100,0.1,0.8,0,1.0,0.39,0.2,0.88
rosame,depot,100,0.1,0.8,0,0.54,0.43,0.43,0.38
sam_with,depot,100,0.1,0.8,1,0.8,0.47,0.13,0.88
sam_without,depot,100,0.1,0.8,1,1.0,0.37,0.17,0.88
rosame,depot,100,0.1,0.8,1,0.58,0.33,0.47,0.33
sam_with,depot,100,0.1,0.8,2,0.4,0.59,0.1,0.88
sam_without,depot,100,0.1,0.8,2,1.0,0.29,0.17,0.95
rosame,depot,100,0.1,0.8,2,0.38,0.26,0.33,0.26
sam_with,depot,100,0.1,0.8,3,0.8,0.39,0.1,0.95
sam_without,depot,100,0.1,0.8,3,1.0,0.29,0.17,0.95
rosame,depot,100,0.1,0.8,3,0.42,0.43,0.37,0.46
sam_with,depot,100,0.1,0.8,4,0.6,0.43,0.1,0.88
sam_without,depot,100,0.1,0.8,4,1.0,0.25,0.13,0.93
rosame,depot,100,0.1,0.8,4,0.46,0.37,0.37,0.29
sam_with,depot,100,0.1,1.0,0,0.4,0.29,0.07,0.36
sam_without,depot,100,0.1,1.0,0,0.44,0.19,0.1,0.42
rosame,depot,100,0.1,1.0,0,0.22,0.15,0.17,0.25
sam_with,depot,100,0.1,1.0,1,0.4,0.3,0.07,0.36
sam_without,depot,100,0.1,1.0,1,0.48,0.19,0.13,0.42
rosame,depot,100,0.1,1.0,1,0.49,0.13,0.4,0.12
sam_with,depot,100,0.1,1.0,2,0.05,0.41,0.03,0.31
sam_without,depot,100,0.1,1.0,2,0.48,0.13,0.07,0.54
rosame,depot,100,0.1,1.0,2,0.18,0.04,0.17,0.05
sam_with,depot,100,0.1,1.0,3,0.4,0.25,0.0,0.49
sam_without,depot,100,0.1,1.0,3,0.51,0.14,0.1,0.53
rosame,depot,100,0.1,1.0,3,0.22,0.1,0.2,0.18
sam_with,depot,100,0.1,1.0,4,0.4,0.29,0.07,0.36
