Algorithm,Domain,Num. Of Traces,Threshold,Epsilon,Fold,precision_effect,precision_precondition,recall_effect,recall_precondition
sam_with,satellite,100,0.1,0,0,0.8,0.2,0.13,0.7
sam_without,satellite,100,0.1,0,0,1,0.2,0.13,0.9
rosame,satellite,100,0.1,0,0,0.2,0.37,0.13,0.4
sam_with,satellite,100,0.1,0,1,0.8,0.2,0.13,0.7
sam_without,satellite,100,0.1,0,1,1,0.2,0.13,0.9
rosame,satellite,100,0.1,0,1,0.28,0.2,0.43,0.1
sam_with,satellite,100,0.1,0,2,0.8,0.2,0.13,0.7
sam_without,satellite,100,0.1,0,2,1,0.2,0.13,0.9
rosame,satellite,100,0.1,0,2,0.25,0.37,0.23,0.36
sam_with,satellite,100,0.1,0,3,0.8,0.2,0.13,0.7
sam_without,satellite,100,0.1,0,3,1,0.2,0.13,0.9
rosame,satellite,100,0.1,0,3,0.23,0.4,0.33,0.38
sam_with,satellite,100,0.1,0,4,0.8,0.2,0.13,0.7
sam_without,satellite,100,0.1,0,4,1,0.2,0.13,0.9
rosame,satellite,100,0.1,0,4,0.23,0.4,0.33,0.46
sam_with,satellite,100,0.1,0.2,0,0.8,0.2,0.07,0.7
sam_without,satellite,100,0.1,0.2,0,1,0.2,0.13,0.9
rosame,satellite,100,0.1,0.2,0,0.25,0.4,0.23,0.42
sam_with,satellite,100,0.1,0.2,1,0.8,0.2,0.07,0.7
sam_without,satellite,100,0.1,0.2,1,1,0.2,0.13,0.9
rosame,satellite,100,0.1,0.2,1,0.25,0.4,0.23,0.46
sam_with,satellite,100,0.1,0.2,2,0.8,0.2,0.07,0.7
sam_without,satellite,100,0.1,0.2,2,1,0.2,0.13,0.9
rosame,satellite,100,0.1,0.2,2,0.25,0.6,0.33,0.56
sam_with,satellite,100,0.1,0.2,3,0.8,0.1,0.07,0.7
sam_without,satellite,100,0.1,0.2,3,1,0.1,0.07,0.9
rosame,satellite,100,0.1,0.2,3,0.2,0.57,0.13,0.46
sam_with,satellite,100,0.1,0.2,4,0.6,0.1,0,0.7
sam_without,satellite,100,0.1,0.2,4,1,0,0,1
rosame,satellite,100,0.1,0.2,4,0.23,0.2,0.33,0.1
sam_with,satellite,100,0.1,0.4,0,0.8,0.2,0.07,0.7
sam_without,satellite,100,0.1,0.4,0,1,0.2,0.13,0.9
rosame,satellite,100,0.1,0.4,0,0.2,0.47,0.13,0.56
sam_with,satellite,100,0.1,0.4,1,0.8,0.2,0.07,0.7
sam_without,satellite,100,0.1,0.4,1,1,0.2,0.13,0.9
rosame,satellite,100,0.1,0.4,1,0.37,0.4,0.43,0.46
sam_with,satellite,100,0.1,0.4,2,0.8,0.2,0.07,0.8
sam_without,satellite,100,0.1,0.4,2,1,0.2,0.13,1
rosame,satellite,100,0.1,0.4,2,0.25,0.37,0.23,0.4
sam_with,satellite,100,0.1,0.4,3,0.8,0.1,0.07,0.7
sam_without,satellite,100,0.1,0.4,3,1,0.1,0.07,0.9
rosame,satellite,100,0.1,0.4,3,0.2,0.37,0.13,0.36
sam_with,satellite,100,0.1,0.4,4,0.6,0.1,0,0.8
sam_without,satellite,100,0.1,0.4,4,1,0,0,1
rosame,satellite,100,0.1,0.4,4,0.2,0.3,0.13,0.14
sam_with,satellite,100,0.1,0.6,0,0.8,0.2,0.07,0.8
