Algorithm,Domain,Num. Of Traces,Threshold,Epsilon,Fold,Unobserved_actions,precision_effect,precision_precondition,recall_effect,recall_precondition
sam,rover,100,0.1,0,0,2,1.0,0.52,0.63,0.6
rosame,rover,100,0.1,0,0,0,0.74,0.52,0.63,0.39
sam,rover,100,0.1,0,1,3,1.0,0.43,0.61,0.64
rosame,rover,100,0.1,0,1,0,0.67,0.4,0.68,0.41
sam,rover,100,0.1,0,2,3,1.0,0.46,0.61,0.64
rosame,rover,100,0.1,0,2,0,0.67,0.55,0.61,0.42
sam,rover,100,0.1,0,3,2,1.0,0.52,0.63,0.6
rosame,rover,100,0.1,0,3,0,0.78,0.47,0.66,0.53
sam,rover,100,0.1,0,4,3,1.0,0.43,0.61,0.64
rosame,rover,100,0.1,0,4,0,0.68,0.4,0.68,0.51
sam,rover,200,0.1,0,0,2,1.0,0.5,0.63,0.6
rosame,rover,200,0.1,0,0,0,0.79,0.41,0.7,0.43
sam,rover,200,0.1,0,1,2,1.0,0.5,0.63,0.6
rosame,rover,200,0.1,0,1,0,0.79,0.49,0.7,0.41
sam,rover,200,0.1,0,2,1,1.0,0.55,0.66,0.56
rosame,rover,200,0.1,0,2,0,0.89,0.46,0.66,0.45
sam,rover,200,0.1,0,3,2,1.0,0.51,0.63,0.6
rosame,rover,200,0.1,0,3,0,0.78,0.46,0.68,0.54
sam,rover,200,0.1,0,4,3,1.0,0.42,0.61,0.64
rosame,rover,200,0.1,0,4,0,0.68,0.37,0.63,0.47
sam,rover,400,0.1,0,0,2,1.0,0.51,0.63,0.6
rosame,rover,400,0.1,0,0,0,0.79,0.43,0.7,0.43
sam,rover,400,0.1,0,1,2,1.0,0.53,0.63,0.6
rosame,rover,400,0.1,0,1,0,0.67,0.49,0.66,0.45
sam,rover,400,0.1,0,2,1,1.0,0.57,0.66,0.56
rosame,rover,400,0.1,0,2,0,0.84,0.58,0.66,0.45
sam,rover,400,0.1,0,3,1,1.0,0.58,0.66,0.56
rosame,rover,400,0.1,0,3,0,0.78,0.49,0.63,0.51
sam,rover,400,0.1,0,4,2,1.0,0.5,0.63,0.6
rosame,rover,400,0.1,0,4,0,0.8,0.42,0.66,0.51
sam,driverlog,100,0.1,0,0,1,1.0,0.78,0.83,0.86
rosame,driverlog,100,0.1,0,0,0,0.83,0.81,0.83,0.78
sam,driverlog,100,0.1,0,1,0,1.0,0.94,1.0,0.86
rosame,driverlog,100,0.1,0,1,0,1.0,0.89,1.0,0.86
sam,driverlog,100,0.1,0,2,0,1.0,0.94,1.0,0.86
rosame,driverlog,100,0.1,0,2,0,1.0,0.89,1.0,0.86
sam,driverlog,100,0.1,0,3,0,1.0,1.0,1.0,0.86
rosame,driverlog,100,0.1,0,3,0,1.0,0.94,1.0,0.78
sam,driverlog,100,0.1,0,4,0,1.0,0.89,1.0,0.86
rosame,driverlog,100,0.1,0,4,0,0.96,0.89,1.0,0.81
sam,driverlog,200,0.1,0,0,0,1.0,0.94,1.0,0.86
rosame,driverlog,200,0.1,0,0,0,1.0,0.89,1.0,0.86
sam,driverlog,200,0.1,0,1,0,1.0,0.94,1.0,0.86
rosame,driverlog,200,0.1,0,1,0,1.0,0.89,1.0,0.86
sam,driverlog,200,0.1,0,2,1,1.0,0.78,0.83,0.86
rosame,driverlog,200,0.1,0,2,0,0.83,0.81,0.83,0.86
sam,driverlog,200,0.1,0,3,0,1.0,1.0,1.0,0.86
rosame,driverlog,200,0.1,0,3,0,1.0,0.94,1.0,0.81
sam,driverlog,200,0.1,0,4,1,1.0,0.78,0.83,0.86
rosame,driverlog,200,0.1,0,4,0,0.92,0.72,0.94,0.69
sam,driverlog,400,0.1,0,0,0,1.0,1.0,1.0,0.86
rosame,driverlog,400,0.1,0,0,0,1.0,0.89,1.0,0.86
sam,driverlog,400,0.1,0,1,0,1.0,0.94,1.0,0.86
rosame,driverlog,400,0.1,0,1,0,1.0,0.89,1.0,0.81
sam,driverlog,400,0.1,0,2,0,1.0,1.0,1.0,0.86
