Algorithm,Domain,Num. Of Traces,Threshold,Epsilon,Fold,Unobserved_actions,precision_effect,precision_precondition,recall_effect,recall_precondition
sam,zeno-travel,100,0.1,0,0,0,1.0,1.0,0.8,0.67
rosame,zeno-travel,100,0.1,0,0,0,0.6,0.5,0.6,0.3
sam,zeno-travel,100,0.1,0,1,0,1.0,1.0,0.8,0.67
rosame,zeno-travel,100,0.1,0,1,0,0.6,0.5,0.6,0.3
sam,zeno-travel,100,0.1,0,2,0,1.0,1.0,0.8,0.67
rosame,zeno-travel,100,0.1,0,2,0,0.6,0.5,0.6,0.3
sam,zeno-travel,100,0.1,0,3,1,1.0,0.8,0.6,0.77
rosame,zeno-travel,100,0.1,0,3,0,0.4,0.38,0.4,0.35
sam,zeno-travel,100,0.1,0,4,5,1.0,0.0,0.0,1.0
rosame,zeno-travel,100,0.1,0,4,0,0.0,0.0,0.0,0.0
sam,zeno-travel,200,0.1,0,0,0,1.0,1.0,0.8,0.67
rosame,zeno-travel,200,0.1,0,0,0,0.6,0.5,0.6,0.3
sam,zeno-travel,200,0.1,0,1,0,1.0,1.0,0.8,0.67
rosame,zeno-travel,200,0.1,0,1,0,0.6,0.5,0.6,0.3
sam,zeno-travel,200,0.1,0,2,0,1.0,1.0,0.8,0.67
rosame,zeno-travel,200,0.1,0,2,0,0.6,0.5,0.6,0.3
sam,zeno-travel,200,0.1,0,3,0,1.0,1.0,0.8,0.67
rosame,zeno-travel,200,0.1,0,3,0,0.6,0.5,0.6,0.3
sam,zeno-travel,200,0.1,0,4,5,1.0,0.0,0.0,1.0
rosame,zeno-travel,200,0.1,0,4,0,0.08,0.08,0.2,0.13
sam,zeno-travel,400,0.1,0,0,0,1.0,1.0,0.8,0.67
rosame,zeno-travel,400,0.1,0,0,0,0.6,0.5,0.6,0.3
sam,zeno-travel,400,0.1,0,1,0,1.0,1.0,0.8,0.67
rosame,zeno-travel,400,0.1,0,1,0,0.6,0.5,0.6,0.3
sam,zeno-travel,400,0.1,0,2,0,1.0,1.0,0.8,0.67
rosame,zeno-travel,400,0.1,0,2,0,0.6,0.5,0.6,0.3
sam,zeno-travel,400,0.1,0,3,0,1.0,1.0,0.8,0.67
rosame,zeno-travel,400,0.1,0,3,0,0.6,0.5,0.6,0.3
sam,zeno-travel,400,0.1,0,4,5,1.0,0.0,0.0,1.0
rosame,zeno-travel,400,0.1,0,4,0,0.08,0.2,0.1,0.33
