Algorithm,Domain,Num. Of Traces,Threshold,Epsilon,Fold,Unobserved_actions,precision_effect,precision_precondition,recall_effect,recall_precondition
sam,rover,10,0.1,0,0,3,1.0,0.33,0.58,1.0
rosame,rover,10,0.1,0,0,0,0.58,0.34,0.62,0.66
sam,rover,10,0.1,0,1,5,1.0,0.21,0.36,1.0
rosame,rover,10,0.1,0,1,0,0.48,0.28,0.48,0.63
sam,rover,10,0.1,0,2,4,1.0,0.28,0.47,1.0
rosame,rover,10,0.1,0,2,0,0.48,0.32,0.5,0.66
sam,rover,10,0.1,0,3,5,1.0,0.23,0.44,1.0
rosame,rover,10,0.1,0,3,0,0.47,0.32,0.49,0.68
sam,rover,10,0.1,0,4,5,1.0,0.23,0.44,1.0
rosame,rover,10,0.1,0,4,0,0.46,0.34,0.47,0.88
sam,rover,50,0.1,0,0,2,1.0,0.54,0.69,1.0
rosame,rover,50,0.1,0,0,0,0.67,0.52,0.61,0.77
sam,rover,50,0.1,0,1,6,1.0,0.21,0.33,1.0
rosame,rover,50,0.1,0,1,0,0.36,0.37,0.35,0.79
sam,rover,50,0.1,0,2,3,1.0,0.37,0.58,1.0
rosame,rover,50,0.1,0,2,0,0.56,0.41,0.54,0.88
sam,rover,50,0.1,0,3,5,1.0,0.24,0.36,1.0
rosame,rover,50,0.1,0,3,0,0.37,0.34,0.36,0.79
sam,rover,50,0.1,0,4,7,1.0,0.1,0.22,1.0
rosame,rover,50,0.1,0,4,0,0.24,0.24,0.34,0.59
sam,rover,100,0.1,0,0,1,1.0,0.56,0.71,1.0
rosame,rover,100,0.1,0,0,0,0.78,0.55,0.63,0.88
sam,rover,100,0.1,0,1,5,1.0,0.25,0.36,1.0
rosame,rover,100,0.1,0,1,0,0.38,0.3,0.44,0.65
sam,rover,100,0.1,0,2,6,1.0,0.19,0.28,1.0
rosame,rover,100,0.1,0,2,0,0.37,0.31,0.39,0.74
sam,rover,100,0.1,0,3,6,1.0,0.19,0.28,1.0
rosame,rover,100,0.1,0,3,0,0.37,0.34,0.39,0.79
sam,rover,100,0.1,0,4,3,1.0,0.36,0.58,1.0
rosame,rover,100,0.1,0,4,0,0.56,0.38,0.5,0.79
sam,rover,200,0.1,0,0,1,1.0,0.54,0.71,1.0
rosame,rover,200,0.1,0,0,0,0.67,0.52,0.61,0.88
sam,rover,200,0.1,0,1,5,1.0,0.23,0.36,1.0
rosame,rover,200,0.1,0,1,0,0.37,0.32,0.39,0.74
sam,rover,200,0.1,0,2,5,1.0,0.23,0.36,1.0
rosame,rover,200,0.1,0,2,0,0.34,0.32,0.31,0.74
sam,rover,200,0.1,0,3,6,1.0,0.17,0.28,1.0
rosame,rover,200,0.1,0,3,0,0.37,0.34,0.39,0.79
sam,rover,200,0.1,0,4,5,1.0,0.24,0.36,1.0
rosame,rover,200,0.1,0,4,0,0.37,0.35,0.39,0.83
sam,rover,300,0.1,0,0,0,1.0,0.59,0.73,1.0
rosame,rover,300,0.1,0,0,0,0.67,0.51,0.61,0.88
sam,rover,300,0.1,0,1,6,1.0,0.18,0.33,1.0
rosame,rover,300,0.1,0,1,0,0.37,0.37,0.39,0.88
sam,rover,300,0.1,0,2,6,1.0,0.17,0.28,1.0
rosame,rover,300,0.1,0,2,0,0.35,0.35,0.33,0.83
sam,rover,300,0.1,0,3,6,1.0,0.17,0.28,1.0
rosame,rover,300,0.1,0,3,0,0.37,0.38,0.36,0.88
sam,rover,300,0.1,0,4,6,1.0,0.17,0.28,1.0
rosame,rover,300,0.1,0,4,0,0.35,0.35,0.33,0.83
sam,rover,400,0.1,0,0,1,1.0,0.56,0.71,1.0
rosame,rover,400,0.1,0,0,0,0.67,0.48,0.61,0.88
sam,rover,400,0.1,0,1,6,1.0,0.18,0.33,1.0
rosame,rover,400,0.1,0,1,0,0.38,0.34,0.39,0.79
sam,rover,400,0.1,0,2,6,1.0,0.17,0.28,1.0
rosame,rover,400,0.1,0,2,0,0.36,0.37,0.33,0.88
sam,rover,400,0.1,0,3,6,1.0,0.17,0.28,1.0
rosame,rover,400,0.1,0,3,0,0.39,0.34,0.31,0.77
sam,rover,400,0.1,0,4,6,1.0,0.17,0.28,1.0
rosame,rover,400,0.1,0,4,0,0.36,0.29,0.4,0.63
sam,driverlog,10,0.1,0,0,3,1.0,0.39,0.5,1.0
rosame,driverlog,10,0.1,0,0,0,0.56,0.52,0.67,0.83
sam,driverlog,10,0.1,0,1,2,1.0,0.46,0.67,1.0
rosame,driverlog,10,0.1,0,1,0,0.71,0.67,0.72,1.0
sam,driverlog,10,0.1,0,2,3,1.0,0.35,0.5,1.0
rosame,driverlog,10,0.1,0,2,0,0.74,0.64,0.81,0.75
sam,driverlog,10,0.1,0,3,2,1.0,0.51,0.67,1.0
rosame,driverlog,10,0.1,0,3,0,0.71,0.72,0.72,1.0
sam,driverlog,10,0.1,0,4,2,1.0,0.57,0.67,1.0
rosame,driverlog,10,0.1,0,4,0,0.79,0.78,0.86,1.0
sam,driverlog,50,0.1,0,0,1,1.0,0.74,0.83,1.0
rosame,driverlog,50,0.1,0,0,0,0.88,0.82,0.89,1.0
sam,driverlog,50,0.1,0,1,0,1.0,0.9,1.0,1.0
rosame,driverlog,50,0.1,0,1,0,0.96,0.9,1.0,0.94
sam,driverlog,50,0.1,0,2,0,1.0,0.9,1.0,1.0
rosame,driverlog,50,0.1,0,2,0,1.0,0.9,1.0,1.0
sam,driverlog,50,0.1,0,3,0,1.0,0.9,1.0,1.0
rosame,driverlog,50,0.1,0,3,0,1.0,0.9,1.0,1.0
sam,driverlog,50,0.1,0,4,0,1.0,0.9,1.0,1.0
rosame,driverlog,50,0.1,0,4,0,1.0,0.9,1.0,1.0
sam,driverlog,100,0.1,0,0,0,1.0,0.9,1.0,1.0
rosame,driverlog,100,0.1,0,0,0,1.0,0.79,1.0,1.0
sam,driverlog,100,0.1,0,1,0,1.0,0.9,1.0,1.0
rosame,driverlog,100,0.1,0,1,0,1.0,0.79,1.0,1.0
sam,driverlog,100,0.1,0,2,0,1.0,0.9,1.0,1.0
rosame,driverlog,100,0.1,0,2,0,1.0,0.9,1.0,1.0
sam,driverlog,100,0.1,0,3,0,1.0,0.9,1.0,1.0
rosame,driverlog,100,0.1,0,3,0,1.0,0.9,1.0,1.0
sam,driverlog,100,0.1,0,4,0,1.0,0.9,1.0,1.0
rosame,driverlog,100,0.1,0,4,0,1.0,0.9,1.0,1.0
sam,driverlog,200,0.1,0,0,0,1.0,0.9,1.0,1.0
rosame,driverlog,200,0.1,0,0,0,1.0,0.79,1.0,1.0
sam,driverlog,200,0.1,0,1,0,1.0,0.9,1.0,1.0
rosame,driverlog,200,0.1,0,1,0,1.0,0.79,1.0,1.0
sam,driverlog,200,0.1,0,2,0,1.0,0.9,1.0,1.0
rosame,driverlog,200,0.1,0,2,0,1.0,0.85,1.0,1.0
sam,driverlog,200,0.1,0,3,0,1.0,0.9,1.0,1.0
rosame,driverlog,200,0.1,0,3,0,1.0,0.79,1.0,1.0
sam,driverlog,200,0.1,0,4,0,1.0,0.9,1.0,1.0
rosame,driverlog,200,0.1,0,4,0,1.0,0.9,1.0,1.0
sam,driverlog,300,0.1,0,0,0,1.0,0.9,1.0,1.0
rosame,driverlog,300,0.1,0,0,0,1.0,0.85,1.0,1.0
sam,driverlog,300,0.1,0,1,0,1.0,0.9,1.0,1.0
rosame,driverlog,300,0.1,0,1,0,1.0,0.79,1.0,1.0
sam,driverlog,300,0.1,0,2,0,1.0,0.9,1.0,1.0
rosame,driverlog,300,0.1,0,2,0,1.0,0.79,1.0,1.0
sam,driverlog,300,0.1,0,3,0,1.0,0.9,1.0,1.0
rosame,driverlog,300,0.1,0,3,0,1.0,0.9,1.0,1.0
sam,driverlog,300,0.1,0,4,0,1.0,0.9,1.0,1.0
rosame,driverlog,300,0.1,0,4,0,1.0,0.85,1.0,1.0
sam,driverlog,400,0.1,0,0,0,1.0,0.9,1.0,1.0
rosame,driverlog,400,0.1,0,0,0,1.0,0.9,1.0,1.0
sam,driverlog,400,0.1,0,1,0,1.0,0.9,1.0,1.0
rosame,driverlog,400,0.1,0,1,0,1.0,0.9,1.0,1.0
sam,driverlog,400,0.1,0,2,0,1.0,0.9,1.0,1.0
rosame,driverlog,400,0.1,0,2,0,1.0,0.9,1.0,1.0
sam,driverlog,400,0.1,0,3,0,1.0,0.9,1.0,1.0
rosame,driverlog,400,0.1,0,3,0,1.0,0.9,1.0,1.0
sam,driverlog,400,0.1,0,4,0,1.0,0.9,1.0,1.0
rosame,driverlog,400,0.1,0,4,0,1.0,0.9,1.0,1.0
sam,depot,10,0.1,0,0,2,1.0,0.57,0.6,1.0
rosame,depot,10,0.1,0,0,0,0.7,0.67,0.8,0.75
sam,depot,10,0.1,0,1,2,1.0,0.57,0.6,1.0
rosame,depot,10,0.1,0,1,0,0.6,0.57,0.53,0.55
sam,depot,10,0.1,0,2,1,1.0,0.77,0.8,1.0
rosame,depot,10,0.1,0,2,0,0.8,0.77,0.67,0.68
sam,depot,10,0.1,0,3,2,1.0,0.57,0.6,1.0
rosame,depot,10,0.1,0,3,0,0.7,0.67,0.8,0.75
sam,depot,10,0.1,0,4,1,1.0,0.77,0.8,1.0
rosame,depot,10,0.1,0,4,0,0.8,0.87,0.6,0.88
sam,depot,50,0.1,0,0,0,1.0,0.97,1.0,1.0
rosame,depot,50,0.1,0,0,0,1.0,0.97,0.8,0.88
sam,depot,50,0.1,0,1,2,1.0,0.57,0.6,1.0
rosame,depot,50,0.1,0,1,0,0.6,0.66,0.53,0.68
sam,depot,50,0.1,0,2,1,1.0,0.77,0.8,1.0
rosame,depot,50,0.1,0,2,0,0.85,0.87,0.8,0.88
sam,depot,50,0.1,0,3,0,1.0,0.97,1.0,1.0
rosame,depot,50,0.1,0,3,0,1.0,0.97,0.8,0.88
sam,depot,50,0.1,0,4,0,1.0,0.97,1.0,1.0
rosame,depot,50,0.1,0,4,0,1.0,1.0,0.8,0.84
sam,depot,100,0.1,0,0,0,1.0,0.97,1.0,1.0
rosame,depot,100,0.1,0,0,0,1.0,0.97,0.8,0.88
sam,depot,100,0.1,0,1,0,1.0,0.97,1.0,1.0
rosame,depot,100,0.1,0,1,0,1.0,0.97,0.8,0.88
sam,depot,100,0.1,0,2,0,1.0,0.97,1.0,1.0
rosame,depot,100,0.1,0,2,0,1.0,0.97,0.8,0.88
sam,depot,100,0.1,0,3,0,1.0,0.97,1.0,1.0
