,Column Labels,,,,,,,,,,,
,Sum of recall_effect,,Sum of precision_precondition,,Sum of precision_effect,,Sum of recall_precondition,,Total Sum of recall_effect,Total Sum of precision_precondition,Total Sum of precision_effect,Total Sum of recall_precondition
Row Labels,rosame,sam,rosame,sam,rosame,sam,rosame,sam,,,,
10,0.47,0.43,0.3,0.5,0.34,1,0.38,0.24,0.9,0.8,1.34,0.62
50,0.57,0.5,0.27,0.63,0.31,1,0.44,0.27,1.07,0.9,1.31,0.71
100,0.47,0.5,0.23,0.71,0.88,1,0.49,0.27,0.97,0.94,1.88,0.76
200,0.53,0.6,0.47,0.59,1,1,0.51,0.53,1.13,1.06,2,1.04
300,0.53,0.6,0.5,0.59,1,1,0.49,0.53,1.13,1.09,2,1.02
400,0.53,0.6,0.48,0.59,1,1,0.36,0.53,1.13,1.07,2,0.89
1000,0.53,0.6,0.53,0.62,0.89,1,0.44,0.53,1.13,1.15,1.89,0.97
10000,0.53,0.6,0.5,0.8,1,1,0.51,0.53,1.13,1.3,2,1.04
Grand Total,4.16,4.43,3.28,5.03,6.42,8,3.62,3.43,8.59,8.31,14.42,7.05
