Domain,Num triplets,fold,Algorithm,ok,no_solution,timeout,not_applicable,goal_not_achieved,solver_error,validated_against_expert_plan,not_validated_against_expert_plan,problems_ok,problems_no_solution,problems_timeout,problems_solver_error,problems_not_applicable,problems_goal_not_achieved,problems_validated_against_expert_plan,problems_not_validated_against_expert_plan
satellite,10,0,rosame,0,13,0,0,0,0,0,0,[],[],[],[],[],[],[],[]
satellite,10,1,rosame,0,10,0,0,0,0,0,0,[],[],[],[],[],[],[],[]
satellite,10,2,rosame,0,13,0,0,0,0,0,0,[],[],[],[],[],[],[],[]
satellite,10,3,rosame,0,13,0,0,0,0,0,0,[],[],[],[],[],[],[],[]
satellite,10,4,rosame,0,13,0,0,0,0,0,0,[],[],[],[],[],[],[],[]
satellite,50,0,rosame,0,10,0,0,0,0,0,0,[],[],[],[],[],[],[],[]
satellite,50,1,rosame,0,13,0,0,0,0,0,0,[],[],[],[],[],[],[],[]
satellite,50,2,rosame,0,13,0,0,0,0,0,0,[],[],[],[],[],[],[],[]
satellite,50,3,rosame,0,13,0,0,0,0,0,0,[],[],[],[],[],[],[],[]
satellite,50,4,rosame,0,13,0,0,0,0,0,0,[],[],[],[],[],[],[],[]
satellite,100,0,rosame,0,13,0,0,0,0,0,0,[],[],[],[],[],[],[],[]
satellite,100,1,rosame,0,13,0,0,0,0,0,0,[],[],[],[],[],[],[],[]
satellite,100,2,rosame,0,13,0,0,0,0,0,0,[],[],[],[],[],[],[],[]
satellite,100,3,rosame,0,13,0,0,0,0,0,0,[],[],[],[],[],[],[],[]
satellite,100,4,rosame,0,10,0,0,0,0,0,0,[],[],[],[],[],[],[],[]
satellite,200,0,rosame,0,13,0,0,0,0,0,0,[],[],[],[],[],[],[],[]
satellite,200,1,rosame,0,13,0,0,0,0,0,0,[],[],[],[],[],[],[],[]
satellite,200,2,rosame,0,13,0,0,0,0,0,0,[],[],[],[],[],[],[],[]
satellite,200,3,rosame,0,10,0,0,0,0,0,0,[],[],[],[],[],[],[],[]
satellite,200,4,rosame,0,13,0,0,0,0,0,0,[],[],[],[],[],[],[],[]
satellite,300,0,rosame,0,13,0,0,0,0,0,0,[],[],[],[],[],[],[],[]
satellite,300,1,rosame,0,13,0,0,0,0,0,0,[],[],[],[],[],[],[],[]
satellite,300,2,rosame,0,10,0,0,0,0,0,0,[],[],[],[],[],[],[],[]
satellite,300,3,rosame,0,10,0,0,0,0,0,0,[],[],[],[],[],[],[],[]
satellite,300,4,rosame,0,13,0,0,0,0,0,0,[],[],[],[],[],[],[],[]
satellite,400,0,rosame,0,13,0,0,0,0,0,0,[],[],[],[],[],[],[],[]
satellite,400,1,rosame,0,13,0,0,0,0,0,0,[],[],[],[],[],[],[],[]
satellite,400,2,rosame,0,13,0,0,0,0,0,0,[],[],[],[],[],[],[],[]
satellite,400,3,rosame,0,13,0,0,0,0,0,0,[],[],[],[],[],[],[],[]
satellite,400,4,rosame,0,13,0,0,0,0,0,0,[],[],[],[],[],[],[],[]
satellite,10,0,sam,0,13,0,0,0,0,0,0,[],[],[],[],[],[],[],[]
satellite,10,1,sam,0,13,0,0,0,0,0,0,[],[],[],[],[],[],[],[]
satellite,10,2,sam,0,13,0,0,0,0,0,0,[],[],[],[],[],[],[],[]
satellite,10,3,sam,0,13,0,0,0,0,0,0,[],[],[],[],[],[],[],[]
satellite,10,4,sam,0,13,0,0,0,0,0,0,[],[],[],[],[],[],[],[]
satellite,50,0,sam,0,13,0,0,0,0,0,0,[],[],[],[],[],[],[],[]
satellite,50,1,sam,0,13,0,0,0,0,0,0,[],[],[],[],[],[],[],[]
satellite,50,2,sam,0,13,0,0,0,0,0,0,[],[],[],[],[],[],[],[]
satellite,50,3,sam,0,13,0,0,0,0,0,0,[],[],[],[],[],[],[],[]
satellite,50,4,sam,0,13,0,0,0,0,0,0,[],[],[],[],[],[],[],[]
satellite,100,0,sam,0,13,0,0,0,0,0,0,[],[],[],[],[],[],[],[]
satellite,100,1,sam,0,13,0,0,0,0,0,0,[],[],[],[],[],[],[],[]
satellite,100,2,sam,0,13,0,0,0,0,0,0,[],[],[],[],[],[],[],[]
satellite,100,3,sam,0,13,0,0,0,0,0,0,[],[],[],[],[],[],[],[]
satellite,100,4,sam,0,13,0,0,0,0,0,0,[],[],[],[],[],[],[],[]
satellite,200,0,sam,0,13,0,0,0,0,0,0,[],[],[],[],[],[],[],[]
satellite,200,1,sam,0,13,0,0,0,0,0,0,[],[],[],[],[],[],[],[]
satellite,200,2,sam,0,13,0,0,0,0,0,0,[],[],[],[],[],[],[],[]
satellite,200,3,sam,0,13,0,0,0,0,0,0,[],[],[],[],[],[],[],[]
satellite,200,4,sam,0,13,0,0,0,0,0,0,[],[],[],[],[],[],[],[]
satellite,300,0,sam,0,13,0,0,0,0,0,0,[],[],[],[],[],[],[],[]
satellite,300,1,sam,0,13,0,0,0,0,0,0,[],[],[],[],[],[],[],[]
satellite,300,2,sam,0,13,0,0,0,0,0,0,[],[],[],[],[],[],[],[]
satellite,300,3,sam,0,13,0,0,0,0,0,0,[],[],[],[],[],[],[],[]
satellite,300,4,sam,0,13,0,0,0,0,0,0,[],[],[],[],[],[],[],[]
satellite,400,0,sam,0,13,0,0,0,0,0,0,[],[],[],[],[],[],[],[]
satellite,400,1,sam,0,13,0,0,0,0,0,0,[],[],[],[],[],[],[],[]
satellite,400,2,sam,0,13,0,0,0,0,0,0,[],[],[],[],[],[],[],[]
satellite,400,3,sam,0,13,0,0,0,0,0,0,[],[],[],[],[],[],[],[]
satellite,400,4,sam,0,13,0,0,0,0,0,0,[],[],[],[],[],[],[],[]
