algorithm,domain,data,Threshold,precision_effect,precision_precondition,recall_effect,recall_precondition
rosame,slide,50,N/A,0.15,0.21,0.38,0.88
rosame,slide,100,N/A,1.0,0.68,0.25,0.94
rosame,slide,200,N/A,1.0,1.0,1.0,1.0
rosame,slide,300,N/A,1.0,1.0,1.0,1.0
rosame,slide,400,N/A,1.0,1.0,1.0,1.0
sam,slide,50,0.1,0.0,0.0,0.0,0.0
sam,slide,50,0.2,0.0,0.0,0.0,0.0
sam,slide,50,0.3,0.0,0.0,0.0,0.0
sam,slide,50,0.9,0.04,0.25,0.12,0.38
sam,slide,100,0.1,0.0,0.0,0.0,0.0
sam,slide,100,0.2,0.0,0.0,0.0,0.0
sam,slide,100,0.3,0.0,0.0,0.0,0.0
sam,slide,100,0.9,0.04,0.25,0.12,0.38
sam,slide,200,0.1,0.0,0.0,0.0,0.0
sam,slide,200,0.2,0.0,0.0,0.0,0.0
sam,slide,200,0.3,0.0,0.0,0.0,0.0
sam,slide,200,0.9,0.04,0.25,0.12,0.38
sam,slide,300,0.1,0.0,0.0,0.0,0.0
sam,slide,300,0.2,0.0,0.0,0.0,0.0
sam,slide,300,0.3,0.0,0.0,0.0,0.0
sam,slide,300,0.9,0.04,0.25,0.12,0.38
sam,slide,400,0.1,0.0,0.0,0.0,0.0
sam,slide,400,0.2,0.0,0.0,0.0,0.0
sam,slide,400,0.3,0.0,0.0,0.0,0.0
sam,slide,400,0.9,0.04,0.25,0.12,0.38
