algorithm,domain,data,Threshold,precision_effect,precision_precondition,recall_effect,recall_precondition
rosame,logistics,50,N/A,0.0,0.71,0.0,0.42
rosame,logistics,100,N/A,1.0,0.64,0.08,0.58
rosame,logistics,200,N/A,0.67,0.71,0.17,0.42
rosame,logistics,300,N/A,0.89,1.0,0.67,0.58
rosame,logistics,400,N/A,1.0,0.89,0.42,0.67
sam,logistics,50,0.1,0.0,1.0,0.0,0.33
sam,logistics,50,0.2,0.0,1.0,0.0,0.33
sam,logistics,50,0.3,0.0,1.0,0.0,0.33
sam,logistics,50,0.9,0.47,0.73,0.58,0.67
sam,logistics,100,0.1,1.0,0.75,0.08,0.5
sam,logistics,100,0.2,1.0,0.86,0.17,0.5
sam,logistics,100,0.3,1.0,1.0,0.17,0.42
sam,logistics,100,0.9,0.36,0.73,0.83,0.92
sam,logistics,200,0.1,1.0,1.0,0.08,0.42
sam,logistics,200,0.2,1.0,1.0,0.17,0.42
sam,logistics,200,0.3,1.0,1.0,0.17,0.42
sam,logistics,200,0.9,0.39,0.71,1.0,1.0
sam,logistics,300,0.1,1.0,1.0,0.33,0.67
sam,logistics,300,0.2,1.0,1.0,0.33,0.67
sam,logistics,300,0.3,1.0,1.0,0.33,0.67
sam,logistics,300,0.9,0.38,0.67,1.0,1.0
sam,logistics,400,0.1,1.0,1.0,0.33,0.67
sam,logistics,400,0.2,1.0,1.0,0.33,0.67
sam,logistics,400,0.3,1.0,1.0,0.33,0.58
sam,logistics,400,0.9,0.4,0.71,1.0,1.0
