algorithm,domain,data,Threshold,precision_effect,precision_precondition,recall_effect,recall_precondition
rosame,blocks,50,N/A,1.0,0.4,0.06,0.44
rosame,blocks,100,N/A,1.0,0.55,0.28,0.67
rosame,blocks,200,N/A,1.0,0.75,0.44,0.67
rosame,blocks,300,N/A,1.0,1.0,1.0,1.0
rosame,blocks,400,N/A,1.0,0.73,0.61,0.89
rosame,blocks,max,N/A,1.0,1.0,1.0,1.0
sam,blocks,50,0.1,0.0,0.38,0.0,0.33
sam,blocks,50,0.2,0.0,0.43,0.0,0.33
sam,blocks,50,0.3,0.0,0.25,0.0,0.22
sam,blocks,50,0.9,0.38,0.38,1.0,1.0
sam,blocks,100,0.1,1.0,0.5,0.11,0.78
sam,blocks,100,0.2,1.0,0.55,0.22,0.67
sam,blocks,100,0.3,1.0,0.56,0.22,0.56
sam,blocks,100,0.9,0.35,0.35,1.0,1.0
sam,blocks,200,0.1,1.0,0.6,0.11,0.67
sam,blocks,200,0.2,1.0,0.5,0.11,0.33
sam,blocks,200,0.3,1.0,0.5,0.22,0.33
sam,blocks,200,0.9,0.35,0.35,1.0,1.0
sam,blocks,300,0.1,1.0,1.0,0.78,1.0
sam,blocks,300,0.2,0.9,0.9,1.0,1.0
sam,blocks,300,0.3,0.9,0.9,1.0,1.0
sam,blocks,300,0.9,0.35,0.35,1.0,1.0
sam,blocks,400,0.1,1.0,0.64,0.22,0.78
sam,blocks,400,0.2,1.0,0.57,0.44,0.44
sam,blocks,400,0.3,0.91,0.62,0.56,0.56
sam,blocks,400,0.9,0.35,0.35,1.0,1.0
sam,blocks,max,0.1,1.0,1.0,1.0,1.0
sam,blocks,max,0.2,1.0,1.0,1.0,1.0
sam,blocks,max,0.3,1.0,1.0,1.0,1.0
sam,blocks,max,0.9,0.39,0.39,1.0,1.0
rosame,blocks_grid,50,N/A,0.0,0.5,0.0,0.44
rosame,blocks_grid,100,N/A,1.0,0.5,0.06,0.44
rosame,blocks_grid,200,N/A,1.0,0.44,0.06,0.44
rosame,blocks_grid,300,N/A,0.0,0.38,0.0,0.33
rosame,blocks_grid,400,N/A,1.0,0.5,0.06,0.44
rosame,blocks_grid,max,N/A,1.0,1.0,0.94,1.0
sam,blocks_grid,50,0.1,0.0,0.5,0.0,0.44
sam,blocks_grid,50,0.2,0.0,0.5,0.0,0.44
sam,blocks_grid,50,0.3,0.0,0.5,0.0,0.44
sam,blocks_grid,50,0.9,0.34,0.38,0.67,0.89
sam,blocks_grid,100,0.1,0.0,0.5,0.0,0.33
sam,blocks_grid,100,0.2,0.0,0.5,0.0,0.33
sam,blocks_grid,100,0.3,0.0,0.5,0.0,0.33
sam,blocks_grid,100,0.9,0.39,0.39,0.78,0.78
sam,blocks_grid,200,0.1,0.0,0.5,0.0,0.22
sam,blocks_grid,200,0.2,0.0,0.5,0.0,0.22
sam,blocks_grid,200,0.3,0.0,0.4,0.0,0.22
sam,blocks_grid,200,0.9,0.33,0.33,0.78,0.78
sam,blocks_grid,300,0.1,0.0,0.5,0.0,0.22
sam,blocks_grid,300,0.2,0.0,0.4,0.0,0.22
sam,blocks_grid,300,0.3,0.0,0.33,0.0,0.22
sam,blocks_grid,300,0.9,0.35,0.36,0.94,1.0
sam,blocks_grid,400,0.1,0.0,0.5,0.0,0.22
sam,blocks_grid,400,0.2,0.0,0.5,0.0,0.11
sam,blocks_grid,400,0.3,0.17,0.25,0.06,0.11
sam,blocks_grid,400,0.9,0.35,0.35,1.0,1.0
sam,blocks_grid,max,0.1,1.0,1.0,1.0,1.0
sam,blocks_grid,max,0.2,0.78,0.75,1.0,1.0
sam,blocks_grid,max,0.3,0.67,0.75,1.0,1.0
sam,blocks_grid,max,0.9,0.38,0.38,1.0,1.0
rosame,gripper,50,N/A,1.0,1.0,0.25,0.5
rosame,gripper,100,N/A,1.0,0.75,0.25,0.5
rosame,gripper,200,N/A,1.0,0.8,0.62,0.67
rosame,gripper,300,N/A,1.0,1.0,0.75,0.67
rosame,gripper,400,N/A,1.0,1.0,0.88,0.83
rosame,gripper,max,N/A,1.0,1.0,1.0,1.0
sam,gripper,50,0.1,1.0,1.0,0.25,0.5
sam,gripper,50,0.2,1.0,1.0,0.25,0.5
sam,gripper,50,0.3,1.0,1.0,0.25,0.5
sam,gripper,50,0.9,0.42,0.57,0.62,0.67
sam,gripper,100,0.1,1.0,1.0,0.25,0.33
sam,gripper,100,0.2,1.0,1.0,0.25,0.33
sam,gripper,100,0.3,1.0,1.0,0.25,0.33
sam,gripper,100,0.9,0.44,0.67,1.0,1.0
sam,gripper,200,0.1,1.0,1.0,0.25,0.5
sam,gripper,200,0.2,1.0,1.0,0.25,0.5
sam,gripper,200,0.3,1.0,1.0,0.25,0.5
sam,gripper,200,0.9,0.53,0.67,1.0,1.0
sam,gripper,300,0.1,1.0,1.0,0.25,0.5
sam,gripper,300,0.2,1.0,1.0,0.25,0.5
sam,gripper,300,0.3,1.0,1.0,0.5,0.67
sam,gripper,300,0.9,0.53,0.67,1.0,1.0
sam,gripper,400,0.1,1.0,1.0,0.38,0.67
sam,gripper,400,0.2,1.0,1.0,0.75,0.83
sam,gripper,400,0.3,1.0,1.0,0.88,0.83
sam,gripper,400,0.9,0.53,0.62,1.0,0.83
sam,gripper,max,0.1,1.0,1.0,1.0,1.0
sam,gripper,max,0.2,1.0,1.0,1.0,1.0
sam,gripper,max,0.3,0.89,0.86,1.0,1.0
sam,gripper,max,0.9,0.53,0.62,1.0,0.83
