algorithm,domain,data,Threshold,precision_effect,precision_precondition,recall_effect,recall_precondition
rosame,logistics,50,N/A,1.0,1.0,1.0,1.0
rosame,logistics,100,N/A,1.0,1.0,1.0,1.0
rosame,logistics,200,N/A,1.0,1.0,1.0,1.0
rosame,logistics,300,N/A,1.0,1.0,1.0,1.0
rosame,logistics,400,N/A,0.0,0.67,0.0,1.0
sam,logistics,50,0.1,1.0,1.0,1.0,1.0
sam,logistics,100,0.1,1.0,1.0,1.0,1.0
sam,logistics,200,0.1,1.0,1.0,1.0,1.0
sam,logistics,300,0.1,1.0,1.0,1.0,1.0
sam,logistics,400,0.1,1.0,1.0,1.0,1.0
