algorithm,domain,data,Threshold,precision_effect,precision_precondition,recall_effect,recall_precondition
rosame,blocks,50,N/A,1.0,1.0,1.0,1.0
rosame,blocks,100,N/A,1.0,1.0,1.0,1.0
rosame,blocks,200,N/A,1.0,1.0,1.0,1.0
rosame,blocks,300,N/A,1.0,1.0,1.0,1.0
rosame,blocks,400,N/A,1.0,1.0,1.0,1.0
sam,blocks,50,0.1,1.0,1.0,1.0,1.0
sam,blocks,100,0.1,1.0,1.0,1.0,1.0
sam,blocks,200,0.1,1.0,1.0,1.0,1.0
sam,blocks,300,0.1,1.0,1.0,1.0,1.0
sam,blocks,400,0.1,1.0,1.0,1.0,1.0
rosame,gripper,50,N/A,1.0,1.0,1.0,1.0
rosame,gripper,100,N/A,1.0,1.0,1.0,1.0
rosame,gripper,200,N/A,1.0,1.0,1.0,1.0
rosame,gripper,300,N/A,1.0,1.0,1.0,1.0
rosame,gripper,400,N/A,1.0,1.0,1.0,1.0
sam,gripper,50,0.1,1.0,1.0,1.0,1.0
sam,gripper,100,0.1,1.0,1.0,1.0,1.0
sam,gripper,200,0.1,1.0,1.0,1.0,1.0
sam,gripper,300,0.1,1.0,1.0,1.0,1.0
sam,gripper,400,0.1,1.0,1.0,1.0,1.0
