label_results
algorithm,domain,data,precision_effect,precision_precondition,recall_effect,recall_precondition
rosame,blocks,50,1.0,1.0,1.0,1.0
rosame,blocks,100,1.0,1.0,1.0,1.0
rosame,blocks,200,1.0,1.0,1.0,1.0
rosame,blocks,300,1.0,1.0,1.0,1.0
rosame,blocks,400,1.0,1.0,1.0,1.0
sam,blocks,50,1.0,1.0,1.0,1.0
sam,blocks,100,1.0,1.0,1.0,1.0
sam,blocks,200,1.0,1.0,1.0,1.0
sam,blocks,300,1.0,1.0,1.0,1.0
sam,blocks,400,1.0,1.0,1.0,1.0
rosame,gripper,50,1.0,1.0,1.0,1.0
rosame,gripper,100,1.0,1.0,1.0,1.0
rosame,gripper,200,1.0,1.0,1.0,1.0
rosame,gripper,300,1.0,1.0,1.0,1.0
rosame,gripper,400,1.0,1.0,1.0,1.0
sam,gripper,50,1.0,1.0,1.0,1.0
sam,gripper,100,1.0,1.0,1.0,1.0
sam,gripper,200,1.0,1.0,1.0,1.0
sam,gripper,300,1.0,1.0,1.0,1.0
sam,gripper,400,1.0,1.0,1.0,1.0
