algorithm,domain,data,Threshold,precision_effect,precision_precondition,recall_effect,recall_precondition
sam,blocks,50,0.1,0.0,0.38,0.0,0.33
sam,blocks,50,0.2,0.0,0.43,0.0,0.33
sam,blocks,50,0.3,0.0,0.25,0.0,0.22
sam,blocks,50,0.4,0.0,0.0,0.0,0.0
sam,blocks,50,0.5,0.27,0.25,0.17,0.22
sam,blocks,100,0.1,1.0,0.5,0.11,0.78
sam,blocks,100,0.2,1.0,0.55,0.22,0.67
sam,blocks,100,0.3,1.0,0.56,0.22,0.56
sam,blocks,100,0.4,0.75,0.64,0.33,0.78
sam,blocks,100,0.5,0.6,0.54,0.5,0.78
sam,blocks,200,0.1,1.0,0.6,0.11,0.67
sam,blocks,200,0.2,1.0,0.5,0.11,0.33
sam,blocks,200,0.3,1.0,0.5,0.22,0.33
sam,blocks,200,0.4,0.9,0.62,0.5,0.56
sam,blocks,200,0.5,0.68,0.64,0.83,0.78
sam,blocks,300,0.1,1.0,1.0,0.78,1.0
sam,blocks,300,0.2,0.9,0.9,1.0,1.0
sam,blocks,300,0.3,0.9,0.9,1.0,1.0
sam,blocks,300,0.4,0.82,0.82,1.0,1.0
sam,blocks,300,0.5,0.82,0.82,1.0,1.0
sam,blocks,400,0.1,1.0,0.64,0.22,0.78
sam,blocks,400,0.2,1.0,0.57,0.44,0.44
sam,blocks,400,0.3,0.91,0.62,0.56,0.56
sam,blocks,400,0.4,0.92,0.75,0.67,0.67
sam,blocks,400,0.5,0.52,0.5,0.94,0.89
sam,blocks,max,0.1,1.0,1.0,1.0,1.0
sam,blocks,max,0.2,1.0,1.0,1.0,1.0
sam,blocks,max,0.3,1.0,1.0,1.0,1.0
sam,blocks,max,0.4,1.0,1.0,1.0,1.0
sam,blocks,max,0.5,1.0,1.0,1.0,1.0
