algorithm,domain,data,Threshold,fold,precision_effect,precision_precondition,recall_effect,recall_precondition
rosame,blocks,1,N/A,1,0.59,0.37,0.56,0.78
rosame,blocks,1,N/A,2,0.6,0.37,0.33,0.78
rosame,blocks,1,N/A,3,0.47,0.5,0.44,0.44
rosame,blocks,1,N/A,4,0.46,0.57,0.33,0.44
rosame,blocks,1,N/A,5,0.41,0.36,0.39,1.0
rosame,blocks,2,N/A,1,0.46,0.46,0.67,0.67
rosame,blocks,2,N/A,2,0.59,0.45,0.56,0.56
rosame,blocks,2,N/A,3,1.0,0.54,0.44,0.78
rosame,blocks,2,N/A,4,0.59,0.83,0.56,0.56
rosame,blocks,2,N/A,5,0.65,0.43,0.61,1.0
rosame,blocks,3,N/A,1,0.73,0.56,0.89,1.0
rosame,blocks,3,N/A,2,0.68,1.0,0.83,0.67
rosame,blocks,3,N/A,3,1.0,0.56,0.72,1.0
rosame,blocks,3,N/A,4,0.73,0.56,0.89,1.0
rosame,blocks,3,N/A,5,1.0,0.56,0.72,1.0
rosame,blocks,5,N/A,1,0.95,1.0,1.0,1.0
rosame,blocks,5,N/A,2,1.0,0.82,1.0,1.0
rosame,blocks,5,N/A,3,1.0,0.82,1.0,1.0
rosame,blocks,5,N/A,4,1.0,0.82,1.0,1.0
rosame,blocks,5,N/A,5,1.0,0.82,1.0,1.0
rosame,blocks,7,N/A,1,1.0,0.82,1.0,1.0
rosame,blocks,7,N/A,2,1.0,0.9,1.0,1.0
rosame,blocks,7,N/A,3,0.95,0.9,1.0,1.0
rosame,blocks,7,N/A,4,1.0,0.82,1.0,1.0
rosame,blocks,7,N/A,5,1.0,0.82,1.0,1.0
