algorithm,domain,data,precision_effect,precision_precondition,recall_effect,recall_precondition
rosame,blocks,1,0.54,0.57,0.39,0.44
rosame,blocks,2,0.5,0.4,0.67,0.89
rosame,blocks,3,0.62,0.5,0.83,0.89
rosame,blocks,5,1,1,1,1
rosame,blocks,7,1,1,1,1
sam,blocks,1,1,1,0.22,0.33
sam,blocks,2,1,1,0.44,0.44
sam,blocks,3,1,1,0.44,0.44
sam,blocks,5,1,1,1,1
sam,blocks,7,1,1,1,1
rosame,gripper,1,1,0.67,0.38,1
rosame,gripper,2,1,0.86,0.75,1
rosame,gripper,3,1,1,1,1
rosame,gripper,5,1,1,1,1
rosame,gripper,7,1,1,1,1
sam,gripper,1,1,1,0.38,0.5
sam,gripper,2,1,1,0.75,0.83
sam,gripper,3,1,1,1,1
sam,gripper,5,1,1,1,1
sam,gripper,7,1,1,1,1
rosame,logistics,1,0.4,0.8,0.5,0.33
rosame,logistics,2,0.53,0.86,0.67,0.5
rosame,logistics,3,0.64,0.89,0.75,0.67
rosame,logistics,5,0.79,1,0.92,0.75
rosame,logistics,7,1,1,1,1
sam,logistics,1,1,1,0.17,0.17
sam,logistics,2,1,1,0.33,0.33
sam,logistics,3,1,1,0.5,0.5
sam,logistics,5,1,1,0.83,0.75
sam,logistics,7,1,1,1,1
