algorithm,domain,data,Threshold,precision_effect,precision_precondition,recall_effect,recall_precondition
sam,gripper,50,0.1,1.0,1.0,0.25,0.5
sam,gripper,50,0.2,1.0,1.0,0.25,0.5
sam,gripper,50,0.3,1.0,1.0,0.25,0.5
sam,gripper,50,0.4,1.0,1.0,0.25,0.5
sam,gripper,50,0.5,1.0,1.0,0.25,0.5
sam,gripper,100,0.1,1.0,1.0,0.25,0.33
sam,gripper,100,0.2,1.0,1.0,0.25,0.33
sam,gripper,100,0.3,1.0,1.0,0.25,0.33
sam,gripper,100,0.4,1.0,1.0,0.25,0.17
sam,gripper,100,0.5,0.57,1.0,0.5,0.67
sam,gripper,200,0.1,1.0,1.0,0.25,0.5
sam,gripper,200,0.2,1.0,1.0,0.25,0.5
sam,gripper,200,0.3,1.0,1.0,0.25,0.5
sam,gripper,200,0.4,1.0,1.0,0.62,0.83
sam,gripper,200,0.5,0.86,1.0,0.75,0.83
sam,gripper,300,0.1,1.0,1.0,0.25,0.5
sam,gripper,300,0.2,1.0,1.0,0.25,0.5
sam,gripper,300,0.3,1.0,1.0,0.5,0.67
sam,gripper,300,0.4,1.0,1.0,0.75,0.83
sam,gripper,300,0.5,0.88,0.83,0.88,0.83
sam,gripper,400,0.1,1.0,1.0,0.38,0.67
sam,gripper,400,0.2,1.0,1.0,0.75,0.83
sam,gripper,400,0.3,1.0,1.0,0.88,0.83
sam,gripper,400,0.4,1.0,1.0,0.88,0.83
sam,gripper,400,0.5,1.0,1.0,1.0,1.0
