algorithm,domain,data,Threshold,fold,precision_effect,precision_precondition,recall_effect,recall_precondition
rosame,gripper,1,N/A,1,0.8,1.0,0.5,0.5
rosame,gripper,1,N/A,2,0.57,0.71,0.5,0.83
rosame,gripper,1,N/A,3,0.71,0.8,0.62,0.67
rosame,gripper,1,N/A,4,0.8,1.0,0.5,0.5
rosame,gripper,1,N/A,5,1.0,0.8,0.38,0.67
rosame,gripper,2,N/A,1,1.0,1.0,0.75,0.83
rosame,gripper,2,N/A,2,0.88,0.86,0.88,1.0
rosame,gripper,2,N/A,3,0.88,0.86,0.88,1.0
rosame,gripper,2,N/A,4,1.0,0.86,0.75,1.0
rosame,gripper,2,N/A,5,0.78,1.0,0.88,0.67
rosame,gripper,3,N/A,1,1.0,1.0,1.0,1.0
rosame,gripper,3,N/A,2,1.0,1.0,1.0,1.0
rosame,gripper,3,N/A,3,1.0,1.0,1.0,1.0
rosame,gripper,3,N/A,4,1.0,1.0,1.0,1.0
rosame,gripper,3,N/A,5,1.0,1.0,1.0,1.0
rosame,gripper,5,N/A,1,1.0,1.0,1.0,1.0
rosame,gripper,5,N/A,2,1.0,1.0,1.0,1.0
rosame,gripper,5,N/A,3,1.0,1.0,1.0,1.0
rosame,gripper,5,N/A,4,1.0,1.0,1.0,1.0
rosame,gripper,5,N/A,5,1.0,1.0,1.0,1.0
rosame,gripper,7,N/A,1,1.0,1.0,1.0,1.0
rosame,gripper,7,N/A,2,1.0,1.0,1.0,1.0
rosame,gripper,7,N/A,3,1.0,1.0,1.0,1.0
rosame,gripper,7,N/A,4,1.0,1.0,1.0,1.0
rosame,gripper,7,N/A,5,1.0,1.0,1.0,1.0
