algorithm,domain,data,Threshold,Epsilon,precision_effect,precision_precondition,recall_effect,recall_precondition
rosame,logistics,50,N/A,0.2,0.0,0.67,0.0,1.0
rosame,logistics,50,N/A,0.4,0.0,0.67,0.0,1.0
rosame,logistics,50,N/A,0.6,0.0,0.71,0.0,1.0
rosame,logistics,50,N/A,0.8,0.0,0.75,0.0,0.5
rosame,logistics,50,N/A,1.0,0.0,0.86,0.0,0.5
rosame,logistics,100,N/A,0.2,0.0,0.67,0.0,1.0
rosame,logistics,100,N/A,0.4,0.0,0.67,0.0,1.0
rosame,logistics,100,N/A,0.6,0.0,0.71,0.0,1.0
rosame,logistics,100,N/A,0.8,0.0,0.75,0.0,0.5
rosame,logistics,100,N/A,1.0,0.0,0.86,0.0,0.5
rosame,logistics,200,N/A,0.2,0.0,0.67,0.0,1.0
rosame,logistics,200,N/A,0.4,0.0,0.67,0.0,1.0
rosame,logistics,200,N/A,0.6,0.0,0.71,0.0,1.0
rosame,logistics,200,N/A,0.8,0.0,0.75,0.0,0.5
rosame,logistics,200,N/A,1.0,0.0,0.86,0.0,0.5
rosame,logistics,300,N/A,0.2,0.0,0.67,0.0,1.0
rosame,logistics,300,N/A,0.4,0.0,0.67,0.0,1.0
rosame,logistics,300,N/A,0.6,0.0,0.71,0.0,1.0
rosame,logistics,300,N/A,0.8,0.0,0.75,0.0,0.5
rosame,logistics,300,N/A,1.0,0.0,0.86,0.0,0.5
rosame,logistics,400,N/A,0.2,0.73,1.0,0.67,0.75
rosame,logistics,400,N/A,0.4,0.0,0.67,0.0,1.0
rosame,logistics,400,N/A,0.6,1.0,0.71,0.08,1.0
rosame,logistics,400,N/A,0.8,0.0,0.7,0.0,0.58
rosame,logistics,400,N/A,1.0,0.0,0.86,0.0,0.5
sam,logistics,50,0.1,0.2,1.0,1.0,1.0,1.0
sam,logistics,50,0.1,0.4,1.0,0.8,0.5,1.0
sam,logistics,50,0.1,0.6,1.0,0.71,0.17,1.0
sam,logistics,50,0.1,0.8,1.0,0.71,0.17,1.0
sam,logistics,50,0.1,1.0,0.0,0.45,0.0,0.42
sam,logistics,100,0.1,0.2,1.0,1.0,1.0,1.0
sam,logistics,100,0.1,0.4,1.0,0.8,0.5,1.0
sam,logistics,100,0.1,0.6,1.0,0.71,0.17,1.0
sam,logistics,100,0.1,0.8,1.0,0.71,0.17,1.0
sam,logistics,100,0.1,1.0,0.0,0.45,0.0,0.42
sam,logistics,200,0.1,0.2,1.0,1.0,1.0,1.0
sam,logistics,200,0.1,0.4,1.0,0.8,0.5,1.0
sam,logistics,200,0.1,0.6,1.0,0.71,0.17,1.0
sam,logistics,200,0.1,0.8,1.0,0.71,0.17,1.0
sam,logistics,200,0.1,1.0,0.0,0.45,0.0,0.42
sam,logistics,300,0.1,0.2,1.0,1.0,1.0,1.0
sam,logistics,300,0.1,0.4,1.0,0.8,0.5,1.0
sam,logistics,300,0.1,0.6,1.0,0.71,0.17,1.0
sam,logistics,300,0.1,0.8,1.0,0.71,0.17,1.0
sam,logistics,300,0.1,1.0,0.0,0.45,0.0,0.42
sam,logistics,400,0.1,0.2,1.0,1.0,1.0,1.0
sam,logistics,400,0.1,0.4,1.0,0.8,0.5,1.0
sam,logistics,400,0.1,0.6,1.0,0.71,0.17,1.0
sam,logistics,400,0.1,0.8,1.0,0.71,0.17,1.0
sam,logistics,400,0.1,1.0,0.0,0.45,0.0,0.42
