algorithm,domain,data,Threshold,Epsilon,precision_effect,precision_precondition,recall_effect,recall_precondition
rosame,blocks,50,N/A,0.2,1.0,1.0,1.0,1.0
rosame,blocks,50,N/A,0.4,1.0,1.0,1.0,1.0
rosame,blocks,50,N/A,0.6,1.0,0.82,1.0,1.0
rosame,blocks,50,N/A,0.8,0.83,0.86,0.83,0.67
rosame,blocks,50,N/A,1.0,0.5,0.4,0.5,0.22
rosame,blocks,100,N/A,0.2,1.0,1.0,1.0,1.0
rosame,blocks,100,N/A,0.4,1.0,1.0,1.0,1.0
rosame,blocks,100,N/A,0.6,1.0,1.0,1.0,1.0
rosame,blocks,100,N/A,0.8,0.89,1.0,0.89,0.78
rosame,blocks,100,N/A,1.0,0.5,0.0,0.5,0.0
rosame,blocks,200,N/A,0.2,1.0,1.0,1.0,1.0
rosame,blocks,200,N/A,0.4,1.0,1.0,1.0,1.0
rosame,blocks,200,N/A,0.6,1.0,1.0,1.0,1.0
rosame,blocks,200,N/A,0.8,0.89,1.0,0.89,0.78
rosame,blocks,200,N/A,1.0,0.44,0.0,0.44,0.0
rosame,blocks,300,N/A,0.2,1.0,1.0,1.0,1.0
rosame,blocks,300,N/A,0.4,1.0,1.0,1.0,1.0
rosame,blocks,300,N/A,0.6,1.0,1.0,1.0,1.0
rosame,blocks,300,N/A,0.8,0.94,1.0,0.94,0.89
rosame,blocks,300,N/A,1.0,0.5,0.0,0.5,0.0
rosame,blocks,400,N/A,0.2,1.0,1.0,1.0,1.0
rosame,blocks,400,N/A,0.4,1.0,1.0,1.0,1.0
rosame,blocks,400,N/A,0.6,1.0,1.0,1.0,1.0
rosame,blocks,400,N/A,0.8,1.0,1.0,1.0,1.0
rosame,blocks,400,N/A,1.0,0.5,0.0,0.5,0.0
rosame,blocks,max,N/A,0.2,1.0,1.0,1.0,1.0
rosame,blocks,max,N/A,0.4,1.0,1.0,1.0,1.0
rosame,blocks,max,N/A,0.6,1.0,1.0,1.0,1.0
rosame,blocks,max,N/A,0.8,1.0,1.0,1.0,1.0
rosame,blocks,max,N/A,1.0,0.5,0.0,0.5,0.0
sam,blocks,50,0.1,0.2,1.0,0.82,0.78,1.0
sam,blocks,50,0.2,0.2,1.0,1.0,1.0,1.0
sam,blocks,50,0.3,0.2,1.0,1.0,1.0,1.0
sam,blocks,50,0.9,0.2,0.35,0.35,1.0,1.0
sam,blocks,50,0.1,0.4,1.0,0.45,0.44,1.0
sam,blocks,50,0.2,0.4,1.0,0.82,0.78,1.0
sam,blocks,50,0.3,0.4,1.0,1.0,1.0,1.0
sam,blocks,50,0.9,0.4,0.35,0.35,1.0,1.0
sam,blocks,50,0.1,0.6,1.0,0.38,0.11,1.0
sam,blocks,50,0.2,0.6,1.0,0.5,0.56,1.0
sam,blocks,50,0.3,0.6,1.0,0.82,0.78,1.0
sam,blocks,50,0.9,0.6,0.35,0.35,1.0,1.0
sam,blocks,50,0.1,0.8,1.0,0.38,0.11,1.0
sam,blocks,50,0.2,0.8,1.0,0.45,0.44,1.0
sam,blocks,50,0.3,0.8,0.86,0.64,0.67,1.0
sam,blocks,50,0.9,0.8,0.35,0.35,1.0,1.0
sam,blocks,50,0.1,1.0,0.5,0.38,0.11,0.89
sam,blocks,50,0.2,1.0,0.6,0.4,0.17,0.89
sam,blocks,50,0.3,1.0,0.45,0.39,0.56,0.78
sam,blocks,50,0.9,1.0,0.35,0.35,1.0,1.0
sam,blocks,100,0.1,0.2,1.0,0.82,0.78,1.0
sam,blocks,100,0.2,0.2,1.0,1.0,1.0,1.0
sam,blocks,100,0.3,0.2,1.0,1.0,1.0,1.0
sam,blocks,100,0.9,0.2,0.35,0.35,1.0,1.0
sam,blocks,100,0.1,0.4,1.0,0.53,0.61,1.0
sam,blocks,100,0.2,0.4,1.0,0.82,0.78,1.0
sam,blocks,100,0.3,0.4,1.0,1.0,1.0,1.0
sam,blocks,100,0.9,0.4,0.35,0.35,1.0,1.0
sam,blocks,100,0.1,0.6,1.0,0.47,0.28,1.0
sam,blocks,100,0.2,0.6,1.0,0.56,0.67,1.0
sam,blocks,100,0.3,0.6,1.0,0.82,0.78,1.0
sam,blocks,100,0.9,0.6,0.35,0.35,1.0,1.0
sam,blocks,100,0.1,0.8,1.0,0.47,0.28,1.0
sam,blocks,100,0.2,0.8,1.0,0.53,0.61,1.0
sam,blocks,100,0.3,0.8,0.88,0.75,0.78,1.0
sam,blocks,100,0.9,0.8,0.35,0.35,1.0,1.0
sam,blocks,100,0.1,1.0,0.71,0.5,0.28,0.89
sam,blocks,100,0.2,1.0,0.75,0.5,0.33,0.89
sam,blocks,100,0.3,1.0,0.5,0.44,0.67,0.89
sam,blocks,100,0.9,1.0,0.35,0.35,1.0,1.0
sam,blocks,200,0.1,0.2,1.0,0.82,0.78,1.0
sam,blocks,200,0.2,0.2,1.0,1.0,1.0,1.0
sam,blocks,200,0.3,0.2,1.0,1.0,1.0,1.0
sam,blocks,200,0.9,0.2,0.35,0.35,1.0,1.0
sam,blocks,200,0.1,0.4,1.0,0.56,0.67,1.0
sam,blocks,200,0.2,0.4,1.0,0.82,0.78,1.0
sam,blocks,200,0.3,0.4,1.0,1.0,1.0,1.0
sam,blocks,200,0.9,0.4,0.35,0.35,1.0,1.0
sam,blocks,200,0.1,0.6,1.0,0.47,0.33,1.0
sam,blocks,200,0.2,0.6,1.0,0.56,0.67,1.0
sam,blocks,200,0.3,0.6,1.0,0.82,0.78,1.0
sam,blocks,200,0.9,0.6,0.35,0.35,1.0,1.0
sam,blocks,200,0.1,0.8,1.0,0.47,0.33,1.0
sam,blocks,200,0.2,0.8,1.0,0.56,0.67,1.0
sam,blocks,200,0.3,0.8,0.88,0.75,0.78,1.0
sam,blocks,200,0.9,0.8,0.35,0.35,1.0,1.0
sam,blocks,200,0.1,1.0,0.75,0.5,0.33,0.89
sam,blocks,200,0.2,1.0,0.67,0.47,0.33,0.89
sam,blocks,200,0.3,1.0,0.46,0.42,0.67,0.89
sam,blocks,200,0.9,1.0,0.35,0.35,1.0,1.0
sam,blocks,300,0.1,0.2,1.0,0.82,0.78,1.0
sam,blocks,300,0.2,0.2,1.0,1.0,1.0,1.0
sam,blocks,300,0.3,0.2,1.0,1.0,1.0,1.0
sam,blocks,300,0.9,0.2,0.35,0.35,1.0,1.0
sam,blocks,300,0.1,0.4,1.0,0.56,0.67,1.0
sam,blocks,300,0.2,0.4,1.0,0.82,0.78,1.0
sam,blocks,300,0.3,0.4,1.0,1.0,1.0,1.0
sam,blocks,300,0.9,0.4,0.35,0.35,1.0,1.0
sam,blocks,300,0.1,0.6,1.0,0.47,0.33,1.0
sam,blocks,300,0.2,0.6,1.0,0.56,0.67,1.0
