Sum of recall_effect,Column Labels,,,
Row Labels,rosame,sam_with,sam_without,Grand Total
depot,,,,
10,,,,
0.1,,,,
0.2,0.67,0.53,0.53,1.73
0.4,0.67,0.53,0.53,1.73
0.6,0.67,0.53,0.53,1.73
0.8,0.67,0.53,0.53,1.73
1,0.53,0,0,0.53
0.2,,,,
0.2,0.53,0.53,0.53,1.59
0.4,0.67,0.53,0.53,1.73
0.6,0.53,0.53,0.53,1.59
0.8,0.53,0.53,0.53,1.59
1,0.67,0,0,0.67
0.3,,,,
0.2,0.53,0.27,0.47,1.27
0.4,0.67,0.53,0.53,1.73
0.6,0.53,0.53,0.53,1.59
0.8,0.67,0.5,0.53,1.7
1,0.67,0,0,0.67
0.4,,,,
0.2,0.53,0.23,0.47,1.23
0.4,0.67,0.53,0.53,1.73
0.6,0.53,0.53,0.53,1.59
0.8,0.67,0.5,0.53,1.7
1,0.8,0,0,0.8
0.5,,,,
0.2,0.7,0.23,0.47,1.4
0.4,0.67,0.47,0.47,1.61
0.6,0.5,0.5,0.53,1.53
0.8,0.5,0.5,0.53,1.53
1,0.53,0,0,0.53
100,,,,
0.1,,,,
0.2,0.67,0.67,0.67,2.01
0.4,0.67,0.67,0.67,2.01
0.6,0.67,0.67,0.67,2.01
0.8,0.8,0.67,0.67,2.14
1,0.67,0,0,0.67
0.2,,,,
0.2,0.8,0.67,0.67,2.14
0.4,0.67,0.67,0.67,2.01
0.6,0.67,0.67,0.67,2.01
0.8,0.67,0.67,0.67,2.01
1,0.67,0,0,0.67
0.3,,,,
0.2,0.67,0.53,0.67,1.87
0.4,0.67,0.67,0.67,2.01
0.6,0.67,0.67,0.67,2.01
0.8,0.67,0.67,0.67,2.01
1,0.67,0,0,0.67
0.4,,,,
0.2,0.8,0.47,0.67,1.94
0.4,0.67,0.67,0.67,2.01
0.6,0.8,0.67,0.67,2.14
0.8,0.67,0.67,0.67,2.01
1,0.67,0,0,0.67
0.5,,,,
0.2,0.67,0.33,0.6,1.6
0.4,0.67,0.57,0.67,1.91
0.6,0.67,0.67,0.67,2.01
0.8,0.67,0.6,0.67,1.94
1,0.67,0,0,0.67
200,,,,
0.1,,,,
0.2,0.67,0.67,0.67,2.01
0.4,0.8,0.67,0.67,2.14
0.6,0.67,0.67,0.67,2.01
0.8,0.67,0.67,0.67,2.01
1,0.67,0,0,0.67
0.2,,,,
0.2,0.67,0.67,0.67,2.01
0.4,0.67,0.67,0.67,2.01
0.6,0.67,0.67,0.67,2.01
0.8,0.8,0.67,0.67,2.14
1,0.67,0,0,0.67
0.3,,,,
0.2,0.73,0.5,0.67,1.9
0.4,0.8,0.67,0.67,2.14
0.6,0.8,0.67,0.67,2.14
0.8,0.8,0.67,0.67,2.14
1,0.73,0,0,0.73
0.4,,,,
0.2,0.73,0.47,0.67,1.87
0.4,0.67,0.67,0.67,2.01
0.6,0.8,0.67,0.67,2.14
0.8,0.67,0.67,0.67,2.01
1,0.67,0,0,0.67
0.5,,,,
0.2,0.67,0.43,0.67,1.77
0.4,0.8,0.67,0.67,2.14
0.6,0.67,0.67,0.67,2.01
0.8,0.8,0.67,0.67,2.14
1,0.67,0,0,0.67
300,,,,
0.1,,,,
0.2,0.67,0.67,0.67,2.01
0.4,0.8,0.67,0.67,2.14
0.6,0.67,0.67,0.67,2.01
0.8,0.67,0.67,0.67,2.01
1,0.67,0,0,0.67
0.2,,,,
0.2,0.67,0.67,0.67,2.01
0.4,0.8,0.67,0.67,2.14
0.6,0.73,0.67,0.67,2.07
0.8,0.67,0.67,0.67,2.01
1,0.8,0,0,0.8
0.3,,,,
0.2,0.67,0.57,0.67,1.91
0.4,0.67,0.67,0.67,2.01
0.6,0.8,0.67,0.67,2.14
0.8,0.67,0.67,0.67,2.01
1,0.8,0,0,0.8
0.4,,,,
0.2,0.67,0.43,0.67,1.77
0.4,0.73,0.67,0.67,2.07
0.6,0.67,0.67,0.67,2.01
0.8,0.67,0.67,0.67,2.01
1,0.8,0,0,0.8
0.5,,,,
