Algorithm,Domain,Num. Of Traces,Threshold,precision_effect,precision_precondition,recall_effect,recall_precondition
remove_effect_rule,gripper-strips,50,0.1,1.0,0.83,0.12,0.83
without_remove_effect_rule,gripper-strips,50,0.1,1.0,1.0,0.25,0.5
remove_effect_rule,gripper-strips,50,0.2,1.0,0.8,0.25,0.67
without_remove_effect_rule,gripper-strips,50,0.2,1.0,1.0,0.25,0.5
remove_effect_rule,gripper-strips,50,0.3,1.0,0.67,0.25,0.67
without_remove_effect_rule,gripper-strips,50,0.3,1.0,1.0,0.25,0.5
remove_effect_rule,gripper-strips,50,0.4,1.0,0.67,0.25,0.33
without_remove_effect_rule,gripper-strips,50,0.4,1.0,1.0,0.25,0.5
remove_effect_rule,gripper-strips,50,0.5,1.0,0.67,0.25,0.33
without_remove_effect_rule,gripper-strips,50,0.5,1.0,1.0,0.25,0.5
remove_effect_rule,gripper-strips,100,0.1,0.0,0.57,0.0,0.67
without_remove_effect_rule,gripper-strips,100,0.1,1.0,1.0,0.25,0.33
remove_effect_rule,gripper-strips,100,0.2,0.0,0.57,0.0,0.67
without_remove_effect_rule,gripper-strips,100,0.2,1.0,1.0,0.25,0.33
remove_effect_rule,gripper-strips,100,0.3,1.0,0.5,0.25,0.67
without_remove_effect_rule,gripper-strips,100,0.3,1.0,1.0,0.25,0.33
remove_effect_rule,gripper-strips,100,0.4,1.0,0.57,0.25,0.67
without_remove_effect_rule,gripper-strips,100,0.4,1.0,1.0,0.25,0.17
remove_effect_rule,gripper-strips,100,0.5,0.67,0.6,0.25,0.5
without_remove_effect_rule,gripper-strips,100,0.5,0.57,1.0,0.5,0.67
remove_effect_rule,gripper-strips,200,0.1,1.0,0.67,0.25,0.67
without_remove_effect_rule,gripper-strips,200,0.1,1.0,1.0,0.25,0.5
remove_effect_rule,gripper-strips,200,0.2,1.0,0.57,0.25,0.67
without_remove_effect_rule,gripper-strips,200,0.2,1.0,1.0,0.25,0.5
remove_effect_rule,gripper-strips,200,0.3,1.0,0.8,0.25,0.67
without_remove_effect_rule,gripper-strips,200,0.3,1.0,1.0,0.25,0.5
remove_effect_rule,gripper-strips,200,0.4,1.0,0.8,0.25,0.67
without_remove_effect_rule,gripper-strips,200,0.4,1.0,1.0,0.62,0.83
remove_effect_rule,gripper-strips,200,0.5,1.0,1.0,0.25,0.83
without_remove_effect_rule,gripper-strips,200,0.5,0.86,1.0,0.75,0.83
remove_effect_rule,gripper-strips,300,0.1,1.0,0.86,0.25,1.0
without_remove_effect_rule,gripper-strips,300,0.1,1.0,1.0,0.25,0.5
remove_effect_rule,gripper-strips,300,0.2,1.0,0.86,0.25,1.0
without_remove_effect_rule,gripper-strips,300,0.2,1.0,1.0,0.25,0.5
remove_effect_rule,gripper-strips,300,0.3,1.0,0.83,0.25,0.83
without_remove_effect_rule,gripper-strips,300,0.3,1.0,1.0,0.5,0.67
remove_effect_rule,gripper-strips,300,0.4,1.0,0.8,0.5,0.67
without_remove_effect_rule,gripper-strips,300,0.4,1.0,1.0,0.75,0.83
remove_effect_rule,gripper-strips,300,0.5,1.0,0.83,0.62,0.83
without_remove_effect_rule,gripper-strips,300,0.5,0.88,0.83,0.88,0.83
remove_effect_rule,gripper-strips,400,0.1,1.0,0.71,0.25,0.83
without_remove_effect_rule,gripper-strips,400,0.1,1.0,1.0,0.38,0.67
remove_effect_rule,gripper-strips,400,0.2,1.0,0.71,0.25,0.83
without_remove_effect_rule,gripper-strips,400,0.2,1.0,1.0,0.75,0.83
remove_effect_rule,gripper-strips,400,0.3,1.0,0.71,0.38,0.83
without_remove_effect_rule,gripper-strips,400,0.3,1.0,1.0,0.88,0.83
remove_effect_rule,gripper-strips,400,0.4,1.0,0.71,0.75,0.83
without_remove_effect_rule,gripper-strips,400,0.4,1.0,1.0,0.88,0.83
remove_effect_rule,gripper-strips,400,0.5,1.0,0.86,0.88,1.0
without_remove_effect_rule,gripper-strips,400,0.5,1.0,1.0,1.0,1.0
remove_effect_rule,gripper-strips,max,0.1,1.0,1.0,1.0,1.0
without_remove_effect_rule,gripper-strips,max,0.1,1.0,1.0,1.0,1.0
remove_effect_rule,gripper-strips,max,0.2,1.0,1.0,1.0,1.0
without_remove_effect_rule,gripper-strips,max,0.2,1.0,1.0,1.0,1.0
remove_effect_rule,gripper-strips,max,0.3,1.0,1.0,1.0,1.0
without_remove_effect_rule,gripper-strips,max,0.3,0.89,0.86,1.0,1.0
remove_effect_rule,gripper-strips,max,0.4,1.0,1.0,1.0,1.0
without_remove_effect_rule,gripper-strips,max,0.4,0.89,0.86,1.0,1.0
remove_effect_rule,gripper-strips,max,0.5,1.0,1.0,1.0,1.0
without_remove_effect_rule,gripper-strips,max,0.5,0.8,0.86,1.0,1.0
