Algorithm,Domain,Num. Of Traces,Threshold,Epsilon,precision_effect,precision_precondition,recall_effect,recall_precondition
with_remove_effects,blocksworld-4ops,50,0.1,0.2,1.0,0.82,0.67,1.0
without_remove_effects,blocksworld-4ops,50,0.1,0.2,1.0,0.82,0.78,1.0
with_remove_effects,blocksworld-4ops,50,0.1,0.4,1.0,0.5,0.39,1.0
without_remove_effects,blocksworld-4ops,50,0.1,0.4,1.0,0.5,0.44,1.0
with_remove_effects,blocksworld-4ops,50,0.1,0.6,1.0,0.41,0.22,1.0
without_remove_effects,blocksworld-4ops,50,0.1,0.6,1.0,0.41,0.22,1.0
with_remove_effects,blocksworld-4ops,50,0.1,0.8,1.0,0.41,0.22,1.0
without_remove_effects,blocksworld-4ops,50,0.1,0.8,1.0,0.41,0.22,1.0
with_remove_effects,blocksworld-4ops,50,0.1,1.0,0.8,0.38,0.22,0.89
without_remove_effects,blocksworld-4ops,50,0.1,1.0,0.67,0.38,0.22,0.89
with_remove_effects,blocksworld-4ops,50,0.2,0.2,1.0,1.0,1.0,1.0
without_remove_effects,blocksworld-4ops,50,0.2,0.2,1.0,1.0,1.0,1.0
with_remove_effects,blocksworld-4ops,50,0.2,0.4,1.0,0.82,0.67,1.0
without_remove_effects,blocksworld-4ops,50,0.2,0.4,1.0,0.82,0.78,1.0
with_remove_effects,blocksworld-4ops,50,0.2,0.6,1.0,0.56,0.5,1.0
without_remove_effects,blocksworld-4ops,50,0.2,0.6,1.0,0.56,0.67,1.0
with_remove_effects,blocksworld-4ops,50,0.2,0.8,1.0,0.5,0.39,1.0
without_remove_effects,blocksworld-4ops,50,0.2,0.8,1.0,0.5,0.44,1.0
with_remove_effects,blocksworld-4ops,50,0.2,1.0,0.83,0.44,0.28,0.89
without_remove_effects,blocksworld-4ops,50,0.2,1.0,0.75,0.44,0.33,0.89
with_remove_effects,blocksworld-4ops,50,0.3,0.2,1.0,1.0,1.0,1.0
without_remove_effects,blocksworld-4ops,50,0.3,0.2,1.0,1.0,1.0,1.0
with_remove_effects,blocksworld-4ops,50,0.3,0.4,1.0,1.0,1.0,1.0
without_remove_effects,blocksworld-4ops,50,0.3,0.4,1.0,1.0,1.0,1.0
with_remove_effects,blocksworld-4ops,50,0.3,0.6,1.0,0.82,0.67,1.0
without_remove_effects,blocksworld-4ops,50,0.3,0.6,1.0,0.82,0.78,1.0
with_remove_effects,blocksworld-4ops,50,0.3,0.8,1.0,0.57,0.56,0.89
without_remove_effects,blocksworld-4ops,50,0.3,0.8,0.88,0.56,0.78,1.0
with_remove_effects,blocksworld-4ops,50,0.3,1.0,0.75,0.42,0.33,0.56
without_remove_effects,blocksworld-4ops,50,0.3,1.0,0.52,0.4,0.67,0.89
with_remove_effects,blocksworld-4ops,50,0.4,0.2,1.0,1.0,1.0,1.0
without_remove_effects,blocksworld-4ops,50,0.4,0.2,1.0,1.0,1.0,1.0
with_remove_effects,blocksworld-4ops,50,0.4,0.4,1.0,1.0,1.0,1.0
without_remove_effects,blocksworld-4ops,50,0.4,0.4,1.0,1.0,1.0,1.0
with_remove_effects,blocksworld-4ops,50,0.4,0.6,1.0,0.82,0.78,1.0
without_remove_effects,blocksworld-4ops,50,0.4,0.6,1.0,0.82,0.78,1.0
with_remove_effects,blocksworld-4ops,50,0.4,0.8,1.0,0.82,0.67,1.0
without_remove_effects,blocksworld-4ops,50,0.4,0.8,0.88,0.75,0.78,1.0
with_remove_effects,blocksworld-4ops,50,0.4,1.0,0.62,0.67,0.44,0.44
without_remove_effects,blocksworld-4ops,50,0.4,1.0,0.48,0.47,0.78,0.78
with_remove_effects,blocksworld-4ops,50,0.5,0.2,1.0,1.0,1.0,1.0
without_remove_effects,blocksworld-4ops,50,0.5,0.2,1.0,1.0,1.0,1.0
with_remove_effects,blocksworld-4ops,50,0.5,0.4,1.0,1.0,1.0,1.0
without_remove_effects,blocksworld-4ops,50,0.5,0.4,1.0,1.0,1.0,1.0
with_remove_effects,blocksworld-4ops,50,0.5,0.6,1.0,1.0,1.0,1.0
without_remove_effects,blocksworld-4ops,50,0.5,0.6,0.9,0.9,1.0,1.0
